"Day","Date","League","Type","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Sextant","Mirror.of.Kalandra","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Annulment","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Vaal.Orb","Ancient.Orb","Annulment.Shard","Engineer.s.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.Shard","Orb.of.Binding","Orb.of.Horizons","Perandus.Coin","Stacked.Deck","Timeless.Karui.Emblem","Timeworn.Reliquary.Key","Apprentice.Cartographer.s.Seal","Journeyman.Cartographer.s.Seal","Master.Cartographer.s.Seal","Ancient.Reliquary.Key","Eternal.Orb","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
1,"2017-12-08","Abyss HC","Currency",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","Currency",2.95421,0.5111,0.5088,0.92073,0,0,0,0,0,0.42908,0.4859,4.37205,16.92164,0.99627,0.68359,0.08859,4,0,0,1.94559,0.27985,0.43129,3.84439,0.54235,0.17807,0.31946,0.97209,0.50543,0.51041,0.03195,1.78625,0.42384,0.22899,0.50998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","Currency",1.05172,0.06142,0.08073,0.60006,0,0,0,0,0,0.25803,0.06207,4.66195,19.56492,0.80828,0.51526,0.07224,3.16886,19.80364,3774.53021,2.83406,0.19979,0.04451,3.7442,0.05,0.13777,0.28235,0.87357,0.42054,0.03354,0.02499,1.62874,0.01609,0.17551,0.48276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","Currency",1,0.0449,0.05005,0.65621,0,0,0,0,0,0.19988,0.06127,5,23.42979,0.67087,0.44251,0.07143,2.52722,11.22288,3921.67048,3,0.2,0.04522,3.36556,0.05,0.12697,0.28501,0.64015,0.43063,0.04758,0.025,1.65718,0.01496,0.17015,0.41766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","Currency",1,0.03885,0.04998,0.75921,0,46.13242,100,0,40,0.19572,0.06356,5.61336,24.59848,0.65956,0.33333,0.07261,2.40815,6.39341,4666.15912,3,0.2,0.04728,3.98871,0.0495,0.10954,0.29763,0.59434,0.44444,0.04346,0.025,1.73504,0.01459,0.19576,0.37611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","Currency",1,0.03294,0.04943,0.67871,499.89504,69.91,99.68966,111,67.23629,0.18512,0.06651,5.92166,24.34519,0.65974,0.33333,0.07631,2.19279,6.05809,3836.88537,3,0.21169,0.04789,4.0439,0.04656,0.10915,0.31363,0.58169,0.46792,0.04934,0.02682,1.53035,0.01327,0.20306,0.35016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","Currency",1,0.03205,0.04872,0.65934,480,64.21715,93.33333,111,25.08332,0.19122,0.06999,6,24,0.66667,0.33333,0.07785,2,4.99706,2805.93939,2.99237,0.24387,0.04937,5.30551,0.04379,0.11137,0.32529,0.54706,0.48178,0.04956,0.025,1.5,0.01301,0.24344,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","Currency",0.98949,0.03332,0.0459,0.65348,480,76.74474,80,0,14.37128,0.19763,0.06936,6,24,0.7018,0.34106,0.08291,1.9519,5,2664.43434,3,0.25,0.04942,5.1101,0.0434,0.11111,0.33063,0.55204,0.48287,0.04957,0.025,1.5,0.01249,0.24743,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","Currency",0.98998,0.03333,0.04528,0.57727,472.07814,69.14952,73.09769,200,17.2967,0.20917,0.06969,6.0332,23.5574,0.80031,0.33333,0.08315,1.97563,4.9615,2066.74114,3,0.24969,0.04894,5,0.0378,0.11312,0.33333,0.54015,0.47972,0.04153,0.02494,1.5,0.01185,0.24906,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","Currency",0.82728,0.03159,0.04602,0.50958,550,63.22469,54.70545,130.66667,11.98657,0.23054,0.07019,6.12061,23.75275,0.76823,0.33333,0.0821,2,4.91616,2036.16837,3,0.24655,0.04984,5,0.03283,0.11708,0.3331,0.54014,0.47458,0.03796,0.02394,1.49436,0.01115,0.24776,0.33135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss HC","Currency",0.80816,0.03006,0.04484,0.57339,570.7375,60.38666,56.70236,0,9.93228,0.23121,0.06878,6.64065,23.56764,0.64826,0.33333,0.0826,2,4.54963,2138.43283,3.8788,0.24176,0.05014,5,0.03092,0.1108,0.33333,0.48921,0.47441,0.04043,0.02166,1.46834,0.01007,0.24834,0.32966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
