"Day","Date","League","Type","A.Mother.s.Parting.Gift","Abandoned.Wealth","Anarchy.s.Price","Assassin.s.Favour","Atziri.s.Arsenal","Audacity","Birth.of.the.Three","Blind.Venture","Boundless.Realms","Bowyer.s.Dream","Call.to.the.First.Ones","Cartographer.s.Delight","Chaotic.Disposition","Coveted.Possession","Death","Destined.to.Crumble","Dialla.s.Subjugation","Doedre.s.Madness","Dying.Anguish","Earth.Drinker","Emperor.s.Luck","Emperor.of.Purity","Gemcutter.s.Promise","Gift.of.the.Gemling.Queen","Glimmer.of.Hope","Grave.Knowledge","Her.Mask","Heterochromia","Hope","House.of.Mirrors","Hubris","Humility","Hunter.s.Resolve","Hunter.s.Reward","Jack.in.the.Box","Lantador.s.Lost.Love","Last.Hope","Left.to.Fate","Light.and.Truth","Lingering.Remnants","Lost.Worlds","Loyalty","Lucky.Connections","Lucky.Deck","Lysah.s.Respite","Mawr.Blaidd","Merciless.Armament","Might.is.Right","Mitts","No.Traces","Pride.Before.the.Fall","Prosperity","Rain.of.Chaos","Rain.Tempter","Rats","Rebirth","Scholar.of.the.Seas","Shard.of.Fate","Struck.by.Lightning","The.Aesthete","The.Arena.Champion","The.Artist","The.Avenger","The.Battle.Born","The.Betrayal","The.Blazing.Fire","The.Body","The.Brittle.Emperor","The.Calling","The.Carrion.Crow","The.Cartographer","The.Cataclysm","The.Catalyst","The.Celestial.Justicar","The.Chains.that.Bind","The.Coming.Storm","The.Conduit","The.Cursed.King","The.Dapper.Prodigy","The.Dark.Mage","The.Demoness","The.Doctor","The.Doppelganger","The.Dragon","The.Dragon.s.Heart","The.Drunken.Aristocrat","The.Encroaching.Darkness","The.Endurance","The.Enlightened","The.Ethereal","The.Explorer","The.Eye.of.the.Dragon","The.Feast","The.Fiend","The.Fletcher","The.Flora.s.Gift","The.Formless.Sea","The.Forsaken","The.Fox","The.Gambler","The.Garish.Power","The.Gemcutter","The.Gentleman","The.Gladiator","The.Harvester","The.Hermit","The.Hoarder","The.Hunger","The.Immortal","The.Incantation","The.Inoculated","The.Inventor","The.Jester","The.King.s.Blade","The.King.s.Heart","The.Last.One.Standing","The.Lich","The.Lion","The.Lord.in.Black","The.Lover","The.Lunaris.Priestess","The.Mercenary","The.Metalsmith.s.Gift","The.Oath","The.Offering","The.One.With.All","The.Opulent","The.Pack.Leader","The.Pact","The.Penitent","The.Poet","The.Polymath","The.Porcupine","The.Queen","The.Rabid.Rhoa","The.Realm","The.Risk","The.Road.to.Power","The.Ruthless.Ceinture","The.Saint.s.Treasure","The.Scarred.Meadow","The.Scavenger","The.Scholar","The.Sephirot","The.Sigil","The.Siren","The.Soul","The.Spark.and.the.Flame","The.Spoiled.Prince","The.Standoff","The.Stormcaller","The.Summoner","The.Sun","The.Surgeon","The.Surveyor","The.Survivalist","The.Thaumaturgist","The.Throne","The.Tower","The.Traitor","The.Trial","The.Twins","The.Tyrant","The.Union","The.Valkyrie","The.Valley.of.Steel.Boxes","The.Vast","The.Visionary","The.Void","The.Warden","The.Warlord","The.Watcher","The.Web","The.Wind","The.Wolf","The.Wolf.s.Shadow","The.Wolven.King.s.Bite","The.Wolverine","The.Wrath","The.Wretched","Three.Faces.in.the.Dark","Thunderous.Skies","Time.Lost.Relic","Tranquillity","Treasure.Hunter","Turn.the.Other.Cheek","Vinia.s.Token","Volatile.Power","Wealth.and.Power","Blessing.of.God","Forbidden.Power","The.Breach","The.Deceiver","The.Dreamer","The.Insatiable","The.Iron.Bard","The.Obscured","The.Puzzle","The.World.Eater","A.Dab.of.Ink","Beauty.Through.Death","Boon.of.the.First.Ones","Harmony.of.Souls","Immortal.Resolve","Perfection","The.Admirer","The.Army.of.Blood","The.Beast","The.Cacophony","The.Celestial.Stone","The.Darkest.Dream","The.Dreamland","The.Endless.Darkness","The.Fathomless.Depths","The.Hale.Heart","The.Innocent","The.Jeweller.s.Boon","The.Master","The.Master.Artisan","The.Mayor","The.Nurse","The.Price.of.Protection","The.Professor","The.Rite.of.Elements","The.Sacrifice","The.Samurai.s.Eye","The.Sword.King.s.Salute","The.Twilight.Moon","The.Undaunted","The.Undisputed","The.Wilted.Rose","The.Witch","Three.Voices","Akil.s.Prophecy","Alluring.Bounty","Alone.in.the.Darkness","Arrogance.of.the.Vaal","Azyran.s.Reward","Boon.of.Justice","Buried.Treasure","Burning.Blood","Dark.Dreams","Dark.Temptation","Demigod.s.Wager","Echoes.of.Love","Imperial.Legacy","Monochrome","More.is.Never.Enough","Nook.s.Crown","Pride.of.the.First.Ones","Remembrance","Sambodhi.s.Vow","Seven.Years.Bad.Luck","The.Archmage.s.Right.Hand","The.Bargain","The.Damned","The.Deal","The.Deep.Ones","The.Demon","The.Eye.of.Terror","The.Fool","The.Golden.Era","The.Heroic.Shot","The.Journey","The.Landing","The.Life.Thief","The.Lord.of.Celebration","The.Mad.King","The.Messenger","The.Mountain","The.Old.Man","The.Price.of.Loyalty","The.Primordial","The.Seeker","The.Side.Quest","The.Skeleton","The.Wolf.s.Legacy","Thirst.for.Knowledge","Vanity","Vile.Power","Void.of.the.Elements","Baited.Expectations","Cameria.s.Cut","Deathly.Designs","Divine.Justice","Etched.in.Blood","Friendship","Squandered.Prosperity","Succor.of.the.Sinless","The.Bones","The.Chosen","The.Craving","The.Escape","The.Fishmonger","Underground.Forest"
1,"2017-12-08","Abyss HC","DivinationCard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","DivinationCard",0.21938,15,1,0.95375,5.14815,0,0,0,1,4,3,0.27,0,0.32344,1,0,0,0.99875,0.8475,5.55031,0.80063,4.56563,1,1,0,1.00375,1.2875,0,0,0,1.76531,1.83057,1,0,1.34063,0.97563,5.19556,0,1.26563,0,0,0.8725,1.105,0,0,0,0,1.265,0.69813,1.035,15.71156,0.34,0.87313,0,5.088,0,1.8,1,0,2.16969,0,0,0,0.97781,0.94281,1,2.30625,10.74156,1,0.21688,0,1,0.85625,19.67063,6.80688,4.81156,0.76563,0,11.9225,9.9029,4.90909,300,1,0,0,1.147,2,0.94375,0,7.64226,1,1.11565,0.46969,0,1.44828,0.802,0,0,1.29625,1,1,0.20719,1,2.03,0,0.47688,1.35,7.56156,0,1,0,1,0,0.21625,29.3271,32.26733,1,0,0,0,1,0,0.95875,0,47.23875,1.5,1,0,0,0,1,9.40625,9.17464,0,0,0,2,0,0.97313,7.16405,1,2.76125,0.8525,2.43438,0,1,10,0,0,4.93469,0,0.92813,1.93969,1,0,0.7837,0,0,1.36656,1.58188,2,0,0,2,3.48719,1.28714,78.3625,0,5,0.80813,0,0,0,5,0,2.55,10,0.27344,1,1.3525,1.76417,0.44906,10,1,0.90214,0.79031,1,0.70969,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","DivinationCard",0.17362,14.37121,0.98897,0.58138,4.57552,0,0,4.53857,1,3.60345,1,1,0,0.51362,1,1,2,1,1,3.63931,0.31534,3.98259,1,0.93603,1,0.60121,0.97793,9.77,1,0,1.00741,1.75948,1,0,1,0.4331,4.81948,0,1.09052,2,0,0.99948,1,19.4375,3.39733,0,0,1,0.77448,0.99948,15.27034,0.55621,0.50724,0,3.20552,0,1,1,1,1.78328,0,10,0,0.96259,0.53914,1,1,8.57483,1,0.17534,0,1,0.75086,15.71138,3.19517,1.02172,0.4231,4.14193,8.08638,8.91483,5.20879,273.26828,0.745,0,0,1.47,1.11724,0.99759,6.84286,9.72828,1,1,0.3669,220.49167,1,0.79569,25.81175,7.03826,1,1,0.93724,0.30569,1,4.25431,0,0.19086,1.36897,7.78414,0,1,0,1,0,0.21707,25.67069,34.82948,0.88448,1.93667,0,1,0.94586,1.02049,0.39672,0,32.5069,1.18552,1,3,1,1.66579,1.725,4.89448,3.78966,5.01135,1,2.13034,4.34345,0,1,3.14379,1,2.66138,0.67345,2.80207,0,1,8.58793,0,0,2.95017,3.04882,0.58638,1,1,4.0625,1,30.5463,18.44214,1,1.21517,2.44517,1,0,1.03724,1.67155,1.145,94.80086,1,4.93414,0.86638,11.44615,1,1,5.24931,1,1.07276,7.95,0.59914,1,1,0.65328,0.23241,8.5569,1,1,0.6919,1,0.67379,13.21897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","DivinationCard",0.18552,13.32155,1,1,2.31534,0,1,3.42862,3.33,45.61852,1,0.97379,1,0.89966,1,1,1.20862,0.85914,0.88845,3.64103,0.72828,4.28,0.99172,0.94897,1,0.87414,0.79483,7.74828,1,0,1,1.79017,1,99.11172,1,0.23069,3.62534,7,1.76397,2,7.72636,1,1,12.57121,2.73862,0,0,1,1,1.89069,20.41086,0.71776,0.43914,0,1.15621,0,1,1,1,1.81431,1,10,5,1,0.70741,0.93931,0.99966,7.02638,1,0.18793,1,1,0.92052,11.61345,3.31655,1,0.79931,3.06017,8.95914,5.99948,2.59052,249.09517,1,1.42204,37.70408,1.235,1,1,6.0631,7.35776,1,1,0.27397,205.60862,1,1,47.68,5.24086,1,1,0.9519,0.75328,1,4.47121,0,0.18569,1.94224,11.58672,0,0.72466,1,1,1.11586,0.27241,20.69948,35.36103,0.33397,1.16707,0,1,1,1,0.46155,1.1,21.72431,1.19121,1,2.70897,1,2.02948,2.12241,5.19448,3,5.06897,1,1.67052,3.68017,0,1,3.85397,1,2,0.42845,2.83017,1,1,6.38328,18.00816,0,2.79569,2.33086,0.94759,1,1,3.54379,1,28.5019,12.8334,0.91517,1,2.62517,1,1,1,1.11138,1,100.07845,1,4.05362,0.99466,13.4375,1,1,3.125,1.07155,1,6.38707,0.99207,1,1,0.99276,0.21345,7.3,1,1,0.60448,1,0.82586,3.14828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","DivinationCard",0.19241,12.4369,1,0.98345,1,0,1.21379,2.8131,4.77103,24.32397,0.99845,1,0,0.63,1,1,1,0.83776,0.64207,4.24672,0.52328,4.87914,1,0.98724,1,0.95845,0.59483,10.95672,1,0,1,1.83017,1,74.07983,1,0.19931,2.19224,5.7931,1.13724,2,4.43828,1,1,7.4531,2,87.36,0,1,1,1.60948,19.96569,0.99155,0.38448,1,1,0,1,1,1,1.02121,1,10.65983,4.08621,0.99862,0.28741,0.90414,1,12.42655,1,0.19241,3.54167,1,0.81879,12.93672,3.47293,1,0.85914,3.05828,8.91741,6.065,2,248.49345,1,1.58293,26.38466,1,1,1,7.88707,14.82017,1,0.98897,0.29017,206.46655,1,1,30,7.01655,0.99931,1,1,0.63672,1,3.67293,0,0.31569,1.67948,11.195,0,0.45569,1.03103,1,1.17793,0.28534,20.63586,36.1369,0.26793,1,1,1,1,1,0.53431,1.14069,23.83828,1,1,1.955,1,3,1.19328,7.92017,3.04328,6.27552,0.93672,1,2.99155,0,0.84362,4.54069,1,1.86259,0.25879,3.04052,1,1,7.22259,16.04655,0,2.01069,2.73345,0.7731,0.96741,0.95914,1.74897,1,27.91845,16.73862,0.9031,1,2.3969,1.15724,1,1,2,1,22.57672,1,3.98914,0.57069,14.49517,1,1,2.77879,2.14345,0.99172,5.92534,0.98172,1,1,0.61224,0.19241,7.01638,1,1,0.82759,1,0.7369,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","DivinationCard",0.21276,13.19983,0.70897,1,1,0,1.76948,1.08241,1.79845,10.27069,0.91879,1,0,0.64224,1,0.9419,1,0.8731,0.37793,4.66259,0.93914,4.39052,1,1,1,0.84466,0.48172,8.4831,0.99845,0,1,1.60724,1,52.90672,1,0.25172,2.21121,4.92241,1,2,3.1781,0.995,1,5.70017,1.98345,97.24138,0,1,0.99897,1.39586,24.61655,1,0.39448,0.83517,1,0,1,1,0.9319,1.45776,1,8.20276,4,1,0.28017,0.47259,1,10.60276,1,0.21276,6.6,1,0.55793,15.76569,3.19362,0.95345,1,4,7.20897,5.4369,2,240.87862,1,1.32862,13.96793,1,1,1,8.74121,14.42862,0.85707,0.69621,0.22483,192.01862,1,0.77328,28.39483,6.19121,0.99724,0.7219,1,0.62759,0.95793,2.6169,5,0.22569,1.99448,12.23328,0,0.40328,1,1,1,0.44034,23.49603,46.45828,0.30517,1,1,1,0.97259,1,0.56138,1,24.00759,1,0.99707,1.41414,1,3,1,5.35828,2.99276,7.60517,0.79155,0.96948,2.73293,0,0.32172,4.91966,1,1.97207,0.23138,3.17897,1,1,6.88276,14.30759,1,2.26155,2.76983,0.31362,1,0.96759,1,0.99328,22.74672,15.72,0.70603,1,1.65569,1.50172,1,0.99121,2,1,15,1,3.42724,0.66345,6.985,1,0.59121,4.6469,2.83086,0.99379,5.69879,0.99828,1.04172,0.99983,0.6269,0.21276,5.66966,0.95534,1,0.90638,1,0.7481,4.13276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","DivinationCard",0.23421,13.9407,0.72509,0.97614,1,0,1,1,1.26474,8.28772,0.89544,0.98544,0,1,1,0.48912,1,0.76895,0.30772,4.2314,0.98807,4.12246,1,1,1,0.97789,0.69193,6.89526,0.98386,0,1,1.68544,1,45.28,1,0.42193,2,4.18877,1,0,2,1,1,5,1.66158,76.69474,3,1,0.84667,1.01105,25.73211,0.96509,0.4407,0.84,0.97053,0,1,0.99158,1,1.08912,1,7.74175,3.96035,0.81509,0.23421,0.35316,1,11.60579,1,0.23421,3,1,0.77456,20.76561,3.58368,0.63123,1,3.90404,7.20982,4.83614,1.99474,233.45667,1,1.40281,12.51386,1,0.87614,1,8.02105,13.66263,0.72333,0.67912,0.27877,186.61193,1,0.75123,30.12333,3.94333,1,0.90807,1,0.90333,1,2,5,0.24789,2,14.52789,0,0.39474,1,1,1,0.86053,25.98684,49.5714,0.5314,1,1,1,1,0.97018,0.63018,1,24.15509,1,0.95123,1.01579,0.99123,2.95754,1,5.11263,2.64544,7.32035,1,1,2.64965,0,0.50228,4.27316,1,1.95982,0.46088,3,1,1,7.23333,12.76702,1,2.99088,2.06316,0.31509,1,1,1,0.87386,20,12.48579,0.93158,1,1.76509,1.15965,1,1,1.90053,1,15,1,3.97965,0.90526,5.1786,1,0.65596,4.85246,2.49193,0.94263,4.78526,1,1,1,0.98544,0.23421,3.27281,0.9993,1,1,1,0.38965,6.6493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","DivinationCard",0.24,13.22534,0.70052,0.71931,1,2.96114,1,1,0.995,7.38034,0.8669,0.71,6,0.89414,0.9581,0.48776,1,0.48,0.27793,4,0.41069,4.04655,1,0.96,1,0.99379,0.47793,5.09259,1,0,0.95155,1.58259,1,44.63431,0.6069,0.24103,2,4.15931,1,0,2,0.89207,1,4.82224,1.91172,62.75862,3,1,0.7269,1.04086,25.94776,0.74966,0.27069,0.83603,0.67069,0,1,0.84983,0.89724,1.35828,1,8.08966,2.98879,0.95034,0.25707,0.27621,0.97483,10.61776,0.99103,0.23569,3,1,0.32414,28.90379,3.59948,0.49328,1,2.07672,7.66828,5,1.74552,223.23552,0.73276,1.09828,12.83483,1,0.89672,1,9.19569,11.93672,0.7131,0.53655,0.30121,176.32224,1,0.67362,29.61069,3.35448,1,0.93776,1,0.43655,0.98534,2,5,0.24,2,15.61155,0,0.31672,1,1,1,0.93741,26.63086,47.44793,0.53328,1,1,0.94724,0.96121,0.90759,0.34707,0.95379,27.36103,0.97914,0.91207,1.34552,0.93948,2.35431,1.08276,5.91017,2.06466,10.70655,0.85069,0.96086,2.70086,0,0.46741,4.08534,0.90328,1.9769,0.47224,3.53621,0.95741,1,7.55914,12,1,2.78017,1.91431,0.32,1,0.8119,1,0.86379,19.16948,12.72828,1,1,2,1,1,1,1.98034,1.26845,19.89293,1,3.43414,0.32466,3.87914,1,0.64845,6,3.38569,0.88155,4.04621,0.98897,1,0.99569,0.82534,0.24,3.02328,0.9569,1,0.97328,1,0.35948,10.75069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","DivinationCard",0.24,12.99123,0.72368,0.68105,1,1.36614,1,1,0.89772,6.13649,0.82789,0.65228,5.93684,1,0.69737,0.46702,1,0.34526,0.32,3.99912,0.4793,3.67439,0.99123,0.98579,1,0.98684,0.57404,5,0.96526,0,0.57544,1.55825,1,26.21877,0.69965,0.24,2,4,1,5.2613,2,0.46632,0.99684,3.65193,1,53.50877,3.02947,1,0.82105,1.19895,25.88719,0.67,0.24228,0.78579,0.85351,0,1,0.7593,0.6786,1.99649,1,9.18561,3.06544,0.96474,0.33807,0.31965,0.97965,11.32544,0.86912,0.23982,3,1,0.32,27.86789,3.57544,0.39702,0.93509,2,7.91807,4.51614,1.25965,210.15404,0.36737,1,12.44719,1,0.62561,1,9.89754,10.47877,0.7707,0.45456,0.35035,149.34877,1,0.56088,37.70193,2.71298,1,0.88281,1,0.26614,0.99509,1.39193,5,0.24,1.93632,15.50105,0,0.30982,1,1,1.09263,0.46596,24.13,42.64877,0.29842,1,1,0.85789,0.94807,0.98193,0.28368,0.61842,26.65298,0.96561,0.95579,1.05474,0.75474,2,1.61632,5.78386,2.00211,10.64105,0.67912,0.94158,3,1,0.43579,4.42386,0.84544,1.53596,0.29035,4.36298,0.79825,1,6.98842,10.84211,0.92632,2.9,1.76667,0.3093,0.99719,0.84404,1,0.82526,14.69211,13.59702,1,1,2,0.97175,1,0.96842,1.98947,1.45175,35.92404,0.97246,3.6186,0.24,3.01825,0.98211,0.48281,6,4,0.71316,4.35228,1,1.04877,0.97982,0.67474,0.24596,3,0.99965,1,0.83035,0.99965,0.28684,11.26281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","DivinationCard",0.23655,12.75483,0.75483,0.33759,1,1,1,1,0.96759,5,0.98,0.50483,2.30172,0.97931,0.70966,0.47224,1,0.30293,0.32224,4,0.71431,4.01741,0.94655,0.94155,1,1,0.6119,4.94552,0.81983,0,0.66483,1.47776,1,64.64483,0.84103,0.23655,2,4,1,3.53621,1.99793,0.31983,0.98121,2.57069,1,70,2.45414,1,0.92672,1.40259,27.20103,0.7569,0.29517,0.84172,0.88379,0,1,0.80897,0.62793,1.93,1,17.87897,1.7319,0.97862,0.23707,0.32224,1,9.75914,0.79621,0.23655,2.73638,1,0.30828,25.08207,3.44948,0.33121,0.76897,2,7.55655,3.82707,1,210.92586,0.34897,1,11.98069,1,0.56759,0.92862,9.27379,9.79879,0.52724,0.34259,0.47741,150.15724,1,0.46759,33.40086,2,0.97069,0.3669,1,0.24138,0.99759,1.12121,5,0.23879,1.8119,15.10845,0,0.305,1,1,1.24,0.23655,25.48483,44.70328,0.23655,1,1,0.77483,0.9781,0.95828,0.24241,0.71138,26.44603,1,0.82983,1,0.6769,2,1.92586,5.98069,1.98276,8.1181,0.66793,0.99966,2.68931,1,0.37569,4.20931,0.78759,1,0.33466,4.53672,0.95086,1,7,9.06862,1,2.96448,1.34483,0.32224,1,0.85603,1.04293,0.48069,13.54431,13.36517,1,1,2,1,1,1,2.22086,1,10.68379,0.98983,4,0.23655,3.45276,0.85828,0.39172,5.58259,4.09914,0.66534,5.01103,1,1.00621,0.99776,0.84207,0.27845,3,1,0.99034,0.77138,1,0.86241,15.69966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
