"Day","Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe"
1,"2017-12-08","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,"2017-12-09","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.364,24.46813,14.32469,19.95276,0.38818,0.25576,0.2503,0.51515,0.18485,0.9503,0.98061,0.72061,1.02333,2.1125,0,3.705,1.91563,6.48,2,1.12839,4.17741,3.5,4.6,4.87531,3.87857,3.89778,2,2.16923,0,2,3.306,4.6,4.82222,0,0,0,0,0,4.79231,0,0,0,0,5,0,5,0,0,0,5,0,0,0,1.25773,1.10207,1.17094,1,1.28,1,1,1.67,1.90909,1.07091,1,1.36032,1,1.045,1.02188,1.00625,1,0.95273,1,0.75576,1,0.87758,1,0.86788,1.07143,1,0.91375,1.11765,0.58339,0.3703,0.85485,0.21212
3,"2017-12-10","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0169,13.42155,10.91052,13.74362,0.66948,0.30931,0.20569,0.79345,0.16103,1,0.95293,0.77931,1.84621,1.725,1,2.72862,1.01207,2.10345,2.02276,1.63379,3.80552,2.50931,2.42793,1.77103,3.22259,2.31621,1.74466,1.78241,1.02982,1.92379,2.27914,2.27707,1.9669,0,0,10,0,5.03195,3.07138,4,0,4,5,9.5,0,4.01724,8,7,0,5,6.14128,4,7,0.92741,0.65552,1,1,1.4569,1.18552,1,0.99983,1.16431,1.00414,0.9819,1,1,0.96069,1,1,0.97983,0.9869,0.97534,1,1,0.73759,0.94172,1,1,1,0.97379,1,0.20155,0.17121,0.52638,0.17362
4,"2017-12-11","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0969,12.17724,6.59931,7.48328,0.98793,0.19069,0.31414,1,0.18552,0.96172,0.8269,0.48362,1.99603,1.10983,1,2.04586,1,1,1.77103,1.31672,3.80793,1.17741,1.17276,1.43897,2.00466,1.98155,1.98069,1.01655,1,1.3681,1.70483,1.9881,1.12121,3,2,8.13793,4.48571,4.46655,2.86638,4.01034,8.44163,3.80655,3.66552,4.84638,5.925,3.74241,7.24845,4.33534,0,3,5.6819,4,5.87069,0.95914,0.9919,1,1,1,1.00276,1,1,0.92414,1,1,1,1,1,1,1,1,1,0.99707,1,1,0.99276,0.48328,1,0.43569,0.99259,0.91897,1,0.16155,0.18259,0.18897,0.18552
5,"2017-12-12","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.50569,10.73897,5.65362,9.67155,0.98431,0.38569,0.44172,0.84431,0.19241,0.86052,1,0.33293,2,1.05103,1,2.34586,1,1,1,1.15448,3.57448,1,1,1,1.8819,1.99328,1.10052,1,1,1,1,1.63655,1.01379,5,2.00207,6.34241,3,4.66121,2.25724,4.05793,10.78718,2.85724,2.85569,2.91293,5,3.38155,3.73793,3.58448,4,1.48276,5.21931,4,4.1,0.99914,1,1,1,1,1.82241,1,1,1,1,1,1,1,1,1,1,0.9731,1,0.78655,1,1,1,0.78448,1,0.71534,1,0.98138,1,0.18655,0.19241,0.19241,0.19241
6,"2017-12-13","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,12.46983,5.63241,12.37328,0.61638,0.46897,0.35672,0.91345,0.21276,0.59414,0.70603,0.22966,2.17414,1.35207,1,3,1,1,1,1.00569,3.95966,1,1,1.57741,2.28638,1.85862,0.90052,1,0.94017,1,1.00862,1.00069,1.00517,5,4.95102,6.54483,3,3.93121,2.70086,4,12.39574,3,3,2.38483,7.42063,3,4.87017,4.96897,4,1.20328,5.47948,3,4.13103,0.94,0.99966,1,0.92017,1,1.31707,1,0.99293,1,1,1,0.90793,1,1,0.98414,1,0.98466,1,0.22914,0.9519,1,0.74914,0.93966,1,0.62724,1,0.99793,1,0.14534,0.21276,0.21345,0.21276
7,"2017-12-14","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49053,13.01789,7.30316,9.53333,0.31509,0.54509,0.63211,0.87421,0.23421,0.55439,0.23421,0.31404,2.99421,1.34702,0.99474,3,0.96105,1,1,1.08561,3.95684,0.99842,0.99,1.26719,1.54737,1.98386,0.89667,0.9986,0.8607,0.9914,1,0.99789,1.01877,5.14018,3.36719,6.04053,2.98175,3.24526,2.9686,3.99018,11.82614,3,3,1.80474,9.10965,3,5.1993,3.36772,2.172,1.11368,5.19193,3,4,0.98,1,0.99982,0.77702,1,1.13105,1,0.95123,1,1,1,0.70263,1,0.9993,1,1,0.99965,0.99404,0.36386,0.87333,1,0.80947,1,1,0.63105,0.99193,0.9907,0.83474,0.22263,0.23421,0.23842,0.23509
8,"2017-12-15","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.68638,14.07741,6.98207,11.14793,0.30672,0.48,0.47638,0.50828,0.24,0.27138,0.28638,0.35966,3,1.99569,0.91207,2.90431,0.88207,1,1.13086,1,3.99828,1,0.99828,0.99983,1.13845,1.98379,1,0.98759,0.79879,0.92155,1,1,1.46534,5.01586,2,6.90828,2.54103,2.73207,2.99103,4.28052,12.15655,3,3.0031,1.89552,7.66569,3,4.25724,2.65207,1.67155,1,4.84897,2.73103,2.98621,1,0.9969,0.99276,0.67276,1,1.27914,0.99466,1,0.96828,1,1,0.7031,0.99948,1,1,1,0.76483,0.90069,0.32,1,0.99931,0.40931,0.94414,1,0.42845,0.91293,0.62897,0.68293,0.24,0.24,0.24569,0.27121
9,"2017-12-16","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06333,15.03877,7,9.44684,0.24579,0.48,0.33018,0.3614,0.24,0.29509,0.30105,0.31509,3,1.9907,0.94772,2.37895,0.87649,1,1.49193,1,3.00596,1,1,0.98333,1.02316,2,1,1,0.99667,0.90316,1,1,1.1786,4.71211,2,5.62035,2,3,2.43404,3.91246,11.4214,3,3.41088,2,7.62807,3,3.46474,3.67421,1.3593,1,4.07596,2.56965,2.08877,1,0.98772,0.96105,0.49175,0.95316,1.53,0.99053,1,0.99018,1,1,0.55404,1,0.99947,1,0.99614,0.32,0.71175,0.31825,0.82509,0.9814,0.33421,0.54,1,0.46316,0.40333,0.39649,0.38053,0.25719,0.25246,0.29842,0.29386
10,"2017-12-17","Abyss HC","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73552,17.05207,6.77603,8.49052,0.24621,0.38552,0.2819,0.32224,0.23655,0.29397,0.31379,0.28638,2.98638,2,0.99259,2.59724,0.95379,0.99483,1.02966,0.98879,2.82017,0.99983,1,0.84345,1,1.98276,0.98828,1,1,0.91966,1,1,1.35621,4.76172,2,6.15362,1.95534,3,2.1331,3.35966,10.58672,3,3.72517,2.06293,6.82862,3.05414,3,4.16207,1.87621,1,4,3.27241,3.20121,0.99069,1,0.82638,0.485,0.93241,1,0.98552,0.99603,1,1,0.98948,0.49638,1,0.76207,0.9519,0.6931,0.32224,1,0.31672,0.51,0.69397,0.33397,0.26069,0.56603,0.32448,0.31862,0.4581,0.32224,0.24621,0.25034,0.23828,0.25586
