"Day","Date","League","Type","Aberrant.Fossil","Aetheric.Fossil","Bloodstained.Fossil","Bound.Fossil","Corroded.Fossil","Dense.Fossil","Enchanted.Fossil","Encrusted.Fossil","Faceted.Fossil","Fractured.Fossil.","Frigid.Fossil","Gilded.Fossil","Glyphic.Fossil","Hollow.Fossil","Jagged.Fossil","Lucent.Fossil","Metallic.Fossil","Perfect.Fossil","Prismatic.Fossil","Pristine.Fossil","Sanctified.Fossil","Scorched.Fossil","Serrated.Fossil","Shuddering.Fossil","Tangled.Fossil","Fractured.Fossil"
1,"2018-12-07","Betrayal HC","Fossil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2,"2018-12-08","Betrayal HC","Fossil",1,2.766,0,1.60727,1.49,2,2.645,9.55,0,0,1,15.5,0,0,1,2,1,1.19375,3,2,0,1,1,3.81,0,NA
3,"2018-12-09","Betrayal HC","Fossil",0.98,2,0,1.27,1,1.98513,1.66,9,0,0,0.86326,7.39,0,168.6,1,2,1,1.877,2,2,3.25375,1.38929,1,2,0,NA
4,"2018-12-10","Betrayal HC","Fossil",1,2,0,2,1,3,1.41963,5.97,0,0,1,3,0,187.5,1,2,2,1.99,2,2,3,1,1,2,50,NA
5,"2018-12-11","Betrayal HC","Fossil",1,2.62286,0,2,1,4,1,4,50,0,1,3.96955,0,190.925,1,1.16,2,2.93,2,2,3,1,1,2,50,NA
6,"2018-12-12","Betrayal HC","Fossil",1,3,0,2,1,4,1,4,28.28,0,1,4.99,40,190,1,1,4,3,2,3,3,1,1,2.4301,45.5,NA
7,"2018-12-13","Betrayal HC","Fossil",0.4351,3,120,2,1,4,2,4,58.02,0,0.5602,4,35.5,181.74,0.9302,1,4,3.67857,1.98041,3,3.62,0.9702,0.98531,2.6451,50,NA
8,"2018-12-14","Betrayal HC","Fossil",0.46041,3,127.08,2,2,4,2,3,60,92.96,0.60133,3,26,161.34333,0.86,1,4,3,2,3,4.07,1,0.9801,2.0001,50,NA
9,"2018-12-15","Betrayal HC","Fossil",0.44,3,126.22,2,2,4,2,3,505,82,0.7,2.79,26.11,110.94,0.87,1,4,3,2,4,4.97818,0.95,0.94,2.75694,50.5,NA
10,"2018-12-16","Betrayal HC","Fossil",0.44,3,150.125,2,1,5,2,2.84,454.5,103.425,0.66061,3,20.7,131.25,0.44,0.93,3.73276,3,1.5,4,4.11171,0.5,0.88,3,42,NA
11,"2018-12-17","Betrayal HC","Fossil",0.44,4,148.5,3,1,5,2,3,148.5,99,0.5151,3.92,21.5,115.78,0.45,1,4,3,1.5051,4,5,0.91,0.9,3,36.76,NA
12,"2018-12-18","Betrayal HC","Fossil",0.41,4,139.53,2,1,5,1.23571,3,121.75,99,0.6351,4.5,32.7875,100,0.47,0.94,3,3,1,4,5,0.82041,0.61041,3,34.07,NA
13,"2018-12-19","Betrayal HC","Fossil",0.3651,3,147.5,2,1,5,2,3,99.962,89.47533,0.4751,4.83161,38.299,99.405,0.3951,0.86,4,3,1,4,5,0.5,0.65531,3,30,NA
14,"2018-12-20","Betrayal HC","Fossil",0.4401,3,148.47857,2,0.5,5,2,3,98.93,78.86,0.62061,4,44,85,0.47,1,4,2.5,1,4,6,0.50092,0.9,4,23.66,NA
15,"2018-12-21","Betrayal HC","Fossil",0.43,3,145.5,2,0.5,5,2,2,97,59.59,0.61531,4.6013,45,75,0.44,0.9951,3,2,1,3.5,6,0.83551,0.9451,3.53061,19,NA
16,"2018-12-22","Betrayal HC","Fossil",0.4251,2.17571,109.55,2,0.48,5,2,2,90,59.59,0.76,5,41,69.31,0.43,0.96082,3,2,1,3,6,0.5,0.8751,3,15,NA
17,"2018-12-23","Betrayal HC","Fossil",0.42,2,75.2975,2,0.44,5,2,2,80,50,0.74,4,42.12,68,0.41,0.84,3,2,1,3,6,0.5,0.84,3,14,NA
18,"2018-12-24","Betrayal HC","Fossil",0.4,2,74.56,1.98041,0.4,5,2,1,80,50,0.79,4,42.77,62.12,0.4,0.8951,3,2,1,3,7,0.5,0.72592,3,10,NA
19,"2018-12-25","Betrayal HC","Fossil",0.39,2,96.23,1.5,0.39,5,2,1,80,51.05,0.78,4,44.01,60,0.39,0.4701,3,1.5,1,3,8,0.5,0.4501,3,10,NA
20,"2018-12-26","Betrayal HC","Fossil",0.37,2,93.67,1,0.41,5,2,1,60,62.26545,0.65,4.1902,40.13,60,0.39,0.5,3,1.5,1,3,8,0.46,0.4351,3,10,NA
21,"2018-12-27","Betrayal HC","Fossil",0.36,2,87.23,1,0.42,5,2,1,55,60.175,0.6601,5,41.4725,55.6725,0.36,0.44,3,1.5,1,3,8,0.42,0.45,3,10,NA
22,"2018-12-28","Betrayal HC","Fossil",0.36,2,96.6,1,0.4,5,2,1,56.85,62.72,0.68,4.96082,42.66,49.69545,0.36,0.49,3,1.5,1,3,7.18,0.4751,0.5,3,10,NA
23,"2018-12-29","Betrayal HC","Fossil",0.3301,2,92.64,1,0.4301,5,2,1,53.74111,56.9,0.5401,5,45.8625,45.76,0.37,0.5,3,1.12082,1,3.66102,8,0.59031,0.49,3,9.65,NA
24,"2018-12-30","Betrayal HC","Fossil",0.37,2,87.91,1,0.3751,5.17122,2.40551,1,61.8,64.33375,0.5,5,34.60412,48.45,0.37,0.5,3,1,1,3.44041,8,0.5,0.48,3,9,NA
25,"2018-12-31","Betrayal HC","Fossil",0.2801,2,80,1,0.37,5.8901,2.23092,1,46.5,72.6,0.4602,4,35.92938,49.15,0.37,0.49,3,1,1,3,8,0.48,0.48,3,8.08,NA
26,"2019-01-01","Betrayal HC","Fossil",0.37,2,75.91,1,0.37,6,2.77694,1,48.5,87.21,0.5,4,42.35,48,0.37,0.49,3,1,1,3,9,0.5,0.49,3,8.14,NA
27,"2019-01-02","Betrayal HC","Fossil",0.34,2,73.49,1,0.36,5.95051,2.5,1,49.847,121.54,0.4801,4,37.46615,50,0.36,0.49,3,1,1,3,10,0.5,0.3601,3,5.44,NA
28,"2019-01-03","Betrayal HC","Fossil",0.35,2,70.16,1,0.35,6,3,1,49.83,120,0.48,4,43.91,71.78,0.3451,0.5,3,1,1,3,10,0.4951,0.48,3,6,NA
29,"2019-01-04","Betrayal HC","Fossil",0.34,2,75,1,0.34,6,3,1,60,121.04,0.5,4,42.99,75.7,0.34,0.5,3,1,1,3,8.2102,0.5,0.3502,3,5.2756,NA
30,"2019-01-05","Betrayal HC","Fossil",0.33,2,199.23,1,0.33,5.57041,2.9901,1,68.82,123.10536,0.4601,4,40.37,95.81556,0.33,0.5,3,1,1,3.8102,9,0.5,0.4201,3,7.93,NA
31,"2019-01-06","Betrayal HC","Fossil",0.32,2,332.5,1,0.32,5.8202,3,1,67.805,114.155,0.3301,4,47.35,92.76,0.32,0.5,3,1,1,3.65041,9,0.5,0.3702,3,8,NA
32,"2019-01-07","Betrayal HC","Fossil",0.26,2,274.30318,1,0.32,5,3,1,108.31,96.95795,0.32,5,55,77.23,0.32,0.5,3,1,1,3.0251,9,0.5,0.48041,3,6.92,NA
33,"2019-01-08","Betrayal HC","Fossil",0.31,2,183.25235,1,0.31,5,3,1,108.08,80,0.5,5,55,70,0.3,0.5,3,1,1,3,9.62265,0.4902,0.4251,3,7,NA
34,"2019-01-09","Betrayal HC","Fossil",0.29,2,216.26182,1,0.3,5,3,1,117.17,78.55,0.5,4,49.33,80,0.3051,0.4802,3,1,1,3.5,9.97058,0.5,0.4751,3,7,NA
35,"2019-01-10","Betrayal HC","Fossil",0.29,2,220.66636,1,0.29,5,3,1,110.88188,75.85,0.4651,5,49.27429,85.76,0.29,0.5,3,1,1,3.1402,10,0.5,0.3302,3,6.82,NA
36,"2019-01-11","Betrayal HC","Fossil",0.29,2,235.98,1,0.36041,5.61551,3,1,106.02643,75.93263,0.5,5,43.17,84.53,0.3451,0.4851,3,1,1,3.4802,10,0.42061,0.3651,3,7,NA
