"Day","Date","League","Type","Chayula.s.Breachstone","Divine.Vessel","Eber.s.Key","Esh.s.Breachstone","Fragment.of.the.Chimera","Fragment.of.the.Hydra","Fragment.of.the.Minotaur","Fragment.of.the.Phoenix","Inya.s.Key","Mortal.Grief","Mortal.Hope","Mortal.Ignorance","Mortal.Rage","Sacrifice.at.Dawn","Sacrifice.at.Dusk","Sacrifice.at.Midnight","Sacrifice.at.Noon","Splinter.of.Chayula","Splinter.of.Esh","Splinter.of.Tul","Splinter.of.Uul.Netol","Splinter.of.Xoph","Tul.s.Breachstone","Uul.Netol.s.Breachstone","Volkuur.s.Key","Xoph.s.Breachstone","Yriel.s.Key","Chayula.s.Charged.Breachstone","Chayula.s.Enriched.Breachstone","Chayula.s.Pure.Breachstone","Esh.s.Charged.Breachstone","Esh.s.Enriched.Breachstone","Esh.s.Pure.Breachstone","Tul.s.Charged.Breachstone","Tul.s.Enriched.Breachstone","Tul.s.Pure.Breachstone","Uul.Netol.s.Charged.Breachstone","Uul.Netol.s.Enriched.Breachstone","Uul.Netol.s.Pure.Breachstone","Xoph.s.Charged.Breachstone","Xoph.s.Enriched.Breachstone","Xoph.s.Pure.Breachstone","Timeless.Eternal.Emblem","Timeless.Eternal.Empire.Splinter","Timeless.Karui.Splinter","Timeless.Maraketh.Emblem","Timeless.Maraketh.Splinter","Timeless.Templar.Emblem","Timeless.Templar.Splinter","Timeless.Vaal.Emblem","Timeless.Vaal.Splinter","Fragment.of.Constriction","Fragment.of.Emptiness","Fragment.of.Enslavement","Fragment.of.Eradication","Fragment.of.Knowledge","Fragment.of.Purification","Fragment.of.Shape","Fragment.of.Terror"
1,"2017-12-08","Abyss HC","Fragment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","Fragment",0,1.99616,0,0,0,0,0,0,2,0,0,0,0,0.99953,1,3.30368,1.0303,1.92334,2.61667,1.1,1.75,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","Fragment",0,1.03705,4.87677,0,0,0,0,0,5.09861,3,38.39798,25,4.6,1,1,2.55122,1,1.07159,0.70927,0.61934,0.34581,0.59839,0,0,12.63636,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","Fragment",0,1,4.42845,0,0,0,0,0,7.08,2.77362,15.00409,22.06812,3,1,1,2.36207,1,1,0.45637,0.33781,0.29213,0.33858,0,0,11.64655,0,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","Fragment",0,1,3.69411,0,30,30,30,30,10.91787,2,11.08921,17.24549,2.6694,1,1,2,1,1,0.37402,0.32408,0.33333,0.32791,0,0,9.81721,24.75455,4.7209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","Fragment",0,1,2.87931,0,24.46148,30,29.31719,24.19958,8.71833,2,10.03823,12.77655,2.73579,0.90284,0.93466,2,1,1,0.35748,0.33333,0.31154,0.27768,35.55556,0,6.93814,25.06452,13.31232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","Fragment",0,1,2.28713,25.78936,17.19713,29.34866,23.26996,26.26245,9.43279,2,9.13139,8.91058,2.23226,0.88357,0.74448,2,1,1,0.32783,0.32063,0.26523,0.25011,0,0,6.7712,48.66667,11.0718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","Fragment",0,1,2.35081,21.85366,12.21709,20.87404,19.77292,17.32468,9.00742,2,9.21703,8.24574,2.1352,1,1,1.66531,1,1,0.30648,0.3325,0.26275,0.26862,22.80971,0,6,37.14405,9.48437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","Fragment",799999992,1,2,19.58696,13.649,18.25135,19.90331,24.22486,8.85696,1.84702,8.01677,6.43147,2.00187,1,1,1.65454,1,1.07319,0.31591,0.33218,0.27897,0.32924,31.1179,20,6.13943,35,8.51816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","Fragment",0,1,2,31.9037,9.83063,14.81873,23.81251,19.4601,7.2417,2,8.8167,7.86673,2.44529,0.99737,0.97686,1,1,1.4462,0.31076,0.3248,0.27467,0.32892,31.77516,35,6.86234,31.68141,7.61363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
