"Day","Date","League","Type","Amber.Oil","Azure.Oil","Black.Oil","Clear.Oil","Crimson.Oil","Golden.Oil","Opalescent.Oil","Sepia.Oil","Silver.Oil","Teal.Oil","Verdant.Oil","Violet.Oil"
1,"2019-09-06","Blight HC","Oil",0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-09-07","Blight HC","Oil",1,3,21.12,0.27,10.36,0,41.7975,1,0,2,0.84,5.83846
3,"2019-09-08","Blight HC","Oil",1,3,12,0.28,5,198,31,0.42,98.58,2,0.52,5
4,"2019-09-09","Blight HC","Oil",1,2,10,0.32,5,205.94333,30.62,0.4,70,2,1,6
5,"2019-09-10","Blight HC","Oil",0.66,2,12,0.37,6,184.67,55,0.37,67.39308,1,1,7
6,"2019-09-11","Blight HC","Oil",0.8,2.5,14.10625,0.4,7.97,191.56667,39,0.4,70,1,1,7
7,"2019-09-12","Blight HC","Oil",0.79,3,15,0.43,8.8,270.4,35,0.43,83.32,1.13125,0.93,6
8,"2019-09-13","Blight HC","Oil",0.57,3,14,0.42,8,280.65714,35.8,0.42,80,1.78,0.84,5
9,"2019-09-14","Blight HC","Oil",0.44005,3,14,0.41,7,257.3975,35,0.41,73.5,1.95,0.82,4
10,"2019-09-15","Blight HC","Oil",0.83,3,13,0.41,6,255.5,38,0.41005,72.07,1,0.82,4
11,"2019-09-16","Blight HC","Oil",0.49,2.95545,12,0.41,6,269.37,35,0.41,71.03,1,0.82,5
12,"2019-09-17","Blight HC","Oil",0.52,2,12.86,0.39,6,275.16818,36,0.39,74.73412,1,0.68,5
13,"2019-09-18","Blight HC","Oil",0.41,2,13,0.41,5,266.52,38,0.41,75.00636,1,0.6,4.49505
14,"2019-09-19","Blight HC","Oil",0.5,2,14,0.41,5,265.21207,39,0.4,77.24429,1,0.81,4
15,"2019-09-20","Blight HC","Oil",0.81,2,14.9697,0.42,5,286.59,40.51811,0.42,77.10857,1,0.84,4
16,"2019-09-21","Blight HC","Oil",0.85,2,14,0.42,6,292.29773,40,0.42,90.06,1,0.90505,4
17,"2019-09-22","Blight HC","Oil",0.87,2,13.52076,0.43,6,291.82,40,0.43,98.22,1.37505,0.91,4
18,"2019-09-23","Blight HC","Oil",0.82005,2,12.62489,0.43,6,300.65667,38.11221,0.43,90,1,0.86,3.7801
19,"2019-09-24","Blight HC","Oil",0.45,2,13,0.42,5.03,313.86944,37.41508,0.44,87.276,1,0.97,4
20,"2019-09-25","Blight HC","Oil",0.45,2,13,0.4,5,317.81,36,0.45,83.88696,1,1,4
21,"2019-09-26","Blight HC","Oil",0.46,2,13,0.38,5,300.20594,37,0.46,87.93076,1.48,1,4
22,"2019-09-27","Blight HC","Oil",0.48,2,12,0.36,5,283.46,37,0.47,95,1.51,1,4
23,"2019-09-28","Blight HC","Oil",0.48,2,11,0.35,5,282.52483,35.20882,0.48,91.17657,1.5,1,4
24,"2019-09-29","Blight HC","Oil",0.48,2,10.25515,0.35,5,282.08682,34,0.5,89.99,1.77615,1,4
25,"2019-09-30","Blight HC","Oil",0.49,2,10,0.32,5,297.8,33,0.5,90,2,1,4
26,"2019-10-01","Blight HC","Oil",0.48,2,10,0.32,5,285.22,33.22063,0.48,90,2,1,3
27,"2019-10-02","Blight HC","Oil",0.62,2,10,0.31,5,315.86,34,0.48,95,1.96,1,3
28,"2019-10-03","Blight HC","Oil",0.62,2,11,0.32,5,315.86,36.09,0.48,95,2,0.96,4
29,"2019-10-04","Blight HC","Oil",0.63,2,13.32198,0.32,5,315.9,38,0.48,99.74,2,0.96,4
30,"2019-10-05","Blight HC","Oil",0.6,2,14,0.31,5.02,316.65176,38,0.35,100.87,2,0.96,4
31,"2019-10-06","Blight HC","Oil",0.62,2,13,0.31,5,323.68,37.59,0.31,102.03,2,0.96,4
32,"2019-10-07","Blight HC","Oil",0.68,1.98,13,0.3,5,328.34897,38.67936,0.35,108.92368,1.93,0.96,4
33,"2019-10-08","Blight HC","Oil",0.99,2,12,0.3,5.83,364.60768,37,0.36,110,2,1,4
34,"2019-10-09","Blight HC","Oil",1,2,12,0.3,5,364.5,35,0.47,110,2,1,4
35,"2019-10-10","Blight HC","Oil",1,2,12,0.36,5,360.45,35,0.4,100.66,2,1,4
36,"2019-10-11","Blight HC","Oil",1,2,12,0.46,5,331.96,33.21446,0.49,102.27158,2,1,4
37,"2019-10-12","Blight HC","Oil",1,2,11.94571,0.5,5,337.6,35,0.5,105,2,1,4
38,"2019-10-13","Blight HC","Oil",1,2,11,0.5,5,335.55182,34.85013,0.47,105,2,1,4
39,"2019-10-14","Blight HC","Oil",1,2,11,0.5,5,336.43,33,0.5,100,1.55,1,3.39
40,"2019-10-15","Blight HC","Oil",0.68,2,10,0.5,5,310,33.23774,0.5,95.21,2,1,3
41,"2019-10-16","Blight HC","Oil",0.54,2,10,0.5,5,258.18677,32,0.5,95,1.06,1,3.32
42,"2019-10-17","Blight HC","Oil",0.73,2,10,0.5,5,271.13593,30,0.5,87.93081,2,1,3
43,"2019-10-18","Blight HC","Oil",0.63539,2,10,0.5,5.08,262.58985,29.38,0.5,88.0672,2,1,3
44,"2019-10-19","Blight HC","Oil",0.55,2,10,0.5,5.4,260,29,0.5,84.51962,2,1,3.5
45,"2019-10-20","Blight HC","Oil",0.54,2,10,0.5,5.55533,282.35104,28.67347,0.5,85,2,1,3.56
46,"2019-10-21","Blight HC","Oil",0.53,2,9,0.5,5,296.066,28,0.5,90,2,1,3.68
47,"2019-10-22","Blight HC","Oil",0.53,2,9,0.5,5,293.22609,28,0.5,85,1.97,0.98,3.01
48,"2019-10-23","Blight HC","Oil",0.71045,2,9,0.5,5,292.75023,28.44,0.5,90,1.9787,0.93,3
49,"2019-10-24","Blight HC","Oil",0.59,2,9,0.5,5,285.76162,28,0.5,95,2,0.91,3.5
50,"2019-10-25","Blight HC","Oil",0.5,2,9,0.5,5,311.62581,30,0.5,96.09725,1.99,0.96,3.35
51,"2019-10-26","Blight HC","Oil",0.5,2,9,0.5,5,326.79,30,0.5,96.71,2,0.99,3.78
52,"2019-10-27","Blight HC","Oil",0.5,2,9,0.5,5,324.15324,30,0.5,95.47667,2,1,3.72
53,"2019-10-28","Blight HC","Oil",0.51,2,9,0.5,5,315.118,30,0.51,94.98,2,1,3.78
54,"2019-10-29","Blight HC","Oil",0.51,2,9,0.5,5,319.89,30,0.51,93.98,1.63,1,3
55,"2019-10-30","Blight HC","Oil",0.8,2,9,0.5,5,329.096,30,0.53,93.63597,1.45,1,3
56,"2019-10-31","Blight HC","Oil",0.95,2,9,0.5,5,324.73,30,0.65,92.78,1.5,1,3
57,"2019-11-01","Blight HC","Oil",0.59,2,9,0.5,5,324.95444,30,0.53,93.97,1.82,1,3
58,"2019-11-02","Blight HC","Oil",0.55,2,8.58667,0.5,5,342.72,30,0.52,96.26,1.79012,1,3
59,"2019-11-03","Blight HC","Oil",0.62,2,9,0.5,5,341.68818,32.77,0.51,96.73429,1.56,1,3
60,"2019-11-04","Blight HC","Oil",0.66,2,10,0.5,5,333.8,33.53194,0.52,98.45532,1.63,1,3
61,"2019-11-05","Blight HC","Oil",0.67,2,10,0.5,5,325.98,33.88,0.53,103.25871,1.39,1,3
62,"2019-11-06","Blight HC","Oil",0.86,2,10.49571,0.5,5,302.89,35,0.51,100.06,1.5,1,3
63,"2019-11-07","Blight HC","Oil",1,2,10.71,0.51,5,331.87,34.06,0.55,100,1.33,1,3
64,"2019-11-08","Blight HC","Oil",1,2,11,0.56511,5,315.78,32.76,0.88,99.94,1,1,3
65,"2019-11-09","Blight HC","Oil",1,2,10.95,0.56,5,320.35056,35,1,101.7,1,1,3
66,"2019-11-10","Blight HC","Oil",1,2,11.59,0.56,5,262.02,35,1,100.23,1,1,3
67,"2019-11-11","Blight HC","Oil",1,2,11.71,0.54,5,285.3,34,0.57,101.82,1,1,3
68,"2019-11-12","Blight HC","Oil",1,2,11.56,0.51,5.89,303.02,33,0.54,99.4503,1,1,3
69,"2019-11-13","Blight HC","Oil",1,2,11.31,0.51,4.95,302.28767,31.34,0.51,100,1.1,1,3
70,"2019-11-14","Blight HC","Oil",1,2,11.9,0.5,4.819,291.55,33.14,0.51,100,1.26,1,3
71,"2019-11-15","Blight HC","Oil",1,2,12,0.54,4.52,288.54,32.08719,0.67,96.62,1.23,1,3
72,"2019-11-16","Blight HC","Oil",1,2,12,0.58,6,287.56,32,0.98,100,1.24,1,3
73,"2019-11-17","Blight HC","Oil",1,2,12,0.52,6,288.82,33.19,0.78,100,1.38417,1,3
74,"2019-11-18","Blight HC","Oil",1,2,12,0.5,6,288.08,32.63,0.62,96.68333,1.53,1,3
75,"2019-11-19","Blight HC","Oil",1,2,12,0.51,6,305.73,32.86,0.64,97.47,1.48,1,3.05
76,"2019-11-20","Blight HC","Oil",1,2,12,0.52,6,325.41,33.48,0.99,99.17,1,1,3.06
77,"2019-11-21","Blight HC","Oil",1,2,12,0.53,6,329.615,35,0.85,95,1,1,3
78,"2019-11-22","Blight HC","Oil",1,2,13.12,0.53862,6,328.72947,35,0.99,95.31,1,1,3.76
79,"2019-11-23","Blight HC","Oil",1,2,14.02,0.52,7,291.27,35,0.99,94.12,1,1,4
80,"2019-11-24","Blight HC","Oil",1,2,14.6,0.5,7,294.94,35.78,0.97676,95,1,1,4
81,"2019-11-25","Blight HC","Oil",1,2.85,15,0.5,6.6,291.37,38.8,0.97,95,1.02,1,4
82,"2019-11-26","Blight HC","Oil",0.85,3,16.13,0.5,6.89,309.06,39.96,0.71,95.3,1.17,1,4.2
83,"2019-11-27","Blight HC","Oil",0.99,2.17,18.43273,0.5,6.89,320.03571,40,1,95.63,1.13,1,4
84,"2019-11-28","Blight HC","Oil",1,3,18,0.57,6.065,311.96,40,1,96.22,1.54,1,4
85,"2019-11-29","Blight HC","Oil",1,3,18,0.57,6.2,303.08,40,1,95.05,1.56,1,4
86,"2019-11-30","Blight HC","Oil",1,3,15,0.51,7.12,306.4,40,0.89,95,1.26,1,4
87,"2019-12-01","Blight HC","Oil",1,3,15,0.5,5.83333,312.45333,43.21,0.89978,95,1.22,1,4
88,"2019-12-02","Blight HC","Oil",0.98237,2.49,15.31,0.52,5.00682,320.63,44.08,1,95,1,1,3.79
89,"2019-12-03","Blight HC","Oil",1,2.62,15,0.52,6.35,313.36,41.29318,1,93.41,1,1,4
90,"2019-12-04","Blight HC","Oil",1,2.68179,16.06,0.74,5.99,309.8,41.44,1,95,1.06,1,4
91,"2019-12-05","Blight HC","Oil",1,2.61,18.26,0.66,5.57,323.98167,42.31,1,98.78,1.06,1,4
92,"2019-12-06","Blight HC","Oil",1,2.66,20,0.66,5.74,336.5425,42.91,1,96.66,1,1,4
93,"2019-12-07","Blight HC","Oil",1,2.23,20,0.65,5.62,349.71,42.58,1,100.24,1,1,4
94,"2019-12-08","Blight HC","Oil",1,3.09,20.09,0.86,5.4,401.20222,42.58,1,111.81,1.05,1,4
95,"2019-12-09","Blight HC","Oil",1,2.78,22.99,0.82,5.33,398.85,45,1,111.03,1,1,3.87
1,"2019-12-13","Metamorph HC","Oil",0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph HC","Oil",1.14,2.645,15,2,5.21,0,0,1.39643,0,2,2,5
3,"2019-12-15","Metamorph HC","Oil",1.66,2.89833,14,1,6,0,47.33,1.06,100.5875,2,2,4
4,"2019-12-16","Metamorph HC","Oil",1,3.68588,12,1,6,291.96,36.59,1,75,2,2,3.50824
5,"2019-12-17","Metamorph HC","Oil",1,3,12,1,6,202.92,28.9075,1,73.5,2,2,4.43857
6,"2019-12-18","Metamorph HC","Oil",1,3,12,1,5,179.13,33.41833,1,69.77,2,1.5,4
7,"2019-12-19","Metamorph HC","Oil",1,3,11,1,5,169.79286,34,1,72.75,1.74696,1,4
8,"2019-12-20","Metamorph HC","Oil",1,3.32537,11,1,5,150,35,1,72.82385,2,1,3
9,"2019-12-21","Metamorph HC","Oil",1,3.75173,11,1,5,135,33.92,1,74.76,1.49,1,3
10,"2019-12-22","Metamorph HC","Oil",1,3,10,0.66,5,138.89,29.09105,0.92,74.65,2,1,3
11,"2019-12-23","Metamorph HC","Oil",1,3,10,0.5802,5,171.5,29.22184,0.91005,76.29,2,1,3
12,"2019-12-24","Metamorph HC","Oil",1,3,9,0.59005,4,178.5,30,0.95,85.73,2,1,2.86073
