"Day","Date","League","Type","A.Call.into.the.Void","A.Firm.Foothold","A.Forest.of.False.Idols","A.Gracious.Master","A.Master.Seeks.Help","A.Prodigious.Hand","A.Regal.Death","A.Valuable.Combination","A.Whispered.Prayer","Abnormal.Effulgence","Against.the.Tide","An.Unseen.Peril","Anarchy.s.End.I","Anarchy.s.End.II","Ancient.Doom","Baptism.by.Death","Beyond.Sight.I","Beyond.Sight.IV","Blood.in.the.Eyes","Blood.of.the.Betrayed","Bountiful.Traps","Cleanser.of.Sins","Crushing.Squall","Custodians.of.Silence","Day.of.Sacrifice.I","Day.of.Sacrifice.II","Day.of.Sacrifice.III","Day.of.Sacrifice.IV","Deadly.Rivalry.I","Deadly.Rivalry.II","Deadly.Rivalry.III","Deadly.Rivalry.IV","Deadly.Rivalry.V","Deadly.Twins","Defiled.in.the.Sceptre","Dying.Cry","Echoes.of.Witchcraft","Ending.the.Torment","Erased.from.Memory","Erasmus..Gift","Fated.Connections","Fear.s.Wide.Reach","Fire.and.Brimstone","Fire.and.Ice","Fire.from.the.Sky","Fire..Wood.and.Stone","Flesh.of.the.Beast","Forceful.Exorcism","From.Death.Springs.Life","From.The.Void","Gilded.Within","Golden.Touch","Graceful.Flames","Heart.of.the.Fire","Heavy.Blows","Hidden.Reinforcements","Hidden.Vaal.Pathways","Holding.the.Bridge","Hunter.s.Lesson","Ice.from.Above","In.the.Grasp.of.Corruption","Kalandra.s.Craft","Lasting.Impressions","Lightning.Falls","Living.Fires","Lost.in.the.Pages","Monstrous.Treasure","Mouth.of.Horrors","Mysterious.Invaders","Nature.s.Resilience","Nemesis.of.Greed","Notched.Flesh","Overflowing.Riches","Plague.of.Frogs","Plague.of.Rats","Pleasure.and.Pain","Pools.of.Wealth","Possessed.Foe","Power.Magnified","Rebirth","Reforged.Bonds","Resistant.to.Change","Risen.Blood","Roth.s.Legacy","Severed.Limbs","Smothering.Tendrils","Soil..Worms.and.Blood","Storm.on.the.Horizon","Storm.on.the.Reef","Strong.as.a.Bull","Thaumaturgical.History.I","Thaumaturgical.History.II","Thaumaturgical.History.III","The.Alchemist","The.Ambitious.Bandit.I","The.Apex.Predator","The.Beautiful.Guide","The.Beginning.and.the.End","The.Bloody.Flowers.Redux","The.Bowstring.s.Music","The.Brothers.of.Necromancy","The.Brutal.Enforcer","The.Corrupt","The.Cursed.Choir","The.Dream.Trial","The.Dreamer.s.Dream","The.Eagle.s.Cry","The.Feral.Lord.I","The.Feral.Lord.II","The.Feral.Lord.III","The.Feral.Lord.V","The.Flayed.Man","The.Flow.of.Energy","The.Fortune.Teller.s.Collection","The.Four.Feral.Exiles","The.God.of.Misfortune","The.Hardened.Armour","The.Hollow.Pledge","The.Hungering.Swarm","The.Invader","The.Jeweller.s.Touch","The.Karui.Rebellion","The.King.s.Path","The.King.and.the.Brambles","The.Lady.in.Black","The.Last.Watch","The.Lost.Maps","The.Lost.Undying","The.Misunderstood.Queen","The.Mysterious.Gift","The.Nest","The.Petrified","The.Plaguemaw.I","The.Plaguemaw.II","The.Plaguemaw.IV","The.Plaguemaw.V","The.Prison.Guard","The.Prison.Key","The.Queen.s.Vaults","The.Scout","The.Servant.s.Heart","The.Sharpened.Blade","The.Silverwood","The.Singular.Spirit","The.Sinner.s.Stone","The.Snuffed.Flame","The.Soulless.Beast","The.Stockkeeper","The.Sword.King.s.Passion","The.Trembling.Earth","The.Twins","The.Unbreathing.Queen.I","The.Unbreathing.Queen.II","The.Unbreathing.Queen.V","The.Undead.Brutes","The.Undead.Storm","The.Vanguard","The.Walking.Mountain","The.Ward.s.Ward","The.Warmongers.I","The.Warmongers.II","The.Warmongers.III","The.Watcher.s.Watcher","The.Wealthy.Exile","Touched.by.the.Wind","Trash.to.Treasure","Twice.Enchanted","Unbearable.Whispers.I","Unbearable.Whispers.II","Unbearable.Whispers.III","Unbearable.Whispers.V","Undead.Uprising","Vaal.Winds","Visions.of.the.Drowned","Vital.Transformation","Waiting.in.Ambush","Weeping.Death","Wind.and.Thunder","Winter.s.Mournful.Melodies","A.Dishonourable.Death","A.Rift.in.Time","A.Vision.of.Ice.and.Fire","Agony.at.Dusk","Beyond.Sight.II","Black.Devotion","Blind.Faith","Blinding.Light","Burning.Dread","Cold.Blooded.Fury","Cold.Greed","Crimson.Hues","Dance.of.Steel","Dark.Instincts","Darktongue.s.Shriek","End.of.the.Light","Greed.s.Folly","Last.of.the.Wildmen","Song.of.the.Sekhema","Sun.s.Punishment","The.Dreaded.Rhoa","The.Fall.of.an.Empire","The.Great.Leader.of.the.North","The.Great.Mind.of.the.North","The.Malevolent.Witch","The.Nightmare.Awakens","The.Storm.Spire","Trapped.in.the.Tower","Anarchy.s.End.III","Anarchy.s.End.IV","Beyond.Sight.III","Fallow.At.Last","Path.of.Betrayal","Thaumaturgical.History.IV","The.Ambitious.Bandit.II","The.Child.of.Lunaris","The.Feral.Lord.IV","The.Queen.s.Sacrifice","The.Unbreathing.Queen.III","The.Unbreathing.Queen.IV","The.Warmongers.IV","Unbearable.Whispers.IV","Unnatural.Energy","Vaal.Invasion","Battle.Hardened","Faith.Exhumed","The.Ambitious.Bandit.III","The.Bishop.s.Legacy","The.Forgotten.Garrison","The.Forgotten.Soldiers","The.Mentor","The.Plaguemaw.III","Ancient.Rivalries.I","Ancient.Rivalries.II","Ancient.Rivalries.III","Ancient.Rivalries.IV","Brothers.in.Arms","Echoes.of.Lost.Love","Echoes.of.Mutation","Storm.on.the.Shore","The.Aesthete.s.Spirit","The.Blacksmith"
1,"2017-12-08","Abyss HC","Prophecy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","Prophecy",0,0,5,2.92688,1.45719,0,0,0,0,0,0,0,0,0,20.99906,0,0,0,0,0,8,15,0,1.02625,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,11.52281,0,0,0,71.77813,0,0,50,0,0,0,0,1.17455,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13.626,0,2,0,0,0,2,0,1,3.70281,0,0,0,0,0,4.592,0,0,0,0,0,0,0,0,0,0,3.02667,1.95625,14.595,3.4375,21.07125,0,0,0,0,2.25,0,0,0,0,0,0,0,14,0,0,0,0,0,0.33889,0,26.435,10,14.375,0,0,0,0,0,15,5,0,0,0,0,0,0,0,1,1,0,10.6,0,1.75,0,0,4.2725,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1.24438,0,0,0,0,0,5,0,0,0,0,0,10.08621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","Prophecy",0,1,6.20741,2.93466,1.90672,2,2,0.26269,0,2.88636,0,0,0,0,14.94828,1.27429,0,0,48.6959,9.15294,6.91103,0,0,1.12,0,0,0,0,0,0,0,0,0,2,0,22.44759,1,0,0,28.88,0,0,5.08293,16.09524,0,0,45.78741,0,0,17.42845,0,0,0,2,1.24983,0,1.93532,0,0,1.9069,0,3.65455,0,0,0,0,7.94768,2.02729,0,6.19448,0,2.21121,0,0,0,2.79113,0,1,1.45052,3,0,0,0,2.15347,9.79574,0,1,0,5,1,2.7963,0,0,0,0,9.60771,1.02586,6.0269,2.17759,12.84828,0,0,1,0,1.90431,2,1,1,0,0,10,0,6.87931,5.16852,0,0,0,0,0.34724,1,23.87931,7.15517,51.75,10.87119,0,0,0,0,14.08333,3.48579,3,1,1,0,0,0,0,1.36466,4.91,4.41622,9.31397,0,3.44688,0,2.10526,2.15534,5,0,1.01448,0,1,6,0,10,0,0,2.11667,2.65,0.85603,0,0,0,2,0,0,0,1.92,0,0,0,0,0,5.13362,0,0,0,2,88.21739,4.72207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","Prophecy",0,1.30638,9.45483,2.97414,1.77414,2,2,0.25776,0,2,1.90091,2,0,0,9.22879,1,0.712,0,27.615,4.32448,4.72069,0,0,1.12,0,0,0,0,0,0,0,0,0,1.13793,0,16.56276,1,3,0,9.34517,0,0,6.02293,7.84517,0,0,56.40582,0,3.57661,4.55586,0,0,4,2.13879,0.87914,0,1.05379,0,0,1.14655,0,3,1,0,0,0,6.75017,1.84759,1,5.34121,0,1.68276,1.98448,0,0,1.20845,0,1,1.01552,2.43276,0,0,0,2,8.87466,0,0,1.02333,5,1.00207,1.57241,0,0,0,2,5.72138,1,2.6219,1.0731,8.69707,1,2,1,0,2.40259,2,1,1.05793,0,0,10,0,3.68466,5.18741,0,1,0,0,0.37103,1,24.39931,3.62586,59.02672,8.09845,1,0,0,0,8.36333,1.88966,3,1,0.79983,0,0,0,0,1.09724,3.91414,4.83448,13.33966,0,3.07241,0,1.60345,0.93793,4.95345,0,1.12,3,1,3.09138,0,10,1,0,1.87845,1.64655,0.74103,8,0,0,2,0,0,1147.35294,1.99328,4.9069,0,0,0,0,4.85379,0,0,0,2,48.53517,3.47638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","Prophecy",0,1.14603,6.75586,3.0669,1.05828,2,0,0.30328,2,2,0.68845,2,0,0,7.78862,0.68879,0.70345,0,14.86069,2.04603,3.03552,11.03704,0,1.12,0.604,0,0,0,0,0,0,0,0,1,0,13.26086,1,2.79828,0,6.11517,373.33333,0,4.10017,5.04086,0,0,77.22362,0,14,3.8281,0,0,3.39138,1.97931,0.97897,0,0.95655,0,0,1.1,0,3,1,0,0,0,7.92362,1.10207,1,3.42741,5.46837,0.99655,1.1,2,5,0.99828,0,1,1.26552,1.51052,0,0,0,2,6.24845,0,0,1.30448,4.15345,0.68741,1.2931,0,0,0,2,4.9881,1,1.02379,1,6.42948,1,2,0.87759,0,2.42621,1.97362,1,1,0,0,0,0,1.99897,2.38052,0,1,0,2,0.37655,1,21.68155,2.56121,33.57621,5.39655,1,2,0,0,4.37,1.23034,2.81379,1,0.65345,0,0,0,1.83333,1,3.2119,2.48138,8.01845,1,2.84017,0,1,0.98983,2.25759,0,1.32069,2.93793,1,2.4531,0,0,1,7,1,1.37931,0.71259,8,0,0,2,0,0,1191.67241,2.17741,2.7431,0,0,0,0,5.54793,1,0,5.23059,1.86207,25.86293,2.66121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","Prophecy",0,1,3.25759,3,1.00259,2,1.17568,0.65552,2,2,0.65793,2,7,0,6.89879,0.61207,0.71586,0,10.4469,1.61103,2.64638,12,0,1.09931,0.60655,0,0,0,0,0,0,0,0,1,0,12.58241,1,1.1,0,5.50879,409.96444,1,3.57448,4.62569,0,0,67.61207,1,6.93966,2.66534,0,1,3.76552,0.76224,0.9669,0,0.89103,0,0,1.1,0,3,1,0,0,29.57143,13.02793,0.87241,1,3.35276,4.33414,0.9131,1.1,2,3.22069,0.99052,0,1,1.91,1.35483,2,0,0,2,8.47759,0,1,1.24,3.1,0.66397,3,0,0,0,2,4.7631,1.73914,1,0.94207,4.94207,1,0,0.64207,1,2.52741,1.74948,1,1,0,0,13.55,0,1.64534,2,3,1,0,2,0.31845,1,22.81966,2,30.37414,5.55431,0,1.60345,1.64912,2,3.09793,1.15621,2.1,1,0.81259,0,0,0,1,1,2.91776,1.95966,5.93483,1,2.7,0,0,1,1.93776,0,1.05155,2.19931,1,1.1719,0,8,1,6.22414,1,2,0.75586,8,0,0,0.75741,2,0,1155.1069,2.93052,1.36207,0,0,0,0,5.12086,1.04966,0,3.24483,1.2,23.43828,1.81655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","Prophecy",0,1,2.73105,3.19088,1.01386,1.80281,0.83263,0.48526,2,2,0.69702,1.36842,7,0,6.93105,0.98263,0.75,0,9.21825,1.35614,2,11,0,1,0.61877,0,0,0,7,0,0,0,0,1,0,9.96263,1,1.1,0,4.68772,486.07368,1.16421,2.98333,4.10228,0,0,67.44614,1,2.3,2,0,1,3.51053,0.67842,0.82228,0,1,0,0,1.1,0,3,1,0,0,30,14.97526,0.88684,1,2.78842,3.56561,0.85579,1.1,2,2.2,0.97018,0,1,1.23298,1,2,0,0,1.95211,5.56895,0,1,1.21895,3.1,0.8207,3,0,0,0,2,4.70123,1.28561,1,0.94088,4.97404,1,0,0.72895,1,2.17281,1.37649,0.85211,1,0,0,13,2,1.03719,2,2.77105,0.98439,0,2,0.51018,1,22.35965,2,25.60158,4.4793,0.45105,2,0.93263,2.59102,3,1,2.1,1,0.79175,0,0,0,1,1,2.49123,1.69684,9.92596,0.92053,2.01509,0,0.78815,1,1.57386,0,1,424.12404,0.96754,1,0,7.29825,1,6.1,1,2,0.90053,7.94737,0,0,0.37316,0,0,932.87018,2.95895,1,0,0,0,0,6.10789,0.78702,0,2.61,1.2,22.19333,1.33509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","Prophecy",3,1,2.44707,3.61345,1.115,1.01379,0.83672,0.37672,1.21897,2,0.2731,1.1,7,0,9.68034,1,0.66069,0,4.99741,1.01172,1.69138,7.76111,0,1,0.62983,0,0,0,5.85517,0,0,0,0,1,0,8.29517,1,1.12069,0,3.84517,530,1.17448,2.95793,3.94483,8.74,0,82.87241,1,2.60879,1.99948,0,1,2.31552,0.85983,0.87276,0,1,0,0,1.1,0,3,1,0,0,13.93862,18.65931,0.96707,0.99397,3,1.93,0.9131,1.03448,2.05931,2.2431,1,0,0.85172,1,1,2,0,1,1.31155,7.26828,0,1,1,3.02931,0.71379,2.03966,0,0,1,2,4.84362,1.85828,1,0.96,5.17276,1,0,0.74948,1,1.62345,1,0.78966,1,0,0,11.82069,2,1,2,1.73621,1.03276,0,2,0.66,1,21.92414,2.01845,29.46466,5.2069,0.51052,1.80017,0.86362,1.44121,2.70483,1.06017,2.02414,1,0.84983,0,0,0,1,1,2,1,20.92966,0.84466,1.68552,0,0.66034,1,1.36414,0,1,1,1,0.98828,10,6,1,6.1,1,2,0.95017,2.56086,0,0,0.14638,1,0,931.51724,2.99569,1,0,0,0,0,5.9969,0.73983,0,1.76793,1.22603,23.16862,1.51638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","Prophecy",1.76842,1,2.35491,3.82877,1.00947,1,1.10684,0.59825,1,2,0.24,1.1,7,0,13.91474,1,0.61,0,2,1,1.80491,11.42351,0,1,0.65439,0,0,0,2.38439,0,0,0,0,1,0,7.79702,1,1.22,0,3.12632,506.43895,1,2.20053,4.12439,10,0,77.91912,1,2.10175,2,0,1,2.27965,0.60053,0.54912,0,1,0,0,1.10386,0,3,1,0,1.0566,8.06842,14.41912,0.98386,0.9314,3.25807,1.89456,0.94719,1,2.68,2.27895,1,0,0.98281,1,1,2,0,1.21439,1.17895,8.02632,0,1,1.0807,2.96263,0.80579,1.02456,0,0,1,2,5.25842,2,1,0.98895,5.60877,1,0,0.84491,1,1.28421,1.37035,0.80825,1,0,0,9.27667,2,1,2,1.14684,1.2907,1,1.67895,0.7614,1,22.77632,1.99614,24.41684,6.56,0.51,1.33246,0.9414,0.96982,2,1.00351,2,1,0.97912,0,0,0,0.85158,1,1.99018,1,8.87404,0.89754,1.5293,3,0.96035,1,1,0,0.89667,1,1,0.96754,7.75789,5.36842,1,5.08947,1,1.33947,1,1.59,0,0,0.15684,1,0,830.41404,3,1,0,0,0,0,5.99684,0.82386,0,1.29,1.25649,24.79281,1.25316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","Prophecy",1.2,1,2.02776,4,1.05276,1,1.01362,0.70741,1,2,0.23655,1.1,7,0,14.95621,0.9169,0.62983,0,1.95914,0.85379,1.94483,13.43345,0,1,0.67776,0,0,0,1.83621,0,0,0,0,1,0,6.25414,1,1.22,0,3,509.79345,0.50103,2.04862,6.4731,3.71552,0,84.77172,0.89155,1.17379,1.595,0,1,3.09121,0.66621,0.4881,0,0.98776,0,0,1.22966,0,3,0.94086,0,1,14.73621,12.46948,0.98914,0.86914,3.10776,1.46207,0.99069,1,1.70621,2,1,0,0.99138,0.99672,1,2,0,1.94,1.35466,9.62345,1,1,1.23,2.01621,0.96759,1,0,0,1,2,6.16845,2,1,1,6.11086,1,0,0.89707,1,1.99448,2.35776,0.77207,1,0,0,12.56552,2,1.00466,2,1.08431,1.03621,1,0.97241,0.77655,1,22.57966,1.99207,28.63862,5.55569,0.55586,1,0.97569,0.99069,1.62862,0.95397,1.75948,0.99121,0.74828,0,0,0,0.53,1,2,1,14.00121,0.84862,1.10379,2.75172,1,1,1,14,0.93,1,1,0.92534,2.3781,4,1.04138,3.41552,1,1.165,1,1.44724,0,0,0.425,1,0,500,3.64534,1,0,0,0,0,5.75,0.90931,0,1.29,1,30.45586,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
