"Day","Date","League","Type","Potent.Alchemical.Resonator","Potent.Chaotic.Resonator","Powerful.Alchemical.Resonator","Powerful.Chaotic.Resonator","Prime.Alchemical.Resonator","Prime.Chaotic.Resonator","Primitive.Alchemical.Resonator","Primitive.Chaotic.Resonator"
1,"2018-12-07","Betrayal HC","Resonator",0,0,0,0,0,0,0,0
2,"2018-12-08","Betrayal HC","Resonator",1,1,1.3,1.643,10,17.14667,1,1
3,"2018-12-09","Betrayal HC","Resonator",1,1,1,1,10.22,15,0.86048,0.97
4,"2018-12-10","Betrayal HC","Resonator",1,1,1,1,19.43,14.9,0.9951,1
5,"2018-12-11","Betrayal HC","Resonator",1,1,1,1,19.29,13.38316,1,1
6,"2018-12-12","Betrayal HC","Resonator",1,1.4402,1,1.93,18.09466,13,1,1
7,"2018-12-13","Betrayal HC","Resonator",1,1,0.90531,1.36551,12.41,13,0.5,1
8,"2018-12-14","Betrayal HC","Resonator",1,1.3402,0.96,1.5,9.38159,10,0.44,0.9701
9,"2018-12-15","Betrayal HC","Resonator",0.88,1.3602,0.98531,1.4602,8,8,0.44,1
10,"2018-12-16","Betrayal HC","Resonator",0.6201,1.2801,0.88,1,7,7,0.44,0.91
11,"2018-12-17","Betrayal HC","Resonator",0.82592,1,0.66,1,6,6,0.45,0.9051
12,"2018-12-18","Betrayal HC","Resonator",0.48,1,0.48,1,6,6,0.46,0.9302
13,"2018-12-19","Betrayal HC","Resonator",0.45,0.8751,0.45,0.72,6,6.01776,0.4302,0.72
14,"2018-12-20","Betrayal HC","Resonator",0.48,0.94,0.45,0.7501,6,6.41,0.47,0.8602
15,"2018-12-21","Betrayal HC","Resonator",0.46,0.9151,0.42,0.69531,7,7,0.44,0.68061
16,"2018-12-22","Betrayal HC","Resonator",0.42,0.8451,0.39,0.6802,7.18931,9.78,0.39,0.62571
17,"2018-12-23","Betrayal HC","Resonator",0.42,1,0.3951,0.7502,7.72721,8,0.41,0.76
18,"2018-12-24","Betrayal HC","Resonator",0.4,0.9551,0.39,0.64041,7,7,0.3951,0.5602
