"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
1,"2018-12-07","Betrayal HC","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,1,1.12,0.35,0.535,10,1,1,1,1,0,2,NA,NA,NA
2,"2018-12-08","Betrayal HC","Scarab",1.4,9,2,6.98,1,8.65,5.5,0,0,3,0,0,3,2.2,1,15,5,2.4,2,5,42.645,1,5,2.31,0.99,0.30538,1,1,1,1,1,0.65833,1,1,1,0.60071,NA,NA,NA
3,"2018-12-09","Betrayal HC","Scarab",3,4.2,3.415,5,18.3,5,3.98,1.43,4,1,1,1.23,2,1.6,5.4,4,5,1.46,2,1.89,7.85833,1,2,2,1,0.31091,1,1,1,1,1,1,1,0.675,1,0.28,NA,NA,NA
4,"2018-12-10","Betrayal HC","Scarab",2,2.07,5.3,7.63,8.77273,2.47917,4.2,1.64,4,1,10.55,1.78,2,2,5,4.14,4.31412,1,2,1,5.27,1,2.48,1,1,0.54,1,1,1,1,1,1,1,0.31,2,0.31402,NA,NA,NA
5,"2018-12-11","Betrayal HC","Scarab",3,2.69,4,10,7,2,4.41,2,9.70375,1,9.78,1,2,2,5,5.48,4.9,1,2,2,2,1,4.08,1,1,1,1,1,1,0.87031,1,1,1,0.48051,5.746,0.49347,NA,NA,NA
6,"2018-12-12","Betrayal HC","Scarab",3,4,5,11.19652,7,2,4,2.37,9.14237,1,10,1,2.03,2,4,9.10708,4.51317,1,2,2,3.4405,0.98,7,1,1,1,1,2,1.39667,1,1,1,1,0.53,6,0.58,NA,NA,NA
7,"2018-12-13","Betrayal HC","Scarab",4,3.5,5,10.77,7.44,2,4,3,8.63,1,10,1,3,2,4,10,4,0.97,2.02375,3,3,0.7,8.44,1,1,1,1,4,2,1,1,1,1,0.42,6.66423,0.46,NA,NA,NA
8,"2018-12-14","Betrayal HC","Scarab",4,4,4,13.1,6.87,3,5,3,8.32,1,10.83837,1,4,2,4,10,4.46711,1,1.81,2,3.68,0.88,9,1,1.47282,1,1,2.74,2,1,1.16,1.26,1,0.4402,7,0.9801,NA,NA,NA
9,"2018-12-15","Betrayal HC","Scarab",5.84184,4,4,16.86667,8.21,3,5,3.61,7,1,11,1,3.71,1.68,4,12.63841,4.46483,1.32,4,2,4,0.88,9,1,1.222,1,1.92333,2.63,2,0.49,2,2,1,0.44,7.83,1,NA,NA,NA
10,"2018-12-16","Betrayal HC","Scarab",7.0302,4,5,22,18.2275,3.06436,5,3,5,1,11.43559,1,4,1.91,4,11.84348,5,1.88882,3.12,2,3,0.9301,9.05,1,2,1.69,2,4,2,1,3,2,1,0.44,7.99606,1,NA,NA,NA
11,"2018-12-17","Betrayal HC","Scarab",6,6.05692,5.25,21.6122,17.4384,3,6.09,4,4.05102,1,12.09,1,4.02212,1.67,4.28933,13,8,2,4.52647,2,3,0.57612,10,1,3,1.08029,2,4.57,2,1,3.49,2,1,0.45,8,1,NA,NA,NA
12,"2018-12-18","Betrayal HC","Scarab",6,7,6,19,16,3.17533,7,3.84041,4,1,18.10347,1,4.06,3.61074,4,12.99,8.17,2,5,2,3,0.94,10,1,3,1.81,2,4,2.354,1,3,1,1,0.47,8.82,0.97,NA,NA,NA
13,"2018-12-19","Betrayal HC","Scarab",6,6,5.19444,18,9.9802,3.22526,7,3,4,1,17.78071,1.93,4,3.87027,4,12.04615,9,2,4,2,3,0.9501,13.56,1,3,2,1.89,4,3,1,3,1,1,0.86082,10,0.96,NA,NA,NA
14,"2018-12-20","Betrayal HC","Scarab",6.06,6,5.80427,12,11.61796,4,5,2.0102,4,1,17,2,5,4,4,10,9,1,3,2,3,0.97,13.21102,1,3,2,1.64,4,3,1,2,1,1,0.99,10.13082,1,NA,NA,NA
15,"2018-12-21","Betrayal HC","Scarab",7.15,6,6,10,13.30041,4,5,2,4,1,16,2,5,3.21,4,8,7.65,1,4,2,3,0.89041,13,1,3,2,1,4,2.31796,1,2,1,1,0.97,10,1,NA,NA,NA
16,"2018-12-22","Betrayal HC","Scarab",8,6,5.47163,11.70612,13,4.00838,4,2,4,1,15,2,5,3.6263,4,9,7,1,4,2,2,0.39,12.8802,1,3,1.98531,2,4,3,1,2,1,1,0.9302,10,0.42,NA,NA,NA
17,"2018-12-23","Betrayal HC","Scarab",9.8,6.39,6,14.52102,12,4,5,3,4,1,16,2,5,4,4,10,5,1.52,3,2,2,0.82571,12,1,3,1.96,1.25,4,2,1,2,1,1,0.8551,9.70041,0.69551,NA,NA,NA
18,"2018-12-24","Betrayal HC","Scarab",10,6.4651,7,16.49551,13,5,5,3,3.89,1.2,20,2,5,4,4,10,5,2,4,2,2,0.39,13,1,2.72939,1.61122,1,4,2,0.52551,2,1,0.94531,0.4,10,0.76,NA,NA,NA
19,"2018-12-25","Betrayal HC","Scarab",10,6,7,14.76051,13,5,5,3,4,1.01,17.06112,2,5,3.51143,4,9,5,2,4,2,2,0.67,14,1,2,1.23143,1.36,3.71,2,0.39,2,1,1,0.39,10,0.39,NA,NA,NA
20,"2018-12-26","Betrayal HC","Scarab",11.13041,6,7,14.96041,14,5,5,3,4.6375,1.23061,17,2,5,3,4.17692,9.18306,4,1.86,4,2,2,1,14,1,2,2,1.71,4,1.5,0.39,2,1,1,0.41,10,0.4,NA,NA,NA
