"Day","Date","League","Type","Andvarius","Araku.Tiki","Ascent.From.Flesh","Astramentis","Atziri.s.Foible","Auxium","Bated.Breath","Belt.of.the.Deceiver","Berek.s.Grip","Berek.s.Pass","Berek.s.Respite","Bisco.s.Collar","Bisco.s.Leash","Blackheart","Blood.of.Corruption","Bloodboil","Bloodgrip","Brinerot.Mark","Call.of.the.Brotherhood","Carnage.Heart","Choir.of.the.Storm","Cyclopean.Coil","Daresso.s.Salute","Darkness.Enthroned","Death.Rush","Doedre.s.Damning","Doryani.s.Invitation","Dream.Fragments","Dyadian.Dawn","Emberwake","Essence.Worm","Extractor.Mentis","Eye.of.Chayula","Eye.of.Innocence","Faminebind","Feastbind","Gifts.from.Above","Gloomfang","Headhunter","Heartbound.Loop","Hinekora.s.Sight","Immortal.Flesh","Impresence","Kaom.s.Sign","Kaom.s.Way","Karui.Charge","Karui.Ward","Kikazaru","Le.Heup.of.All","Lori.s.Lantern","Malachai.s.Artifice","Maligaro.s.Cruelty","Maligaro.s.Restraint","Marylene.s.Fallacy","Meginord.s.Girdle","Ming.s.Heart","Miracle.Gorget","Mokou.s.Embrace","Mutewind.Seal","Ngamahu.s.Sign","Ngamahu.Tiki","Night.s.Hold","Perandus.Blazon","Perandus.Signet","Perseverance","Praxis","Presence.of.Chayula","Prismweave","Pyre","Rashkaldor.s.Patience","Redblade.Band","Rigwald.s.Crest","Rigwald.s.Curse","Romira.s.Banquet","Ryslatha.s.Coil","Shaper.s.Seed","Shavronne.s.Revelation","Sibyl.s.Lament","Sidhebreath","Snakepit","Soul.Tether","Soulthirst","Star.of.Wraeclast","Stone.of.Lazhwar","Sunblast","Tasalio.s.Sign","Tear.of.Purity","The.Anvil","The.Ascetic","The.Aylardex","The.Halcyon","The.Hungry.Loop","The.Ignomon","The.Magnate","The.Pandemonius","The.Pariah","The.Retch","The.Taming","The.Warden.s.Brand","Thief.s.Torment","Timeclasp","Umbilicus.Immortalis","Ungil.s.Harmony","Valako.s.Sign","Valyrium","Ventor.s.Gamble","Victario.s.Acuity","Voice.of.the.Storm","Voideye","Voidheart","Voll.s.Devotion","Warped.Timepiece","Winterheart","Wurm.s.Molt","Xoph.s.Blood","Xoph.s.Heart","Yoke.of.Suffering","First.Piece.of.Time","Gluttony","Mark.of.the.Elder","Stormfire","The.Effigon","The.Nomad","The.Tactician","Timetwist","Winterweave","Blightwell","Mark.of.the.Shaper","Natural.Hierarchy","Second.Piece.of.Time","The.Flow.Untethered","Ahkeli.s.Meadow","Ahkeli.s.Mountain","Ahkeli.s.Valley","Aul.s.Uprising","Coward.s.Chains","Coward.s.Legacy","Eyes.of.the.Greatwolf","Hyperboreus","Mark.of.Submission","Perquil.s.Toe","Precursor.s.Emblem","Putembo.s.Meadow","Putembo.s.Mountain","Putembo.s.Valley","Sacrificial.Heart","Solstice.Vigil","String.of.Servitude","The.Primordial.Chain","Uzaza.s.Meadow","Uzaza.s.Mountain","Uzaza.s.Valley","Vivinsect","Zerphi.s.Heart","Badge.of.the.Brotherhood","Circle.of.Anguish","Circle.of.Fear","Circle.of.Guilt","Circle.of.Nostalgia","Circle.of.Regret","Hyrri.s.Truth","Icefang.Orbit","Siegebreaker","Tavukai","The.Jinxed.Juju","Venopuncture","Demigod.s.Bounty","Demigod.s.Eye","Astral.Projector","Fury.Valve","Leash.of.Oblation","Mother.s.Embrace","Warrior.s.Legacy","Willowgift"
1,"2017-12-08","Abyss HC","UniqueAccessory",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","UniqueAccessory",5.95258,0.54196,0,39.32452,3.67452,0,0.72216,5.21293,0,0,0,78.96742,1.56968,0.61724,30,0.21581,8.09577,4.24323,19.29097,12.00677,0,0,0,89.2425,0,5.20607,5.75806,1.58548,3.25034,0.78387,18.37903,0.22097,1,0,0,0,0,0,0,1,0,1.03581,0,0.56875,17,0,1.46246,3.03613,4.40645,0.95903,0.55667,1,0.40742,1,2.04769,11.84484,0,0.94806,2.00632,0,6.63077,0,0.31758,0,35.12632,0.87971,0,1,1.13574,1,0,0,0,1.04129,2.12903,1.20387,0,0.69355,0.63241,0,0.44,1.06548,0,0.98938,0.64935,0,0.87903,1,0,2.11774,0,309.21864,0.29581,0.75613,0,20.56,0,0,0.99161,5.12161,0.2529,0,0.20839,0,1,4.6765,0,0,0,0,0,1.1,31.89444,1.07911,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","UniqueAccessory",3.98103,0.19328,0,23.55034,3.02379,0,0.21086,1,0,31.50909,0,101.75172,1,0.65328,29.68172,0.17948,9.91948,2.00897,8.0431,12.63534,0,37.81667,0,44.63534,0,1.85155,2.06448,0.99948,1,0.89931,22.43793,0.17345,1,0,0,0,0,129.6875,0,0.91776,0,0.83414,0,0.17414,18.11948,11.515,1,3.68586,3.83034,0.98845,0.17345,0.58034,0.68672,1,1.96776,2.1019,0,0.63655,1.60966,5,9.03759,0,0.38879,0,23.49259,0.27759,0,0.99776,0.98276,0.80914,2.00923,0,0,1,1.55741,1,0,0.21586,0.37655,0,0.21431,0.91086,0,1,0.49586,63.46714,0.395,0.9831,0,0.99707,96.71154,12.25276,0.17862,0.82914,0,17.70362,0,0,0.86914,5.57741,0.18259,0,0.17345,0,0.91397,2.28862,0,192.10526,0,23.88212,0,1,38.77776,0.33328,0,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","UniqueAccessory",2.78103,0.19241,48.64865,23.81776,2.61776,29.97313,0.19793,1,0,13.1331,0,126.36776,0.99862,0.85293,25.14793,0.18534,5.76672,1.92862,6.52138,13.465,0,20.39845,226.25209,27.81397,0,1.00862,1,0.99879,0.81172,0.89017,20.95,0.19034,0.99707,0,0,0,0,57.42276,0,0.26586,0,0.26741,0,0.19948,29.52392,5.44017,1,2.86448,3,0.91759,0.18534,0.31,0.51034,0.89379,1.28138,1.02897,0,0.2669,1,3.81983,7.51707,0,0.2919,9.36417,10.17121,0.27569,0,0.94966,0.98224,0.94172,1.46897,0,0,1,2,0.99862,0,0.18741,0.44345,40,0.18534,0.94448,0,0.97862,0.27379,49.88462,0.46776,0.89121,11.24925,0.98,77.72414,9.6769,0.18966,0.85259,0,14.44707,0,0,0.99224,4.85345,0.18534,0,0.19603,0,0.62172,1.54552,0,44.42241,14.89362,7.72259,0,1,11.37862,0.51362,0,242.03466,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","UniqueAccessory",1.95034,0.19759,25.53276,34.55155,1.86569,31.28224,0.195,1,0,8.02017,0,144.285,0.99828,0.81466,19.00655,0.19224,3.76672,1.56069,5.18483,17.0769,80,15.6369,235,36.75379,0,1,1,0.99879,0.83207,0.89414,25.36414,0.19224,0.99776,0,0,150,116.4732,23.29638,0,0.19431,0,0.25103,161.625,0.28379,30.44724,6.83707,1,2.55034,2.84741,0.75621,0.19224,0.25276,0.48397,0.99569,1.33224,0.99397,0,0.26069,1,5.49397,7.21517,0,0.20776,5.45707,9.52052,0.24517,0,0.83741,0.97948,1,1,0,100,0.9519,1.98759,0.965,0,0.27621,0.31293,40,0.19224,1,0,0.99103,0.19397,0,0.95362,0.95621,8.3369,0.92293,72.16667,8.53655,0.19448,0.44017,0,12.59966,0,0,1,4.53517,0.19362,0,0.19224,0,0.31379,2.21431,0,40.97948,9.39034,12.0781,199.892,1,4.04448,0.21483,0,213.60948,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","UniqueAccessory",2,0.21603,7.63672,23.47017,1.87655,11.03948,0.26328,1,0,9.5631,0,166.34966,0.99759,0.92672,17.91379,0.21224,2.10707,1.22759,4.86138,15.46276,80,8.16052,210.69448,34.70586,0,1,1,1,0.68621,1,25.12483,0.21224,1,0,120,125.87655,69.88086,7.92345,0,0.21224,0,0.25552,114.28571,0.22017,31.70638,6.40534,0.99793,2.15845,3.02759,0.45552,0.21224,0.41138,0.32259,0.99621,1.33466,0.81621,0,0.21466,0.99586,10.56155,6.39207,0,0.26069,7.75534,6.62397,0.39621,0,0.87741,0.99931,0.94034,1,0,100,0.99569,1.69621,0.99362,0,0.21448,0.27086,0,0.21224,0.39707,0,0.9881,0.21224,100,0.54155,0.85224,3.15155,0.83276,71.18586,6.70517,0.21224,0.3481,150,13.7119,0,0,0.90724,4.51776,0.21224,0,0.21224,0,0.40414,2.46517,0,33.88017,10.31759,11.44759,192.41379,1,3.99931,0.22638,0,228.04552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","UniqueAccessory",2,0.25621,6.88121,24.51983,1.4431,17.08448,0.2369,0.9919,0,9.93138,43.75676,195.43276,0.99948,0.89466,15.59017,0.24345,1.93603,0.87414,4.52931,11.63155,0,4.57638,127.09379,25.345,0,1,1,0.99862,0.54862,1,23.57931,0.23414,0.98569,0,119.02439,100.49655,31.33138,4.17707,0,0.23414,0,0.23414,105.81034,0.24138,26.1231,7.18448,1,1.99,3.54862,0.31517,0.23414,0.48569,0.27983,0.96034,1.63724,0.96103,0,0.23414,1,7,4.78517,0,0.25931,12.60276,4.07569,0.49034,0,0.96603,0.95948,0.99948,1,0,0,0.85586,1.25776,0.9231,0,0.23414,0.43862,0,0.23845,0.33603,0,0.98776,0.23414,100,0.33017,0.85828,3.58948,0.84517,53.0181,4.98897,0.23431,0.37569,200,13.26552,0,0,0.90983,6.18603,0.23414,0,0.23414,0,0.23845,1.73966,0,26.39931,10,8.74362,180,1,4.23621,0.30845,0,212.34655,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","UniqueAccessory",1.88316,0.27316,9.81105,25.96316,0.99807,9.06053,0.24105,0.99421,116.10811,9.90368,69.85263,197.46368,1,0.93667,13.53772,0.24158,1.35421,0.94035,3.78895,11.07772,0,4.14439,90.30947,13.2814,0,1.05439,1,0.98579,0.74667,0.99719,23.27035,0.24,1,228.87576,88.91304,77.10982,60.18228,2.96491,0,0.24,0,0.24,108.81719,0.31561,27.29386,6.24807,1,1.75246,3.36035,0.29053,0.24,0.32316,0.47211,0.57105,1.16018,0.92158,0,0.24491,1,6.16561,4.89895,0,0.24526,16.05404,3.12649,0.47702,650,0.9,0.89386,0.87947,1,25,30,0.8686,1.13579,0.96158,390.38462,0.24,0.44456,0,0.29368,0.40842,0,0.88351,0.2407,86.38,0.47632,0.94737,4.13544,0.9986,50.75246,4.58263,0.24228,0.24053,200,12.53211,0,0,0.99281,7.37158,0.25193,0,0.24,150,0.24,1.50491,0,20.38421,72.03077,6.17982,353.08929,0.99825,3.63719,0.35246,325,235.44333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","UniqueAccessory",1.18897,0.25259,10.38983,20.90828,1.00017,4.41621,0.24,0.98241,75.35931,8.44155,46.74,197.87379,0.99845,0.98897,11.57121,0.24069,1.265,1,3.99948,11.09431,0,2.30569,78.97845,5.21569,89.7,1.03121,1,0.98828,0.90793,0.74552,23.45466,0.24,0.98966,211.52889,65.43818,61.86517,44.97466,2.25569,0,0.24103,0,0.25017,108.96362,0.26966,32.95431,6.65207,0.99948,1.94276,3.52448,0.40259,0.24,0.24069,0.41828,0.35017,1.21569,0.99155,0,0.26966,1,4.25828,5.66534,0,0.25569,12.9831,2.73466,0.6331,591.66667,0.94069,0.97897,0.84724,1,25,49.58571,0.91086,1,0.98379,148.44828,0.24,0.34534,0,0.25241,0.36207,0,0.71776,0.24155,55.44379,0.49983,0.72241,3.06672,0.73448,52.03914,4.14862,0.24069,0.46603,0,11.08379,195.55556,0,0.99914,7.86345,0.24,0,0.24,124.13793,0.24,1.00172,0,20.195,99.16259,4.50103,641.67724,0.99897,2.94862,0.26845,462.76596,326.16241,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","UniqueAccessory",1,0.23719,8.65,20.8993,1,4,0.24088,0.96702,59.69263,7.92877,31.30614,203.82772,0.99965,0.78088,8.20614,0.25789,1.04333,1,3.69632,11.51228,0,1.9407,55.41175,4.97825,62.31772,0.99123,1,0.99561,0.93895,0.86526,21.32825,0.23719,0.95719,203.78947,24.70877,70.32211,31.28298,1.7786,0,0.26193,0,0.24649,105.26316,0.27614,37.68982,6.22263,0.98263,1.89298,3.98351,0.23667,0.23667,0.23772,0.27246,0.30404,1,1,0,0.26035,0.89368,3.72877,4.5714,0,0.23877,9.29772,2,0.54842,0,0.91877,0.98456,0.8907,1,25,26.1314,0.95772,1,1,120,0.25912,0.64684,96.73585,0.23667,0.2693,0,0.94298,0.26421,38.12246,0.29281,0.87105,3,0.72105,61.51456,4.18088,0.25158,0.48088,160,11.52772,176.93548,500,0.97825,6.55351,0.23667,0,0.23702,100,0.24842,1.25491,0,21.99368,74.40684,4.11088,499.46351,0.98474,2.94491,0.25737,571.875,390.73789,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss HC","UniqueAccessory",1,0.24684,6.82965,20.45105,1,3.98211,0.23316,0.99105,34.07263,7.02895,25.96684,216.22772,0.96544,0.93333,5,0.23316,0.98649,1,3.95737,11.06947,0,2,49.54018,5.06491,66.9614,0.9507,1,0.99281,0.81123,0.96667,19.98491,0.24035,0.85684,197.46,26.84211,64.7793,27.93474,1.98298,0,0.23316,126.04167,0.2507,207.79719,0.25561,34.86421,5.51246,0.98333,1.97982,3.92579,0.29895,0.23316,0.23316,0.31982,0.23316,1,1,0,0.23491,0.87228,3,4.1014,0,0.24316,10.30158,1.86895,0.35263,650,0.92263,0.9993,0.5607,0.99035,22.80702,48.06316,0.96421,1,1,114.31579,0.24544,0.38772,71.56316,0.23316,0.25895,0,0.80754,0.23474,19.74526,0.40684,0.84035,3,0.7586,88.56158,4.27105,0.23316,0.33,160,21.14281,173.26316,137.63158,0.85509,5.97035,0.23579,0,0.23316,100,0.2714,1.3214,0,19.80281,95.25474,4,180.44035,0.92175,2.74491,0.23404,395.85614,386.12632,103.94737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
