"Day","Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coralito.s.Signature","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Sin.s.Rebirth","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Wise.Oak","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Cinderswallow.Urn","Soul.Catcher","Soul.Ripper","Bottled.Faith"
1,"2017-12-08","Abyss HC","UniqueFlask",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","UniqueFlask",10.25097,0,1.11194,0,0.72645,0.56418,0,0.83677,4.87161,0,20.3229,0.78323,22.81038,45,125,0.94387,0.76419,28.29048,5.74467,0,24.47839,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","UniqueFlask",8.06224,19,0.90931,0,0.91155,0.17345,0,0.35552,2.66586,0,29.09603,0.27621,14.57776,59.36207,173.20653,0.58086,0.26552,2.61621,5.25914,36.875,22.45448,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","UniqueFlask",6.06207,18.34783,0.57793,10.44615,0.98862,0.18534,0,0.23,2,15.83333,29.07828,0.1919,13.42,65.74879,160.63948,0.40155,0.20931,2.16086,4.14328,21.27904,18.15052,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","UniqueFlask",5.78655,28,0.62224,8.81053,1,0.19552,0,0.20121,1.58259,76.26415,33.88603,0.19259,10.91379,95.855,127.92224,0.52241,0.19655,2.62103,1.99552,10.75586,15.18448,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","UniqueFlask",4.90207,72.64,0.80155,20,1,0.21224,0,0.22707,1,49.74983,33.26586,0.21224,13.98638,82.74655,156.33466,0.40172,0.21672,2.43983,1.99345,7.54103,12.96241,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","UniqueFlask",4.57448,100,0.85362,19.59655,0.99983,0.23414,0,0.23414,1,77.2069,33.7931,0.23466,15.95914,52.56172,167.17759,0.25741,0.23414,2.99931,1.77328,5.83293,11.75362,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","UniqueFlask",4.60569,100,0.57966,16.29759,0.99948,0.24,548.93617,0.24017,1,50.46776,34.08741,0.24155,14.055,44.89448,172.30052,0.30241,0.30638,3.17828,1,5.75862,11.41155,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","UniqueFlask",3.98667,100,0.28982,18.53579,0.9414,0.24,477.97193,0.24333,1,48.85,30.79754,0.24,11.95807,40.90737,160.6886,0.24,0.2507,5.72877,1,6.18175,10.31018,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","UniqueFlask",3.99421,97.38947,0.30088,9.67053,0.86456,0.23667,499.91281,0.29737,1,43.29105,31.30895,0.25053,14.9793,39.66912,146.22526,0.23667,0.23667,5.75965,1,7.08368,9.97246,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss HC","UniqueFlask",3.3219,56.25121,0.36172,7.83466,0.88879,0.2331,498.25897,0.2619,0.97586,32.89103,33.47862,0.26931,15.60345,37.62569,159.49259,0.2331,0.23897,5.46724,1,6.99966,9.99379,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss HC","UniqueFlask",3.01614,36.46228,0.38246,5.77035,1,0.23123,477.44474,0.23123,1,25.74211,37.0486,0.23842,14.48053,39.9886,156.89123,0.23123,0.23123,7.52684,0.99895,6.54281,9.82509,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss HC","UniqueFlask",2.60193,28.82263,0.26947,4.62,1,0.23053,288.95123,0.23632,1,25.77982,34.80246,0.24491,13.79737,39.62088,147.85509,0.31912,0.23053,7.19667,1,6.95772,9.97421,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss HC","UniqueFlask",2.12491,26.34316,0.23246,4,0.99947,0.23246,268.09772,0.23246,1,22.44772,34.22561,0.25719,13.00035,40.52947,139.43509,0.27912,0.23246,6.77386,1,7.34281,13.07719,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss HC","UniqueFlask",1.99175,17.01982,0.23509,3.27228,1,0.23509,289.33965,0.3,1,23.49053,32.34333,0.34649,11.72193,43.00316,143.06333,0.24877,0.23509,6.35772,1,6.9586,12.24088,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss HC","UniqueFlask",2.0614,9.96053,0.23579,2.97,1,0.23579,268.91018,0.26965,1,19.83596,32.35719,0.24263,11.09105,46.15281,165.69088,0.26825,0.25228,6.56684,1,6.90509,10.91509,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss HC","UniqueFlask",2,9.83431,0.24,3.78259,1,0.24,243.52534,0.24,1,20.01397,33.81172,0.24466,10.11776,34.25052,163.07017,0.32086,0.25172,6.25776,1,6.41517,10.33034,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss HC","UniqueFlask",1.9886,9.79877,0.24,3.99772,1,0.24,226.80421,0.24,1,20.71667,34.58,0.30579,8.13719,31.94632,169.89754,0.29053,0.3307,6.26702,1,5,10.99772,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss HC","UniqueFlask",1.825,12.55517,0.24,3.98517,0.94534,0.24,213.36345,0.24379,1,16.36328,36.97879,0.24,7.87276,38.91586,171.02569,0.24,0.24,6.32862,1,5,10.66466,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss HC","UniqueFlask",1.95035,12.49404,0.24,3.44509,0.98,0.24,184.8193,0.24,1,15.76509,37.52719,0.24,8.91263,43.35702,172.45579,0.24,0.24,5.82737,1,4.96456,9.66193,NA,NA,NA,NA,NA
