"Day","Date","League","Type","Anatomical.Knowledge","Ancient.Waystones","Apparitions","Assassin.s.Haste","Atziri.s.Reign","Blood.Sacrifice","Brawn","Brittle.Barrier","Brute.Force.Solution","Careful.Planning","Cheap.Construction","Chill.of.Corruption","Clear.Mind","Coated.Shrapnel","Cold.Steel","Collateral.Damage","Combustibles","Conqueror.s.Efficiency","Conqueror.s.Longevity","Conqueror.s.Potency","Corrupted.Energy","Dead.Reckoning","Efficient.Training","Eldritch.Knowledge","Emperor.s.Cunning","Emperor.s.Mastery","Emperor.s.Might","Emperor.s.Wit","Energised.Armour","Energy.From.Within","Fertile.Mind","Fevered.Mind","Fight.for.Survival","Fireborn","First.Snow","Fluid.Motion","Fortified.Legion","Fragile.Bloom","Fragility","From.Dust","Frozen.Trail","Grand.Spectrum","Growing.Agony","Hair.Trigger","Hazardous.Research","Healthy.Mind","Hidden.Potential","Hotfooted","Hungry.Abyss","Inertia","Inevitability","Inspired.Learning","Intuitive.Leap","Izaro.s.Turmoil","Lioneye.s.Fall","Malicious.Intent","Mantra.of.Flames","Martial.Artistry","Might.and.Influence","Might.in.All.Forms","Mutated.Growth","Omen.on.the.Winds","Overwhelming.Odds","Pacifism","Pitch.Darkness","Poacher.s.Aim","Powerlessness","Primordial.Eminence","Primordial.Harmony","Primordial.Might","Pugilist","Pure.Talent","Rain.of.Splinters","Rapid.Expansion","Reckless.Defence","Ring.of.Blades","Rolling.Flames","Sacrificial.Harvest","Self.Flagellation","Shattered.Chains","Soul.s.Wick","Spire.of.Stone","Spirit.Guards","Spirited.Response","Spreading.Rot","Static.Electricity","Steel.Spirit","Sudden.Ignition","Survival.Instincts","Survival.Secrets","Survival.Skills","The.Anima.Stone","The.Blue.Dream","The.Golden.Rule","The.Green.Dream","The.Green.Nightmare","The.Long.Winter","The.Red.Dream","The.Red.Nightmare","The.Vigil","To.Dust","Unending.Hunger","Unstable.Payload","Vaal.Sentencing","Violent.Dead","Volley.Fire","Warlord.s.Reach","Watcher.s.Eye","Weight.of.Sin","Weight.of.the.Empire","Wildfire","Winter.s.Bounty","Winter.Burial","Might.of.the.Meek","Combat.Focus","Tempered.Flesh","Tempered.Mind","Tempered.Spirit","The.Blue.Nightmare","Transcendent.Flesh","Transcendent.Mind","Transcendent.Spirit","Unnatural.Instinct","Brutal.Restraint","Divide.and.Conquer","Elegant.Hubris","Fortress.Covenant","Glorious.Vanity","Lethal.Pride","Militant.Faith","Quickening.Covenant","Army.of.Bones","Thread.of.Hope"
1,"2017-12-08","Abyss HC","UniqueJewel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","UniqueJewel",4.79742,0,0.45742,0.27032,0,1.13548,0.73645,4.36645,1.00032,1.48,1,3.10581,6.11548,0.46222,0.50065,1,3.82581,0.58645,1,0.88935,0,11.64677,1,0.92032,0,0,0,0,0.43853,14.64419,0.99065,3,2.27358,19.35235,1,1,0.76452,0.26226,5,1.00316,1,5.43806,0.97226,0.62032,0.97065,0.99161,0,0.34903,0,0.88,1,82.48677,13.52194,3.00065,23.35774,1.66032,4.52903,0.51581,0.95323,1,0,0.61032,0.99516,0.51258,0,0.2629,0,1,1.99581,56.42935,0.34161,12.70645,2.78935,0.63097,31.55677,0.98226,0.54806,8.4129,2.43129,1,2.53839,1.51871,0.56387,0.98226,1.31829,4.23161,0.24742,0.36903,0.29281,0.21935,0.22097,0,0,1,0,0,11.93355,0,0,0.56,7.18968,7.00742,1,0,0.96613,0.72129,0.20516,0,0,0.95742,1.12097,1,1.01645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","UniqueJewel",6.60448,11.28125,0.37241,0.17345,5.3935,1,0.21052,1.25707,1,0.93345,0.63414,2.15586,5.85569,0.21707,0.8681,1,1.21724,0.21828,0.47552,0.38155,2,13.55569,1,0.95431,0,75,50,64.98563,0.19276,14.81552,0.93052,0,0.92603,13.57276,0.9981,0.9931,0.50293,0.17621,19.93931,1,0.99517,4.79224,0.93638,0.71207,0.71379,0.86879,35.34323,0.28069,1,0.89103,1,40.17569,8.91966,2.2081,16.70052,0.96466,1.86017,0.88948,0.81,1,0,0.99828,0.98724,0.66983,1,0.19966,1,0.99828,1.68103,33.59879,0.22517,11.30759,1.52328,0.21603,19.18914,0.98569,0.27586,4.02948,3.39103,0.60224,1,1,0.38483,0.89207,0.99483,2.21586,0.24793,0.19034,0.19121,0.17345,0.17345,0,0,0.96017,92.6,0,13.60328,0,0,0.46776,6.24948,8.14069,0.97431,4.90031,0.49672,0.99862,0.18241,0,1.00476,0.8931,1,1,0.91741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","UniqueJewel",6.13517,4.32138,0.20259,0.18534,2.04448,0.98862,0.22241,0.72224,1,1,0.445,1.95138,5.94879,0.23138,0.94138,1,1,0.23431,0.18534,0.46569,2.38345,12.19155,1,0.95707,50,75,38.62069,76.56759,0.20759,13.42966,1,10.05783,0.84483,8.16379,0.99966,0.92776,0.78638,0.22172,19.50241,1,0.99069,7.02672,0.74759,0.56224,0.69172,0.62966,18.92879,0.22069,1,0.97983,0.97483,37.98345,9.87897,2,13.32276,0.41552,1,0.99017,0.72983,1,0,0.97724,0.99845,0.98172,1.67857,0.26879,0.94414,0.98466,1.75034,35.40345,0.19828,12.86345,1,0.23517,5.19983,0.99776,0.53586,2.03172,2.44207,0.37897,1,1,0.64879,0.93069,0.98569,1.045,0.235,0.18534,0.18534,0.18534,0.18534,0,0,0.56569,93.46483,0,13.13569,214.00556,0,0.94086,5.15483,13.44103,1,1.78948,0.55966,0.99845,0.18534,60,1,0.53552,1,0.72293,0.85448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","UniqueJewel",7.68534,1.04,0.19224,0.19224,1.40172,0.81121,0.36328,1,1,1,0.19897,2.30586,6.97241,0.19276,0.99379,0.99,1,0.19414,0.2181,0.22397,2,11.74069,1,0.9369,50,85.08621,39.65517,72.13241,0.19224,12.62414,1,7.49776,0.99862,9.56345,0.98776,0.89724,0.87017,0.4931,12.15328,1,1,4.74448,0.27397,0.53741,0.71397,0.24931,8.02052,0.34741,0.70776,0.94966,0.83638,28.04776,11.55828,1.89431,13.66155,0.30586,1,1,0.62034,1,5,0.89103,0.99483,1,3.688,0.55655,0.88897,0.99983,1.43017,41.46603,0.19224,9.89103,0.78,0.21983,4.11983,0.99948,0.36069,2,2.16155,0.41879,0.95793,1,0.84414,0.91534,0.94431,1,0.19431,0.21052,0.19224,0.19224,0.19224,40,0,0.52638,108,0,14.85431,197.02966,0,0.99759,4.45121,12.92345,1,2.25586,0.73431,1,0.19224,134.09423,0.89431,0.40155,1.06931,0.3431,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","UniqueJewel",5.89655,0.93172,0.21224,0.21224,1,0.42224,0.24638,0.89362,0.9569,1,0.21534,2.85828,5.745,0.21224,0.93948,0.94034,0.98448,0.25966,0.24293,0.27241,1.80017,11.1569,1,0.57466,50,140.42724,65,51.77414,0.21224,12.06017,0.99793,4.9731,0.91034,7.63931,1,0.45603,0.56948,0.31103,20.33828,0.7531,0.99397,3.44,0.2169,0.35241,0.71448,0.21862,7.31897,0.27897,0.7319,0.69776,0.4981,26.61086,10.99362,2,14.3869,0.33845,1,0.96586,0.88103,1,5,0.88414,0.96569,0.99655,5.46983,0.79034,0.82741,1,1.56379,46.58603,0.21224,9.24172,0.95672,0.2169,4.92362,0.97103,0.4969,2,1.95707,0.99603,0.49724,1,0.31034,0.43672,0.87741,1,0.26,0.3231,0.21224,0.21224,0.21224,100,0,0.69483,144.32432,0,17.15069,174.37966,0,0.49793,4.00207,12.84707,1,2.19862,0.78879,1,0.21224,117.75828,0.93931,0.49,1.45552,0.76983,0.74759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","UniqueJewel",5.54052,0.81155,0.23414,0.23414,1,0.36862,0.27586,0.52793,0.92621,0.94603,0.24517,2.32707,4.10552,0.23414,0.80138,0.6981,0.97276,0.2369,0.23483,0.23414,1.05379,10.64155,0.97638,0.51948,50,141.18,65,56.32431,0.23414,12.78466,0.92276,3.57345,0.99534,8.215,0.99603,0.31983,0.24293,0.29517,16.84362,0.83034,0.9981,2.74517,0.24052,0.61103,0.32414,0.40759,4.81552,0.25483,0.74414,0.36259,0.59828,57.56379,9.78966,2,15.05034,0.30828,1,0.98155,0.39241,0.98086,4.73103,0.9469,0.97931,0.92948,1.15345,0.85897,0.72724,1,1.93862,50.07121,0.23534,8.38397,0.96897,0.23793,5.61431,0.96897,0.23655,1.63069,1.65483,0.93138,0.43345,1,0.24069,0.54448,0.95103,1,0.335,0.27966,0.23414,0.23414,0.23414,81.08043,145.90909,0.68879,0,0,15.64983,207.14286,0,0.54259,4.02086,9.93103,0.7919,3.04621,0.91741,0.62862,0.235,85.29414,0.96207,0.80534,1.30034,0.71897,0.85241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","UniqueJewel",6.03241,0.80207,0.24,0.24,1,0.24,0.25,0.25603,0.97448,0.93138,0.24121,2.05948,4.62759,0.24672,0.82121,0.96914,0.99621,0.44293,0.24172,0.24121,1,9.2081,1,0.32345,0,141.18,65,53.57259,0.24,13.8469,0.97466,3.39379,0.97948,7.57724,1,0.32,0.29638,0.24034,11.78931,0.92552,0.99414,2.95483,0.24,0.85621,0.34069,0.34138,3.58034,0.31948,0.84034,0.52776,0.76638,56.92121,8.37431,2,20.16414,0.24,1,0.85121,0.43914,0.66983,3.57414,0.92879,0.95655,0.85121,1.1281,0.69431,0.90724,0.97603,1.62845,51.30483,0.29017,8.15138,0.99948,0.27069,4.98966,0.93672,0.26879,1.01379,1.07172,0.77207,0.38517,0.92655,0.33328,0.6619,0.99948,1,0.43759,0.25466,0.24,0.24,0.24,60,124.62483,0.38776,0,0,14.8569,560.78966,0,0.62707,4.75793,9.45466,0.34345,2.52948,0.57741,0.58017,0.25707,59.91862,0.78569,0.97207,1.0019,0.34586,0.82759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","UniqueJewel",5.56281,0.92614,0.24,0.24842,1,0.24,0.24,0.36456,0.7293,0.99386,0.24,2.00895,3.51965,0.30947,0.41053,0.82544,0.96351,0.2486,0.24719,0.24579,1,8.70561,0.9993,0.29439,72.04618,134.00491,61.52632,53.47596,0.24,14.04404,0.9986,3.75737,0.99649,6.11754,0.98544,0.32,0.30561,0.24035,13.85035,0.98544,0.99632,3.0514,0.24,0.34404,0.59982,0.4114,3,0.30456,0.99544,0.72456,0.89158,60.35491,7.49316,1.95298,20.50298,0.24,1,0.63491,0.57789,0.74719,2.97123,0.88684,0.82877,0.87912,1.08368,0.49281,1,0.82561,1.73561,54.5207,0.25456,8.17281,1,0.25719,4.89667,0.99439,0.29702,1,1,0.45368,0.30105,1,0.34491,0.7093,0.92193,1,0.28053,0.27737,0.24,0.24,0.24,0,111.72561,0.49579,64.16667,0,12.10088,406.41053,0,0.58754,5.64807,9.81825,0.82825,1.30579,0.62789,0.9886,0.24281,63.18965,0.92649,0.93754,1.13895,0.26491,0.93404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","UniqueJewel",4.98333,0.94965,0.23667,0.23667,1,0.2693,0.40018,0.72789,1,0.96386,0.23667,2,2.9993,0.23982,0.81228,0.78719,1,0.25421,0.30123,0.25351,1,8.32579,1,0.32211,46.32842,83.10035,45.45263,64.1407,0.25404,15.9007,0.5286,4.89667,0.99281,4.72386,0.99789,0.30877,0.28807,0.23667,13.87333,1,0.96088,3.25333,0.23667,0.23667,0.25719,0.94053,2.52386,0.26684,1,0.57544,0.88561,70.83772,7.27509,1.94719,19.24474,0.23667,1,0.72579,0.39877,0.97439,2.28158,0.77772,0.90895,0.82456,0.87842,0.27246,1,1,1.87474,54.82614,0.23667,8.03281,1,0.23667,4.77614,0.99596,0.36228,1,1,0.31263,0.71105,1,0.5093,0.60737,0.87386,1,0.23667,0.32684,0.23667,0.23667,0.23667,92.56404,102.79211,0.90386,197.76,0,10.96702,363.5286,0,0.51632,5.92474,12.02632,0.96123,1,0.54526,0.96316,0.23912,71.54509,0.99947,0.64228,1.08368,0.23947,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
