"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Perandus.Manor","Doryani.s.Machinarium","The.Beachhead_T5","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
1,"2017-12-08","Abyss HC","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","UniqueMap",12.2,0,0,4,10,0,15,9.16667,5,14.41765,10.9129,0,0,0,0,0,5.03032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","UniqueMap",7.88102,14.26606,6.41429,5.20647,8.19322,3.53918,12.1561,8.91424,4.57593,7.82576,9.41068,5.1852,11.14306,0,0,7.466,5.79407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","UniqueMap",4.80897,6.75621,4.55672,2.49862,6.61414,3.15328,11.50103,7.61586,4.32052,3.46983,9.20759,6.57914,13.05879,25,20,5.6081,2.89897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","UniqueMap",3.79276,4.80034,3.25948,1.83845,5.0731,3,7.33483,7.92207,3.71224,2.02155,9.41328,6.62603,23.96845,38.86414,21.90476,5.99845,1.9919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","UniqueMap",3.83224,3.94638,2.18276,2,4.72621,2.92776,8.31638,6.42862,4.30241,2.22397,8.43914,5.42759,23.15948,23.11121,20,5.03517,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","UniqueMap",4.79439,3.7607,2.68544,1.67228,3.76368,2.45158,7.44579,7.07246,3.14754,2.49088,8.16491,4.56439,24.38912,15.25772,16.2807,5.01754,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","UniqueMap",6.26741,3.64759,2.13966,1,2.94517,2,6.9019,7.08345,2.55672,2,8.4819,3.89586,25.42293,14.67086,16.35655,5.07552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","UniqueMap",5.69456,3.40772,2.15053,1,2.83825,2,6.99649,6.98246,2.99649,2,8.0593,3.93421,24.50754,15,15.51518,5.11105,1.98211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","UniqueMap",4.86621,2.94741,2,1,2.90017,2,7.48414,6.71534,2.45741,1.98983,9.42741,3.85828,23.02983,14.80603,15,4.89552,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss HC","UniqueMap",4.74842,2.83439,2,0.9993,2.19211,2,7.92632,6.14719,2,1.93877,8.01175,3.75439,22.64035,14.02316,14.43158,4.51491,1.99877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss HC","UniqueMap",4.94193,2.08772,2,1,2.17649,1.97509,8.05579,5.83298,1.84579,1.99263,7.61684,3.92175,23.85842,14.06456,14.21053,4.29211,1.99298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss HC","UniqueMap",4.62965,1.99912,2,0.74947,2,1.93158,9.42105,5.12456,2,1.89368,7.4293,3.89386,22.43281,14.60544,14.16316,4.66053,1.93561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss HC","UniqueMap",4.0193,2,2,0.91281,1.99982,1.96614,9.40474,5.84596,1.86491,1.87018,7.91842,4,23.79912,16.28667,15,3.98649,1.91667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss HC","UniqueMap",3.70193,2,1.64754,1,1.92211,1.86982,7.99614,5.99333,1.35439,1.64561,8.45754,3.54684,25.26281,15.04982,15.34158,3.98912,1.60439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss HC","UniqueMap",3.99034,1.99241,1.96948,1,2,1.98259,7.1669,5.99259,2,1,8.59259,4,29.43914,14.8119,15.28379,3.8481,1.99397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss HC","UniqueMap",4,1.96474,2,0.99421,1.97982,1.96702,7.84018,6,1.96351,1.02649,9.28404,3.33053,33.68544,14.40895,15,3.15947,1.9986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss HC","UniqueMap",3.93862,2,1.27431,0.99397,2,1.96034,8.00914,6,2,1.01466,9.10793,3.75948,31.57207,13.89672,11.24125,3.27431,1.99862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss HC","UniqueMap",3.99982,1.97281,1.09316,0.98877,1.99982,1.99789,8.52088,6.01754,2,1,9.53772,3.98702,30.64193,15.14526,10.06897,3.00982,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss HC","UniqueMap",4,2,1.54088,0.98702,1.99632,2,9.9486,6.35333,1.90088,1,9.88,4,29.24439,15.30123,10.02526,3,1.9993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss HC","UniqueMap",4,1.86754,1.72175,0.99825,1.85474,1.95544,9.88333,5.88088,1.95,1,9.79982,3.93842,26.30895,15.04035,10,3,1.93035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss HC","UniqueMap",4,1.99842,1.07895,0.99825,2,1.73684,10.03,5.67719,1.99561,1,9.26175,4,27.99333,15.63404,20,3,1.83772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss HC","UniqueMap",3.9886,2,1,0.79579,2,1.3793,9.90035,5.38632,1.99246,1,9.99228,3.99544,27.33684,14.32211,0,3,1.95456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss HC","UniqueMap",3.98789,1.98561,1.26386,1,1.95737,1.11228,9.92333,5,2,1,9.97702,4.56667,26.07544,13.89439,0,3,1.30895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss HC","UniqueMap",3.72175,1.38456,1.10105,1,1.91175,1.62877,10.78035,5,1.71947,1,9.92246,4.79719,27.28544,13.46982,15,3,1.00877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss HC","UniqueMap",3.99727,1.89309,0.99436,0.96491,1.97836,1.78836,10,4.97745,1.72145,0.96036,9.65782,5.97909,27.72418,11.86291,13.16829,3,1.00527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss HC","UniqueMap",4,1.58684,0.99947,0.9107,1.59702,1.31193,9.17018,5,1,1,10,6.86807,26.93053,12.31053,17.47351,3,1.44772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss HC","UniqueMap",3.58786,1.07839,1,0.99964,1.80607,1.24696,9.38732,4.98821,1.33232,1,10.82089,5.58821,26.33196,13.36446,18.22786,3.49018,1.03089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss HC","UniqueMap",3.89636,1.01909,0.94727,1,1.25236,1.31782,9.78873,4.99127,1.22491,1,12.19073,5.91655,28.20455,13.63655,13.32455,3.63691,1.07891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss HC","UniqueMap",3.84455,1.22964,1,0.98764,1.77873,1.04418,9.916,5,0.89818,1,13.89236,5.42364,29.81745,11.23564,37.63891,3.394,1.00255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss HC","UniqueMap",3.76259,1.5437,1,0.95259,1.94889,1.39315,9.79685,4.91685,1,0.99611,15.81648,5.13056,29.56556,10.51444,16.8137,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
