"Day","Date","League","Type","Abberath.s.Horn","Advancing.Fortress","Agnerod.East","Agnerod.North","Agnerod.South","Agnerod.West","Ahn.s.Might","Al.Dhih","Allure","Amplification.Rod","Apep.s.Rage","Arakaali.s.Fang","Arborix","Ashcaller","Atziri.s.Disfavour","Augyre","Aurumvorax","Axiom.Perpetuum","Balefire","Beltimber.Blade","Bino.s.Kitchen.Knife","Bitterdream","Bloodplay","Bloodseeker","Brain.Rattler","Breath.of.the.Council","Brightbeak","Brutus..Lead.Sprinkler","Callinellus.Malleus","Cameria.s.Maul","Cane.of.Unravelling","Chin.Sol","Chitus..Needle","Chober.Chaber","Clayshaper","Cospri.s.Malice","Cybil.s.Paw","Daresso.s.Passion","Darkscorn","Death.s.Hand","Death.s.Harp","Death.s.Opus","Debeon.s.Dirge","Divinarius","Doomfletch","Doomfletch.s.Prism","Doomsower","Doon.Cuebiyari","Doryani.s.Catalyst","Dreadarc","Dreamfeather","Duskdawn","Dyadus","Dying.Breath","Eclipse.Solaris","Edge.of.Madness","Ephemeral.Edge","Essentia.Sanguis","Ewar.s.Mirage","Femurs.of.the.Saints","Fencoil","Fidelitas..Spike","Flesh.Eater","Frostbreath","Geofri.s.Baptism","Gorebreaker","Goredrill","Grelwood.Shank","Hand.of.Thought.and.Motion","Hand.of.Wisdom.and.Action","Heartbreaker","Hegemony.s.Era","Hezmana.s.Bloodlust","Hiltless","Hopeshredder","Hrimnor.s.Dirge","Hrimnor.s.Hymn","Hyaon.s.Fury","Ichimonji","Infractem","Innsbury.Edge","Iron.Commander","Izaro.s.Dilemma","Jack..the.Axe","Jorrhast.s.Blacksteel","Kaom.s.Primacy","Kingmaker","Kitava.s.Feast","Kondo.s.Pride","Kongor.s.Undying.Rage","Lakishu.s.Blade","Last.Resort","Lavianga.s.Wisdom","Lifesprig","Limbsplit","Lioneye.s.Glare","Mark.of.the.Doubting.Knight","Marohi.Erqi","Martyr.of.Innocence","Midnight.Bargain","Mightflay","Mj√.lner","Mon.tregul.s.Grasp","Moonbender.s.Wing","Moonsorrow","Mortem.Morsu","Nebuloch","Ngamahu.s.Flame","Null.s.Inclination","Nuro.s.Harp","Nycta.s.Lantern","Obliteration","Oni.Goroshi","Ornament.of.the.East","Oro.s.Sacrifice","Pillar.of.the.Caged.God","Piscator.s.Vigil","Pledge.of.Hands","Prismatic.Eclipse","Quecholli","Queen.s.Decree","Queen.s.Escape","Quill.Rain","Razor.of.the.Seventh.Sun","Reach.of.the.Council","Realm.Ender","Realmshaper","Reaper.s.Pursuit","Rebuke.of.the.Vaal","Redbeak","Relentless.Fury","Reverberation.Rod","Rigwald.s.Charge","Rigwald.s.Command","Rigwald.s.Savagery","Rive","Roth.s.Reach","Scaeva","Severed.in.Sleep","Shade.of.Solaris","Shimmeron","Shiversting","Silverbough","Silverbranch","Singularity","Sire.of.Shards","Slivertongue","Soul.Taker","Spine.of.the.First.Claimant","Starforge","Storm.Cloud","Storm.Prison","Taproot","Taryn.s.Shiver","Terminus.Est","The.Blood.Reaper","The.Blood.Thorn","The.Cauteriser","The.Consuming.Dark","The.Dancing.Dervish","The.Dark.Seer","The.Goddess.Bound","The.Goddess.Scorned","The.Gryphon","The.Harvest","The.Poet.s.Pen","The.Princess","The.Scourge","The.Screaming.Eagle","The.Searing.Touch","The.Stormheart","The.Supreme.Truth","The.Tempest","The.Tempestuous.Steel","The.Wasp.Nest","The.Whispering.Ice","Tidebreaker","Touch.of.Anguish","Tremor.Rod","Trypanon","Tulborn","Tulfall","Twyzel","Ungil.s.Gauche","United.in.Dream","Uul.Netol.s.Embrace","Uul.Netol.s.Kiss","Varunastra","Void.Battery","Voidhome","Voltaxic.Rift","Vulconus","White.Wind","Wideswing","Widowmaker","Wildslash","Windripper","Wings.of.Entropy","Xirgil.s.Crank","Xoph.s.Inception","Xoph.s.Nurture","Corona.Solaris","Dreadbeak","Geofri.s.Devotion","Mirebough","Panquetzaliztli","Sanguine.Gambol","The.Dancing.Duo","The.Stormwall","Cameria.s.Avarice","Disintegrator","Dreadsurge","The.Enmity.Divine","The.Rippling.Thoughts","Voidforge","Cerberus.Limb","Chaber.Cairn","Earendel.s.Embrace","Fate.of.the.Vaal","Paradoxica","Sinvicta.s.Mettle","Soulwrest","Story.of.the.Vaal","The.Crimson.Storm","The.Grey.Spire","Cold.Iron.Point","Nebulis","Sign.of.the.Sin.Eater","The.Goddess.Unleashed","The.Black.Cane","The.Saviour"
1,"2017-12-08","Abyss HC","UniqueWeapon",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.49667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss HC","UniqueWeapon",0.59328,3.49806,11.71484,12.97935,11.12586,18.7564,20.78091,0.83484,6.12278,8.77419,16.66276,50,0,0.64879,0,0,2.56765,1.35518,14.28704,0,4.15226,0.96871,0.50531,12.99323,0,150,6.65,0,6.5925,1.13452,3.96387,4.87806,1.17677,1.15516,1.19097,20,0.69194,0.57613,1,21.16294,1.35088,20.84355,4.45097,12.5028,1.5425,29.80471,11.01857,65.5,0,0.73576,4.95968,0,2.15129,0.35742,0.68419,0,1,4.63636,0.99968,1.29871,0.5819,0.90935,0.98677,1.03419,0.99129,0.93879,0.58052,0,43.54684,0,2.69484,30,14.98944,5.17,0,8.30968,0.716,4.86387,21.66833,1.05323,1.74323,0.43613,18.98387,27.80714,0,5.00129,0,0,7.20645,19.55645,1.03125,0.57966,0.59161,1.36776,0.98145,10.98097,0.97226,5.18065,13.61806,0.78516,1,0,2.73355,1,0.86387,0.9971,0,33.54129,1.60385,2.62278,4.59806,1.17742,0,2.3129,1.89806,0.38231,29.60571,16.12484,6.43806,1,0.42387,14.31727,0.65879,0,0,11.33333,0.24677,1.28742,0.95,0.58776,1,1.03226,1.04355,0,0,4.78581,0.65061,12.8484,0,2.94286,0,0.52959,14.86742,0.58466,8.28742,3.15387,0,123.5,1,0,0.87638,0.76321,0.99742,10.85833,3.85742,2.50032,0.58,13.78172,2.16129,1.06452,0,0.79613,0,5.18588,0,6.89903,1.54241,0,1.08103,2.99323,0.30194,14.08548,33.14464,4.61161,2.4329,1,0,33.77429,1.5929,0,4.72387,0,0.26613,0.65613,0,0,0,0,0,1,3.14414,0,1.28087,1.14929,0.54065,0.58362,0,1.47,3.16839,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss HC","UniqueWeapon",0.17431,1.82966,4.88017,3.71914,5.63879,5.81483,9.01966,0.76414,4.9183,4.95603,16.39034,23.09138,0,0.17345,0,0,0.90483,0.99379,7.24,0,1.36776,0.44466,0.17345,7.90793,0,114.03509,6.25397,0,4.85155,0.83879,1,1.66862,0.99103,0.99828,1.01638,31.79931,0.37103,0.57724,0.71569,16.13811,0.99759,13.82741,1.09466,11.01138,0.82914,20.18914,6.73948,49.72973,106.38151,0.62259,2.97621,0,1.45845,0.89534,0.22621,0,0.95293,1.18897,0.94931,0.975,0.17345,0.9769,0.79897,0.93517,0.95966,0.76397,0.17345,50,15.89603,0,1.54293,46.42857,10.38603,1.15914,0,4.40276,0.20207,1.68862,20.60828,0.98534,1.00759,0.17638,5.79224,12.34966,0,1.89259,0,0,5.50879,9.11741,0.96517,0.195,0.61259,1.8669,0.99121,1.72793,0.99552,1.3669,9.62207,0.90224,0.98379,36.52211,1,0.99397,0.72086,0.98655,0,29.87879,0.95121,1,2.94897,0.74724,0,0.99172,0.99862,0.17345,7.86948,9.14897,3.685,0.87345,0.18517,13.80603,0.39534,0,0,10.74113,0.18586,0.99241,0.8869,0.39552,0.98534,1,0.98,0,0,2.14276,0.23793,6.68379,0,4.55862,0,0.17345,5.64397,0.18069,4.12259,1.21069,0,112.36207,0.98724,0,0.77776,0.30276,0.67914,9.55638,1.42552,1.08172,0.17345,10.84862,1,0.80241,0,0.9631,10,5.39431,0,10.53534,0.99966,0,0.99586,1.51897,0.17345,2.94017,13.74259,3.42948,1.04672,1,35.52588,18.23914,0.9969,0,4.53397,0,0.17431,0.52983,0,0,4.74359,0,0,0.84086,1,0,1.00052,0.92862,0.17362,0.17345,78.19875,0.9681,2.43397,1.40466,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss HC","UniqueWeapon",0.18845,1.04276,2.98638,2.14707,2.28224,3,5.9931,0.43879,1,4.04948,6.53655,5.18603,0,0.18931,0,0,0.96259,0.96414,3.94,0,1,0.40845,0.18534,4.14034,0,127.94263,5.8581,0,2.83534,0.63397,0.75034,1,0.99397,0.85241,0.96466,24.34448,0.52879,0.35086,0.57345,12.60914,0.92741,10.84517,0.92534,8.77655,0.43086,10.84862,3.5581,80.50455,66.5619,0.29052,1.85776,0,1.01241,0.88638,0.24397,4,0.48759,1,0.99948,0.76121,0.18017,0.90862,0.695,0.99328,0.97845,0.62052,0.18534,28.68317,5.86966,0,1,75.66808,6.67552,0.91328,30,4.24345,0.18862,1,20.25655,0.76586,0.98483,0.18534,1.47741,3.185,0,1.05172,0,67.07,2.24552,3.58448,0.89948,0.36586,0.63776,1.66914,0.80638,1,0.39121,1,13.02603,0.99914,0.91241,21.94517,1,0.92052,0.43345,0.95983,0,29.33466,0.76207,0.80138,2.06345,0.4319,0,0.98155,1,0.18534,4.06948,3.77845,1.94345,0.73172,0.18569,8.7519,0.55741,0,100,3.86552,0.19103,0.98845,0.50741,0.71017,0.87931,1,0.89672,0,0,1,0.22172,2.8731,47.06,3.96845,0,0.18914,6.96638,0.18776,2.43397,1,30,81.55431,1.07741,0,0.7469,0.24483,0.24586,2.48224,1,1,0.18534,11.33586,1,0.50776,0,0.98603,8.51034,5.62724,0,20.04379,0.98293,0,0.9931,1,0.19621,1.90759,9.97017,2.01379,0.98724,0.94017,70.43357,17.58293,0.98138,0,3.15259,0,0.18534,0.39793,0,0,13.34316,0,75,0.44655,1,0,0.96259,0.63552,0.19655,0.18534,46.10983,0.87293,2.16621,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss HC","UniqueWeapon",0.19483,1,2.75966,1.89828,2.64828,2.66897,3.34759,0.53241,1,3.895,2.68138,4.16362,0,0.19224,0,98.14815,0.75914,0.99724,2.61224,0,1,0.44466,0.19224,3.19207,0,174.93585,6.32448,0,1.87897,0.62983,0.6419,1,1,0.93328,0.99276,14.50672,0.23,0.33138,0.20052,6.3481,0.98086,8.71034,0.76534,4.55948,0.55224,9.5,2.10138,23.63897,61.88672,0.23345,1,50,1,0.96724,0.22052,19.29375,0.58759,0.86448,0.85017,0.76362,0.1919,0.69483,0.75172,0.78517,0.92914,0.30207,0.19224,18.88914,4.85569,0,1,37.29534,5.05707,0.87966,50,4.94983,0.20207,0.90948,17.22914,0.62552,0.94983,0.2031,1.11052,2.4981,0,0.99103,0,45.74862,1,2.73534,0.93017,0.24759,0.26741,1.76534,0.7631,0.98069,0.19345,0.9919,12.41069,0.95586,0.98672,15.83966,0.86845,0.86897,0.21172,0.94517,175.06138,26.56655,0.42328,0.51397,1.2669,0.26328,0,0.98414,0.8919,0.19224,1.43707,2.73155,1.42948,0.815,0.19224,6.37138,0.64172,48,62.57017,3.25517,0.19224,1,0.19241,0.86862,0.87845,0.98345,0.70672,0,0,0.99414,0.19224,1.87086,50.20431,3.77724,0,0.19586,4.57431,0.20483,1.5169,0.95138,30,95.51069,1.20845,0,0.4369,0.2469,0.20345,1.75931,0.99983,1,0.19224,10.69931,0.99948,0.36724,19,0.97655,8.72941,5.9031,0,26.33466,0.97914,251.06321,0.99086,1,0.19224,1.54034,6.25345,1.99086,0.98017,0.77862,56.25621,18.97621,0.67862,0,3.03069,0,0.19345,0.19224,0,0,3.82966,0,73.87293,0.19276,0.99862,25,0.74,0.35362,0.19224,0.19224,43.31966,0.52379,2.34586,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss HC","UniqueWeapon",0.26397,0.95397,1.98448,1.99569,2,2.00724,3.55638,0.44793,1,3.0869,1.99603,3.15241,0,0.21224,0,50,0.8419,0.97828,2.11103,262.5,0.95776,0.51759,0.21224,2.15345,0,116.56397,6.02569,360,1.13138,0.22862,0.30224,0.995,1.05397,0.79069,0.95483,15.06379,0.23966,0.42603,0.21224,4.60966,0.82086,8.1031,0.88,3.98431,0.63431,10.12517,1.89017,20.40534,60.7381,0.21707,1,46.55172,0.94759,0.95897,0.33828,12.85828,0.84793,0.33966,0.94,0.38534,0.21224,0.6181,0.41207,0.76879,0.91379,0.38517,0.21224,10.44224,3.3219,0,0.99603,26.355,3.64638,0.75966,42.56875,3.91069,0.21759,0.50724,9.94155,0.26862,0.995,0.21224,1.86086,1.55052,0,1,0,86.3931,1,1.71638,0.93052,0.50948,0.22776,1.54966,0.9119,1,0.21224,0.93155,12.28621,0.92069,0.99052,13.64207,0.50207,0.8369,0.21224,0.95793,91.44621,31.00241,0.5919,0.46345,0.99759,0.26793,0,1,0.86121,0.21224,1.92155,1.99741,1.00897,0.88155,0.21224,5.69793,0.76517,25.56052,38.85586,4.93241,0.21224,0.98724,0.23534,0.90845,0.68259,0.98328,0.61397,0,0,0.93534,0.21224,1.17121,38.91569,3.07552,70.48943,0.225,4.11914,0.25155,1,0.77741,29.18121,84.25966,1,0,0.44172,0.25448,0.21224,1.85,1,0.94138,0.21224,9.84724,1,0.46552,14.05603,0.9981,10,6.61621,0,29.98517,0.97466,214.875,0.88966,1,0.21224,3,6.09603,1.9919,1,0.32017,49.10569,16.16138,0.70241,19,2.55897,0,0.22448,0.21517,0,0,4.07,0,61.11379,0.21224,1,22.93103,0.6731,0.23483,0.21241,0.21224,49.67862,0.60741,3.80362,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss HC","UniqueWeapon",0.26983,1,2,1.72086,1.49569,1.94897,2.63466,0.37259,1,3,2,2.96569,0,0.23569,429.61538,21.60345,0.87466,0.85828,1.58138,217.93103,0.7069,0.28759,0.23414,1.6019,0,114.03948,5.26586,0,1,0.24276,0.27224,0.95052,1.00345,0.9269,0.96224,18.44724,0.23414,0.30207,0.23414,2.44052,0.73707,8.16517,0.49707,3.87966,0.75845,10.84586,1.65466,16.15707,72.82776,0.255,0.98034,24.68966,0.72672,0.96862,0.25103,4.17259,0.32259,0.85603,0.80276,0.24362,0.23414,0.48879,0.28879,0.59017,0.88724,0.35121,0.23414,5.96328,3.81379,0,0.99828,17.75862,2.66052,0.73552,19.485,3.82466,0.24138,0.74172,7.68845,0.37448,0.97,0.23414,1.87621,1,0,0.99362,0,65.52086,0.9819,1,0.94897,0.35103,0.24793,1.79879,0.91207,0.81655,0.23414,0.99707,16.09466,0.9669,0.97,11.10121,0.50362,0.99793,0.23414,0.97603,54.12293,28.44276,0.5919,0.27241,0.97897,0.2681,0,0.99638,0.96,0.23414,1.69052,1.29569,0.99845,0.92397,0.23414,5.53672,0.64741,18.08224,23.35207,3.10224,0.23414,0.98724,0.23414,0.93172,0.96879,0.99414,0.54724,0,0,0.99776,0.23414,1.01724,38.62483,3.89293,88.05948,0.23414,4.98034,0.23414,1,0.34224,22.69328,76.45448,1,0,0.89103,0.3119,0.23448,1.71069,0.98534,0.81086,0.23414,10.7919,1,0.34914,7.98172,0.9419,8.92909,6.80879,50,30.14121,0.89431,229.75,1,1,0.23414,2.96431,8.51483,1.79172,0.93138,0.47466,37.92776,16.36655,0.97052,5,2.93966,0,0.23414,0.23414,0,0,3.06983,0,38.64483,0.23414,1,39.38889,0.27793,0.39362,0.23414,0.23414,52.84121,0.31828,3.97793,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss HC","UniqueWeapon",0.24877,0.99158,1.41158,1,1,1.48737,2.32035,0.38509,0.99596,2.99684,1.98316,3,0,0.24,504.24386,25.69719,0.77719,0.99404,1.32298,133.81579,0.46632,0.26895,0.24,1.68228,119.74545,94.46754,5.82632,0,1,0.24,0.42965,0.98965,1,0.98246,0.99035,18.77386,0.24105,0.27193,0.24,1.97544,0.84789,7.51158,0.30509,3.24421,0.67035,10.57579,1.08386,13.45596,72.50018,0.25702,0.94877,23.15789,0.97842,0.99825,0.24018,4.35018,0.31018,0.99895,0.9207,0.35877,0.23719,0.73456,0.31877,0.60404,0.96754,0.34561,0.24,6.65649,3.76491,0,0.97439,12.57123,2.25404,0.4214,27.1393,3.98368,0.24,0.69684,6.46719,0.25667,0.94526,0.24,1.99368,1,0,0.99632,0,69.72456,0.90456,0.99965,0.98175,0.88175,0.24,1.85965,0.83649,0.99965,0.24,0.89088,12.51456,0.96596,0.89175,9.90632,0.32,0.92877,0.24456,0.94737,42.72544,26.66193,0.47491,0.34632,0.83228,0.25965,0,1,0.9014,0.24,1.92807,1,0.99895,0.4286,0.24,4.9407,0.57982,13.59333,13.13281,3,0.24,0.99719,0.24,0.89632,0.82526,0.95614,0.55474,0,0,0.96912,0.26561,1,39.36421,3.46895,61.84035,0.24,4.83386,0.2407,0.98877,0.41772,20,70.25807,1,1322.11538,0.67035,0.29526,0.24,1.34965,0.99404,0.99456,0.24,10.71965,0.9293,0.58491,5.21561,0.96105,5.3,7.03368,43.85965,26.52105,0.92842,195.2593,0.97895,1,0.24,2.2807,11.17702,1.34825,0.9993,0.49474,36.09614,16.76368,0.74754,5,2.77193,0,0.24,0.26632,0,0,3.33526,0,35.51807,0.24,1,61.2207,0.36123,0.51719,0.24,0.24,48.13719,0.31158,3.59754,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss HC","UniqueWeapon",0.24069,0.995,1.83224,1,1.7581,2,1.89948,0.53155,1,2.99655,1.87414,3.69414,118.75,0.24,600,40.4531,0.82948,0.98586,1.60534,73.54172,0.75052,0.24793,0.24,1.64517,79.48776,80.28828,6.1431,0,1,0.24,0.35414,1,1,0.98379,0.99207,18.42241,0.24983,0.33086,0.24,2,0.71483,9.13914,0.70259,2.92121,0.71517,15.47466,1,8.45172,67.71138,0.27517,0.90776,10,0.99034,0.92017,0.29966,4.38569,0.3631,0.98603,0.78431,0.31724,0.23862,0.64931,0.4019,0.8581,0.95569,0.33534,0.24,5.31914,4.12259,0,0.99672,10.34103,1.48638,0.32362,21.22052,3.99414,0.24,0.73621,4.53586,0.25328,0.87534,0.24,2,1,0,0.99897,0,80.74517,0.99655,1,0.78983,0.81966,0.25828,1.89448,0.85983,0.89086,0.24,0.65586,11.06569,0.95879,0.99086,7.56052,0.59707,0.95328,0.24,0.99897,30.33914,22.29207,0.46379,0.30707,0.99983,0.24,0,0.99879,0.32931,0.24,1.53207,1,0.99914,0.46086,0.24,4.80862,0.39828,13.935,8.47414,2.72103,0.24,0.97914,0.24,0.87379,0.80103,0.99552,0.43155,0,0,0.9831,0.24138,1,39.81138,3.62552,22.71759,0.24,4.01621,0.26466,1,0.58017,11.89655,71.4531,1,1250,0.66914,0.30621,0.24034,1,0.85155,0.95155,0.24,12.33845,1,0.35966,5.05621,0.87707,5.62586,6.47724,27.93103,29.48948,0.94759,153.45379,0.95931,0.78948,0.24,2,12.19121,1.49655,0.99621,0.71224,41.53293,11.21655,0.52552,10,2.76552,0,0.24,0.25086,0,0,3.13276,0,34.42672,0.24,0.9319,55.47828,0.40655,0.66362,0.24,0.24,51.46414,0.26397,2.85776,1,23.65517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss HC","UniqueWeapon",0.24316,0.96421,1.87088,1,1.93351,1.87246,1.21404,0.36526,0.91614,2.98825,1.18211,3.06789,110,0.23667,600,54.02368,0.76404,0.99298,1.27316,60.19737,0.98421,0.23667,0.23667,1.17228,35.44632,85.4114,6.4414,0,0.9707,0.27,0.31579,0.99895,1.03526,0.90368,1,14.64175,0.25842,0.24368,0.23667,2,0.72825,8.74211,0.60439,2.44316,0.64684,15.95351,1,6.49667,74.28368,0.25123,0.94965,0,1.41719,0.99,0.24018,4.95614,0.52614,1,0.85754,0.25667,0.23614,0.27912,0.53491,0.65035,0.95123,0.26263,0.23632,3.96404,3.38947,100,0.9793,8.5693,1.97281,0.29842,11.18404,2.33544,0.23649,0.35123,3.44667,0.2507,0.96667,0.23667,1.99754,1,0,0.99912,0,115.44632,0.94281,1,0.94579,0.38509,0.23667,1.80649,0.89316,0.86982,0.23667,0.89789,8.45,0.98684,0.81368,4.37509,0.2986,0.96596,0.25035,0.90333,30.1407,19.33842,0.46368,0.25368,0.99947,0.25877,0,0.99649,0.5,0.23667,0.99965,1,0.97789,0.25754,0.23667,4.4907,0.56649,9.75105,5.83404,2.91,0.23667,0.99965,0.23667,0.81579,0.63228,0.94053,0.34807,0,288.47368,0.98614,0.23667,0.98895,40.95053,3.85105,19.93333,0.23667,3.87298,0.26596,0.99719,0.9586,7.11596,72.00719,1,1039.875,0.47789,0.28789,0.24684,1,0.95649,0.83386,0.23667,13.42947,0.90544,0.30351,6.25667,0.75211,7.68421,7.45018,20,31.45684,0.95807,132.5614,0.99754,0.53526,0.23667,1.74772,12.03632,1.60088,1,0.44895,41.4693,10.09474,0.63544,5,2.55632,0,0.23667,0.23667,0,0,2.55895,0,34.31246,0.23684,0.9807,60,0.41807,0.59754,0.23667,0.23667,53.55088,0.23702,2.8914,1,20.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
