"Day","Date","League","Type","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Sextant","Mirror.of.Kalandra","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Annulment","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Vaal.Orb","Ancient.Orb","Annulment.Shard","Engineer.s.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.Shard","Orb.of.Binding","Orb.of.Horizons","Perandus.Coin","Stacked.Deck","Timeless.Karui.Emblem","Timeworn.Reliquary.Key","Apprentice.Cartographer.s.Seal","Journeyman.Cartographer.s.Seal","Master.Cartographer.s.Seal","Ancient.Reliquary.Key","Eternal.Orb","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
1,"2017-12-08","Abyss","Currency",0,1.09689,0,0,0,0,0,0,0,0,1.29067,0,0,0,0,1,0,0,0,0,5,5,0,5,0,1,1.77724,0,1,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","Currency",1,0.47577,0.48946,0.99208,0,0,0,0,0,0.1937,0.38143,4,26.16644,0.91285,0.44552,0.47942,4.04224,8.2,0,2.05882,2.1085,0.64025,2.30612,0.63528,0.28825,0.5487,0.73356,0.26894,0.49115,0.03542,1.39194,0.22637,0.55129,0.38626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","Currency",0.69114,0.04481,0.06148,0.94935,300,118,0,0,77.56377,0.13182,0.06158,4.70687,35.92556,0.53079,0.34659,0.06289,1.87065,4.07303,3231.21992,2.99138,0.18541,0.03254,2,0.06723,0.08812,0.2537,0.51162,0.28354,0.05635,0.02308,1,0.01325,0.22157,0.37525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","Currency",0.65771,0.03321,0.04659,0.64588,317.18147,106.24366,89.51009,164.79006,93.30382,0.15765,0.07078,5.58222,43.5739,0.60673,0.33418,0.07496,1.83522,3.99035,3329.72176,3,0.24288,0.03612,2.60824,0.04969,0.0931,0.30757,0.63973,0.37138,0.04292,0.02255,1,0.01166,0.26535,0.48103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","Currency",0.66339,0.02851,0.04592,0.66651,364.89583,82.52662,86.78582,160.96364,63.83553,0.1814,0.07772,6.74714,47.99698,0.70856,0.33333,0.0887,1.70785,4,2898.88263,3.05466,0.27675,0.04638,3.86443,0.04021,0.09869,0.36319,0.69709,0.43997,0.04422,0.0226,1.00283,0.01115,0.29527,0.53115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","Currency",0.65554,0.02478,0.04059,0.62256,374.52063,78.03423,93.73034,179.55123,26.76742,0.19968,0.07616,6.98276,45.45841,0.74403,0.33333,0.09088,1.80342,4,2834.80754,3.50523,0.29505,0.04628,4,0.03527,0.09999,0.37074,0.70815,0.461,0.0369,0.02341,1.00788,0.01068,0.30208,0.5608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","Currency",0.63561,0.02142,0.03514,0.58493,351.36302,84.0653,89.43539,136.14938,14.13628,0.20807,0.07386,7,41.32816,0.74711,0.32275,0.09132,1.88746,4,2714.96433,3,0.30274,0.04759,4.23473,0.03312,0.09802,0.37522,0.65709,0.41963,0.03376,0.02082,1,0.01004,0.28905,0.57257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","Currency",0.64265,0.01966,0.03268,0.49058,389.13992,60.4362,57.68985,111.1967,8.68676,0.21992,0.07122,7.10427,42.48889,0.78329,0.27428,0.09382,1.99753,4,3000.11907,3.02721,0.31874,0.0501,5,0.03201,0.09439,0.38854,0.62656,0.40869,0.03233,0.02004,1,0.00998,0.28604,0.5743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","Currency",0.65583,0.01823,0.03203,0.46594,427.76988,47.80293,54.74708,98.57809,5.64724,0.23163,0.07023,7.90875,41.78923,0.83151,0.23779,0.09789,2.13265,4.11682,3121.98949,3.02009,0.32793,0.0517,5,0.02877,0.09301,0.40429,0.59666,0.39201,0.03015,0.02065,1,0.00962,0.28395,0.58823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","Currency",0.7184,0.01733,0.02976,0.45506,424.15966,32.92213,40.6074,110.89207,4.97555,0.24361,0.06905,7.51456,41.5251,0.79738,0.21959,0.09724,2.3835,4.44206,3210.93659,3.98269,0.33023,0.05046,4.99309,0.02654,0.08971,0.40229,0.58008,0.36865,0.02837,0.0208,0.97116,0.00875,0.27413,0.5885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
