"Day","Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe"
1,"2017-12-08","Abyss","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,"2017-12-09","Abyss","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81219,13.65969,10.50531,17.60031,0.16848,0.314,0.35854,0.16333,0.314,0.33073,0.834,0.16848,1,1.20594,1.35281,1.66152,1.01875,1.07515,1.69469,1.69719,3.4625,1.32,1,2,2.91067,1.94939,1.17813,1.04813,1,1.19,2.22424,2.46379,1.64781,5.86833,8,5.42857,4.77647,3.11938,5.11344,1,11.08696,2,7.36438,5.64464,11.95636,4.11656,4.85,3.82941,3,9.06087,4.05261,4.66895,20.25286,1,1.0197,1.01424,0.68091,0.92242,1.14,0.89848,1.05303,1,0.96,0.91303,0.85879,0.78273,0.89688,0.78303,1,0.19364,0.58667,0.16848,0.47121,0.59333,0.16697,0.97545,0.21667,0.16848,0.16879,0.17333,0.28939,1.50845,0.53339,1.19207,0.68542
3,"2017-12-10","Abyss","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89931,11.63966,5.7919,9.42534,0.17966,0.17966,0.17966,0.17966,0.1769,0.17966,0.17966,0.17966,1.48276,1,0.98862,1.13776,1,1,1,1,3.38862,1,1,1.33983,1.67741,1.41569,1,0.99328,1,0.99931,1.08621,1.27966,1.25293,3.9019,4.80552,7.57643,3.28138,3.27931,2.29121,6.24929,9.11155,2.5269,3.29483,3,8.79,2.65741,6.51164,4.37882,3.06845,5.65483,3.89,4.32224,6.50741,0.90741,0.78828,0.99879,0.22931,0.98621,1.26241,0.79672,0.47431,0.97241,0.68793,0.98741,0.78845,0.5219,0.91931,0.97638,0.9831,0.17966,0.33069,0.21793,0.27276,0.6631,0.17966,0.5669,0.18034,0.17966,0.17966,0.17966,0.19948,0.17966,0.17828,0.17966,0.17966
4,"2017-12-11","Abyss","Essence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.60741,11.72017,4.91414,9.51276,0.23603,0.23603,0.23603,0.23603,0.23603,0.23603,0.23603,0.23603,2.01241,1,0.57914,1.94086,0.645,0.92052,0.98966,1,3,0.99897,0.98379,1,0.9969,1,0.96345,0.97655,0.63517,0.75776,0.99379,0.99362,1.16879,3.52121,4,7.94534,2.62293,2,1.99483,4.25931,8.95155,3.05345,3.89103,2.62397,6.92621,2.95069,5.35086,4.14776,2.60241,4.30069,4.0469,6.52069,4.455,0.68276,0.30121,0.81103,0.23603,0.62517,1,0.70621,0.23828,0.60345,0.36741,0.50672,0.45448,0.23603,0.51052,0.61948,0.87086,0.23603,0.23603,0.23603,0.23603,0.66431,0.23603,0.37759,0.23603,0.23603,0.23603,0.23603,0.23603,0.23603,0.23603,0.23603,0.22776
5,"2017-12-12","Abyss","Essence",30.75833,0,0,0,29.7619,0,12,20.88889,0,9.72727,0,0,25,0,0,9.91667,0,0,20,0,14.92034,13.9169,5.97414,9.80707,0.26672,0.26672,0.26672,0.26672,0.26672,0.26672,0.26672,0.26672,2.88259,1.63397,0.54552,1.99603,0.4769,0.55621,0.99862,1,2.90483,0.99948,0.97103,1,0.98052,1.06103,0.88034,0.74724,0.47414,0.75948,0.99845,0.9931,1.59172,6.05845,3.75121,7.3719,2,1.99948,2,3,9.3319,3.53362,3.41034,2.02724,7.08172,2.90103,3,4,2.30414,3.87069,4.31603,4.67672,4.7231,0.57466,0.26672,0.57328,0.26672,0.32362,0.99379,0.29034,0.26672,0.27707,0.28776,0.26672,0.26672,0.26672,0.38621,0.44259,0.99776,0.26672,0.26672,0.26672,0.26672,0.64517,0.26672,0.27172,0.26672,0.26672,0.26672,0.26672,0.26672,0.26672,0.26672,0.265,0.26672
6,"2017-12-13","Abyss","Essence",20.08672,0,24.625,0,25,0,12,22.19565,0,0,0,13,25,0,8,10,25,15,21.48529,0,15.11655,18.50379,7.15552,10.95931,0.28586,0.28586,0.28586,0.28586,0.28586,0.28586,0.28586,0.28586,3.15172,1.89103,0.32569,1.99983,0.32776,0.51759,1,0.99983,2.75069,0.99121,0.95207,0.98914,0.99914,1.10897,0.67397,0.70379,0.36466,0.85741,0.93241,1,1.90103,6.50914,2.94776,7.05466,2,2,1.96069,3.19931,8.93293,2.99259,3,2.19793,6.01241,3.36155,2.96207,3.39138,1.99862,3.45138,3.17362,4.75517,5.61466,0.41052,0.28586,0.57379,0.28586,0.29707,0.99948,0.34586,0.29052,0.28586,0.28603,0.28586,0.28586,0.28586,0.28586,0.28862,0.79983,0.28586,0.28586,0.28586,0.28586,0.34397,0.28586,0.28586,0.28586,0.28586,0.28586,0.28586,0.28586,0.28586,0.28483,0.28379,0.28586
7,"2017-12-14","Abyss","Essence",19.86404,6,21.83898,13.375,23.15789,11.88421,11.98269,28.37044,10.19304,0,6.18182,10,25,0,8.18596,14.83158,27.20158,10.13953,16.79754,0,14.84526,15.18877,9.49754,11.69263,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.29333,0.29404,3.63912,1.98281,0.44947,1.97684,0.38632,0.56105,0.98789,0.99947,2.72281,0.96263,0.95754,0.9593,0.9814,0.99474,0.44333,0.52491,0.31544,0.76895,0.88018,0.99526,1.81175,6.03632,2.1407,6.68281,1.90491,1.99789,2.11772,3.00123,8.5414,3,2.98158,1.9986,4.78,3.32754,2.93281,2.82596,1.75509,3.29,2.99684,4.91947,5.85579,0.51421,0.29404,0.62947,0.29404,0.29404,0.88404,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.5507,0.29404,0.29404,0.29404,0.29404,0.29404,0.29386,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.29404,0.28404,0.29333,0.29404
8,"2017-12-15","Abyss","Essence",17.68724,5.4,23.50032,10,20,18.51034,17.17,26.04404,9.23207,10,25,14.25034,24.92241,16.67174,8.19448,20.06466,21.18276,13.90862,15.04466,25.04167,14.71534,15.79328,9.07103,11.48966,0.30845,0.30845,0.30741,0.30845,0.30828,0.30845,0.30845,0.30845,3.73259,2.06741,0.31241,2,0.30845,0.49052,0.9769,0.99017,2.70534,0.90862,0.91276,0.84983,0.87845,0.99431,0.35207,0.54276,0.30845,0.65207,0.65879,0.90879,1.26534,6.37914,2,7.0181,1.33241,2,2.72793,3,7.895,2.98138,3,2.13017,4.30069,3.65172,2.82448,2.83224,1.01983,2.9969,2.87172,4.95,5.74293,0.79103,0.30845,0.59552,0.30845,0.30845,0.7769,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.59983,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.30845,0.26793,0.27517,0.30845
9,"2017-12-16","Abyss","Essence",21.71259,5.65483,23.40603,6.54397,18.26207,20,16.96069,25.30397,9.54172,10.1669,22.06362,11.9881,24.1,10.27259,8.14155,14.06379,13.44172,10.37034,14.24828,22.45217,14.65397,16.63138,8.77121,12.81328,0.32034,0.32034,0.32034,0.30121,0.32034,0.32034,0.32034,0.32034,3.75207,2.17552,0.32034,2,0.3219,0.33638,0.9269,0.99466,2.56983,0.95983,0.7819,0.79517,0.815,1,0.69621,0.54983,0.32414,0.6831,0.83845,0.97552,1.89879,6.66328,2,6.98034,1.86707,2,2.94069,2.99414,7.58741,2.21103,2.99534,2.01448,4.06103,3.97379,2.23534,2.945,1.70603,2.9569,2.73983,4.89466,5.38362,0.85603,0.32034,0.66259,0.32034,0.32034,0.98569,0.32034,0.32034,0.32034,0.32034,0.32034,0.31828,0.32034,0.32034,0.32034,0.48983,0.32034,0.32034,0.32034,0.32,0.32034,0.32034,0.32034,0.32034,0.32034,0.32034,0.32034,0.32034,0.32034,0.32034,0.31397,0.32017
10,"2017-12-17","Abyss","Essence",20.20246,3.63754,25.96053,5.80281,16.85404,17.38947,14.8114,23.36175,10.81947,10.45544,16.97491,22.03456,24.09123,8.15842,7.91579,9.33421,16.32789,10.88842,13.7493,15.78791,14.54474,17.73825,8.82667,14.18667,0.32,0.32,0.32,0.29842,0.32,0.32,0.32,0.31912,3.84316,2.77316,0.33982,1.99895,0.32,0.44105,0.91368,0.96211,2.38386,0.82316,0.70807,0.73404,0.52263,1,0.53544,0.52035,0.33684,0.7414,0.79053,0.9914,1.8714,5.94123,1.56228,6.6407,1.84825,1.99561,2.95263,3,6.89877,1.99596,3.09474,2.60105,3.51316,3.94053,1.99719,2.98596,1.03211,2.77053,2.70404,4.18754,5.00509,0.99386,0.32526,0.68772,0.32,0.32,0.87421,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.30474,0.32,0.53596,0.32,0.32,0.32,0.32,0.31772,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
