"Day","Date","League","Type","Chayula.s.Breachstone","Divine.Vessel","Eber.s.Key","Esh.s.Breachstone","Fragment.of.the.Chimera","Fragment.of.the.Hydra","Fragment.of.the.Minotaur","Fragment.of.the.Phoenix","Inya.s.Key","Mortal.Grief","Mortal.Hope","Mortal.Ignorance","Mortal.Rage","Sacrifice.at.Dawn","Sacrifice.at.Dusk","Sacrifice.at.Midnight","Sacrifice.at.Noon","Splinter.of.Chayula","Splinter.of.Esh","Splinter.of.Tul","Splinter.of.Uul.Netol","Splinter.of.Xoph","Tul.s.Breachstone","Uul.Netol.s.Breachstone","Volkuur.s.Key","Xoph.s.Breachstone","Yriel.s.Key","Chayula.s.Charged.Breachstone","Chayula.s.Enriched.Breachstone","Chayula.s.Pure.Breachstone","Esh.s.Charged.Breachstone","Esh.s.Enriched.Breachstone","Esh.s.Pure.Breachstone","Tul.s.Charged.Breachstone","Tul.s.Enriched.Breachstone","Tul.s.Pure.Breachstone","Uul.Netol.s.Charged.Breachstone","Uul.Netol.s.Enriched.Breachstone","Uul.Netol.s.Pure.Breachstone","Xoph.s.Charged.Breachstone","Xoph.s.Enriched.Breachstone","Xoph.s.Pure.Breachstone","Timeless.Eternal.Emblem","Timeless.Eternal.Empire.Splinter","Timeless.Karui.Splinter","Timeless.Maraketh.Emblem","Timeless.Maraketh.Splinter","Timeless.Templar.Emblem","Timeless.Templar.Splinter","Timeless.Vaal.Emblem","Timeless.Vaal.Splinter","Fragment.of.Constriction","Fragment.of.Emptiness","Fragment.of.Enslavement","Fragment.of.Eradication","Fragment.of.Knowledge","Fragment.of.Purification","Fragment.of.Shape","Fragment.of.Terror"
1,"2017-12-08","Abyss","Fragment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","Fragment",0,1.35294,9.19935,0,0,0,0,0,12.43078,3.34699,25.9134,36.40411,3,1,1,4.38235,1.0062,1.57153,0.73772,0.69862,0.70107,0.67132,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","Fragment",114.13408,1,7.39826,30,38.65926,40.76764,42.87352,22.63085,9.8263,2,16.58806,12.43409,3,1,1,3.51341,1,0.92817,0.39921,0.3343,0.36275,0.35803,0,0,12.04831,44,6.70986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","Fragment",105.15384,1,4.61326,77,31.42981,25.66117,28.03467,16.8093,11.19459,2,18.65694,10.54189,2.99203,1,1,2.98952,1,0.97116,0.33333,0.25481,0.32826,0.31602,35.25,0,13.63221,46.03778,11.48349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","Fragment",117.80488,1,3,42.08771,23.07785,14.05867,21.31891,15.60887,10.63866,2,24.21579,11.16036,2.83694,1,0.99454,2.42221,1,1,0.33244,0.32026,0.33333,0.33333,41.55552,0,12.66765,44.96971,13.79151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","Fragment",160.98669,1,3,35.60941,16.62477,13.07384,20.12965,16.87577,12.8045,2,28.24623,13.92605,3.17338,0.99953,0.95922,2.10815,1,1.04954,0.32693,0.33276,0.33333,0.33333,37.39916,52.5,11.74052,38.18124,12.99224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","Fragment",164.92253,1,2.97238,36.37697,13.31673,11.20621,19.86124,16.86545,13.82257,2,27.27131,16.46067,5.17774,1,0.98191,2.29056,1,1.3234,0.33316,0.33333,0.3461,0.33333,37.10682,53.43333,10.97131,38.62988,12.24815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","Fragment",219.88412,1,2.93555,32.44837,11.73274,8.28278,21.39055,16.01204,13.79629,2,28.86537,19.47786,6.38393,0.91134,0.90774,2.14518,1,1.41285,0.32939,0.31558,0.3346,0.33026,31.95276,53.21817,10.54622,32.45615,11.97939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","Fragment",217.76173,1,2.37668,22.89657,10.21447,7.68128,19.38334,16.09421,12.80836,2,27.97074,19.69551,4.82152,0.76734,0.78355,2.0384,1,1.94458,0.26569,0.24345,0.32154,0.30864,24.41357,47.67722,8.74138,31.03125,11.05907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","Fragment",215.7185,1,2,18.52948,10,7.87641,18.05987,17.86176,12,2,27.79346,19.40037,4.62269,0.83628,0.80605,2,0.9943,1.99458,0.22234,0.20555,0.27354,0.28057,21.49303,44.80837,8,31.31257,10.50762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
