"Day","Date","League","Type","Abyssal.Incubator","Cartographer.s.Incubator","Celestial.Armoursmith.s.Incubator","Celestial.Blacksmith.s.Incubator","Celestial.Jeweller.s.Incubator","Decadent.Incubator","Diviner.s.Incubator","Eldritch.Incubator","Enchanted.Incubator","Feral.Incubator","Fine.Incubator","Foreboding.Incubator","Fossilised.Incubator","Fragmented.Incubator","Gemcutter.s.Incubator","Geomancer.s.Incubator","Infused.Incubator","Mysterious.Incubator","Obscured.Incubator","Ornate.Incubator","Otherworldly.Incubator","Primal.Incubator","Singular.Incubator","Skittering.Incubator","Thaumaturge.s.Incubator","Time.Lost.Incubator","Whispering.Incubator"
1,"2019-09-06","Blight","Incubator",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0.5365
2,"2019-09-07","Blight","Incubator",1,2.94167,3,3,1.53083,4,1,0,1,1,1,3,1,1,0.99192,46.49333,1.8,1,1,1,3,1,0.26,1,8.74857,9.11795,0.26
3,"2019-09-08","Blight","Incubator",1,2,3,1.95853,3.94,2,1,33,1,1,1,2.24905,1,1,0.38505,28.03833,2.05714,1.16278,2,1,3,1,0.38505,1,5,8,0.38505
4,"2019-09-09","Blight","Incubator",1,2,2,1.98,4,2,2,30.11,1,1,0.96505,2.2099,1,1,0.49,28.38,2.85,1.8,1.9,1,3,1,0.5,1.00505,5,7,0.49
5,"2019-09-10","Blight","Incubator",1,1,2,2,3,2,3,26.01,1.8791,1,1,4,1,1,0.57,45,2.91051,2,3,1,3.67,1,1,2,9,10,0.57
6,"2019-09-11","Blight","Incubator",1,1,2,2,3,2,3,18,2,1,1,4,2,1,0.6,50,2,2,3,2,4,1,0.77,3,9,14.94,0.6
7,"2019-09-12","Blight","Incubator",1,1,2,1.95,3.66,2,4,15,2,1,1,4,3,1,0.61,49.992,2,2,2,1.77565,4,1,1,3,8,15,0.61
8,"2019-09-13","Blight","Incubator",1,1,2,2,3.79029,2,4,15,2,1,1,6,3,1,0.63,43,2,2,1.84015,2,4,1,0.63,3,8.43864,15,0.63
9,"2019-09-14","Blight","Incubator",1,1.57045,2,2,4,2,5,12,2,1,1,10,3,1,0.62,40,2,2,2,1,4.75,1,1,3.05,10,15.7352,0.62
10,"2019-09-15","Blight","Incubator",1,1,2,2,4,2,5,12,2,1,1,9,3,1,0.61,39,2,2,2,2,5,1,1,4,10,18,0.61
11,"2019-09-16","Blight","Incubator",1,1,2,1.09,3.32879,2,6,12,2,1,1,8,3,1,0.56,37.47121,2,1,2,3,5,1,1,4,15,20,0.56
