"Day","Date","League","Type","Amber.Oil","Azure.Oil","Black.Oil","Clear.Oil","Crimson.Oil","Golden.Oil","Opalescent.Oil","Sepia.Oil","Silver.Oil","Teal.Oil","Verdant.Oil","Violet.Oil"
1,"2019-09-06","Blight","Oil",0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-09-07","Blight","Oil",0.26,1,4.24427,0.26,3,277.5,21.37275,0.26,54.72333,1,1,2
3,"2019-09-08","Blight","Oil",0.39,2,8,0.38505,5,97.85421,14.01707,0.38505,40,1,1,4
4,"2019-09-09","Blight","Oil",0.49,2,10,0.49,5,128.07389,19,0.49,49.75,1,1,4
5,"2019-09-10","Blight","Oil",0.57,2,10,0.56,7,123.403,20,0.54,45,1,1,4
6,"2019-09-11","Blight","Oil",0.6,2,10,0.6,7,130.64804,20,0.6,50,1,0.6,4
7,"2019-09-12","Blight","Oil",0.61,2,10,0.6,7,172.75747,20,0.6,62,1,0.61,4
8,"2019-09-13","Blight","Oil",0.62,2,10,0.5,7,177.89939,24,0.5,64,1,0.63,4
9,"2019-09-14","Blight","Oil",0.5,2,10,0.5,7,172.56015,24,0.5,55,1,0.5,4
10,"2019-09-15","Blight","Oil",0.5,2,10,0.5,7,175,25,0.5,55.89015,1,0.5,4
11,"2019-09-16","Blight","Oil",0.5,2,10,0.5,7,189,25,0.5,60,1,0.5,4
12,"2019-09-17","Blight","Oil",0.51,2,10,0.51,6,189.57015,24,0.5,60,1,0.51,4
13,"2019-09-18","Blight","Oil",0.5,2,10,0.5,6,190,24,0.5,61,1,0.5,4
14,"2019-09-19","Blight","Oil",0.5,2,10,0.5,6,210,23,0.5,65,1,0.51,4
15,"2019-09-20","Blight","Oil",0.5,2,9,0.5,6,203.74,22,0.5,63,2,0.6402,4
16,"2019-09-21","Blight","Oil",0.5,2,9,0.5,6,209.47505,21.5502,0.5,63,1.7902,0.5,4
17,"2019-09-22","Blight","Oil",0.48,2,8,0.48,6,210,22,0.48,65,1.43505,0.49,4
18,"2019-09-23","Blight","Oil",0.43,2,8,0.43,6,219.0801,22,0.44,67,1.62061,0.48,4
19,"2019-09-24","Blight","Oil",0.46,2,8,0.44,6,223.63061,22.5101,0.42,67.12626,2,0.48505,3
20,"2019-09-25","Blight","Oil",0.46,1.5,8,0.42,6,220.09515,22,0.42,68,2,0.47,3
21,"2019-09-26","Blight","Oil",0.42,1.5,8,0.4001,5,220,22.8903,0.42,67,1.5,0.47,3
22,"2019-09-27","Blight","Oil",0.44,1,8,0.42,5.1203,220,22,0.44,67,1,0.47,3
23,"2019-09-28","Blight","Oil",0.46,1,8,0.37,6,226.55061,22,0.46,68,1,0.47,3
24,"2019-09-29","Blight","Oil",0.47,1,8,0.44,5,227.7203,23,0.48,70,1,0.48,3
25,"2019-09-30","Blight","Oil",0.47,1,8,0.44505,5,230.0004,23,0.47,70,1,0.47,3
26,"2019-10-01","Blight","Oil",0.47,1,8,0.47,5,233.83005,23.74035,0.47,70,1,0.48005,3
27,"2019-10-02","Blight","Oil",0.47,1,8,0.47,5,233.96,24,0.47,73.9701,1.1701,0.47,3
28,"2019-10-03","Blight","Oil",0.48,1,8,0.49,5,233.72525,24,0.49,71.98515,1,0.48,3
29,"2019-10-04","Blight","Oil",0.49,1,8,0.49,5,253.62045,25,0.49,75,1.47,0.5,3
30,"2019-10-05","Blight","Oil",0.5,1,9,0.5,6,253.46,26,0.5,78,1.5,0.5,3
31,"2019-10-06","Blight","Oil",0.5,1,9,0.5,6,252.81,26.79525,0.5,80,1.5,0.5,3
32,"2019-10-07","Blight","Oil",0.5,1,9,0.5,6,253.32005,27,0.5,80,1.5,0.5,3
33,"2019-10-08","Blight","Oil",0.5,1,9,0.5,6,250,27,0.5,78,1.44515,0.5,3
34,"2019-10-09","Blight","Oil",0.5,1,8,0.5,6,235.72,25,0.5,73,1.5,0.5,3
35,"2019-10-10","Blight","Oil",0.5,1,8,0.45005,5,234.87025,24,0.5,69.39126,2,0.5,3
36,"2019-10-11","Blight","Oil",0.5,1,8,0.5,6,216.5304,23,0.5,65.00076,1,0.5,3
37,"2019-10-12","Blight","Oil",0.5,1,8,0.5,6,202.01,22,0.5,64,1,0.5,3
38,"2019-10-13","Blight","Oil",0.5,1,8,0.43,8,200.54182,22,0.5,62,1,0.5,3
39,"2019-10-14","Blight","Oil",0.5,1,8,0.5,8,199.95025,21.78086,0.5,62.26,1.5,0.5,3
40,"2019-10-15","Blight","Oil",0.5,1,7.93035,0.5,7,178.08202,20,0.5,60,1.5,0.5,3
41,"2019-10-16","Blight","Oil",0.5,1,7.6402,0.5,7,170,19,0.5,58,1,0.55505,2.5
42,"2019-10-17","Blight","Oil",0.46005,1,7,0.40005,7,168,18,0.49005,55,1,0.5,2
43,"2019-10-18","Blight","Oil",0.5,1,7,0.5,7,160,17,0.5,54,1,0.5,2
