"Day","Date","League","Type","A.Call.into.the.Void","A.Firm.Foothold","A.Forest.of.False.Idols","A.Gracious.Master","A.Master.Seeks.Help","A.Prodigious.Hand","A.Regal.Death","A.Valuable.Combination","A.Whispered.Prayer","Abnormal.Effulgence","Against.the.Tide","An.Unseen.Peril","Anarchy.s.End.I","Anarchy.s.End.II","Anarchy.s.End.III","Anarchy.s.End.IV","Ancient.Doom","Baptism.by.Death","Beyond.Sight.I","Beyond.Sight.II","Beyond.Sight.III","Beyond.Sight.IV","Blood.in.the.Eyes","Blood.of.the.Betrayed","Bountiful.Traps","Cleanser.of.Sins","Crushing.Squall","Custodians.of.Silence","Day.of.Sacrifice.I","Day.of.Sacrifice.II","Day.of.Sacrifice.III","Day.of.Sacrifice.IV","Deadly.Rivalry.I","Deadly.Rivalry.II","Deadly.Rivalry.III","Deadly.Rivalry.IV","Deadly.Rivalry.V","Deadly.Twins","Defiled.in.the.Sceptre","Dying.Cry","Echoes.of.Witchcraft","Ending.the.Torment","Erased.from.Memory","Erasmus..Gift","Fallow.At.Last","Fated.Connections","Fear.s.Wide.Reach","Fire.and.Brimstone","Fire.and.Ice","Fire.from.the.Sky","Fire..Wood.and.Stone","Flesh.of.the.Beast","Forceful.Exorcism","From.Death.Springs.Life","From.The.Void","Gilded.Within","Golden.Touch","Graceful.Flames","Heart.of.the.Fire","Heavy.Blows","Hidden.Reinforcements","Hidden.Vaal.Pathways","Holding.the.Bridge","Hunter.s.Lesson","Ice.from.Above","In.the.Grasp.of.Corruption","Kalandra.s.Craft","Lasting.Impressions","Lightning.Falls","Living.Fires","Lost.in.the.Pages","Monstrous.Treasure","Mouth.of.Horrors","Mysterious.Invaders","Nature.s.Resilience","Nemesis.of.Greed","Notched.Flesh","Overflowing.Riches","Path.of.Betrayal","Plague.of.Frogs","Plague.of.Rats","Pleasure.and.Pain","Pools.of.Wealth","Possessed.Foe","Power.Magnified","Rebirth","Reforged.Bonds","Resistant.to.Change","Risen.Blood","Roth.s.Legacy","Severed.Limbs","Smothering.Tendrils","Soil..Worms.and.Blood","Storm.on.the.Horizon","Storm.on.the.Reef","Strong.as.a.Bull","Thaumaturgical.History.I","Thaumaturgical.History.II","Thaumaturgical.History.III","Thaumaturgical.History.IV","The.Alchemist","The.Ambitious.Bandit.I","The.Ambitious.Bandit.II","The.Ambitious.Bandit.III","The.Apex.Predator","The.Beautiful.Guide","The.Beginning.and.the.End","The.Bloody.Flowers.Redux","The.Bowstring.s.Music","The.Brothers.of.Necromancy","The.Brutal.Enforcer","The.Child.of.Lunaris","The.Corrupt","The.Cursed.Choir","The.Dream.Trial","The.Dreamer.s.Dream","The.Eagle.s.Cry","The.Feral.Lord.I","The.Feral.Lord.II","The.Feral.Lord.III","The.Feral.Lord.IV","The.Feral.Lord.V","The.Flayed.Man","The.Flow.of.Energy","The.Forgotten.Garrison","The.Forgotten.Soldiers","The.Fortune.Teller.s.Collection","The.Four.Feral.Exiles","The.God.of.Misfortune","The.Hardened.Armour","The.Hollow.Pledge","The.Hungering.Swarm","The.Invader","The.Jeweller.s.Touch","The.Karui.Rebellion","The.King.s.Path","The.King.and.the.Brambles","The.Lady.in.Black","The.Last.Watch","The.Lost.Maps","The.Lost.Undying","The.Misunderstood.Queen","The.Mysterious.Gift","The.Nest","The.Petrified","The.Plaguemaw.I","The.Plaguemaw.II","The.Plaguemaw.III","The.Plaguemaw.IV","The.Plaguemaw.V","The.Prison.Guard","The.Prison.Key","The.Queen.s.Vaults","The.Scout","The.Servant.s.Heart","The.Sharpened.Blade","The.Silverwood","The.Singular.Spirit","The.Sinner.s.Stone","The.Snuffed.Flame","The.Soulless.Beast","The.Stockkeeper","The.Sword.King.s.Passion","The.Trembling.Earth","The.Twins","The.Unbreathing.Queen.I","The.Unbreathing.Queen.II","The.Unbreathing.Queen.III","The.Unbreathing.Queen.IV","The.Unbreathing.Queen.V","The.Undead.Brutes","The.Undead.Storm","The.Vanguard","The.Walking.Mountain","The.Ward.s.Ward","The.Warmongers.I","The.Warmongers.II","The.Warmongers.III","The.Warmongers.IV","The.Watcher.s.Watcher","The.Wealthy.Exile","Touched.by.the.Wind","Trash.to.Treasure","Twice.Enchanted","Unbearable.Whispers.I","Unbearable.Whispers.II","Unbearable.Whispers.III","Unbearable.Whispers.IV","Unbearable.Whispers.V","Undead.Uprising","Unnatural.Energy","Vaal.Invasion","Vaal.Winds","Visions.of.the.Drowned","Vital.Transformation","Waiting.in.Ambush","Weeping.Death","Wind.and.Thunder","Winter.s.Mournful.Melodies","A.Dishonourable.Death","A.Rift.in.Time","A.Vision.of.Ice.and.Fire","Agony.at.Dusk","Black.Devotion","Blind.Faith","Blinding.Light","Burning.Dread","Cold.Blooded.Fury","Cold.Greed","Crimson.Hues","Dance.of.Steel","Dark.Instincts","Darktongue.s.Shriek","End.of.the.Light","Greed.s.Folly","Last.of.the.Wildmen","Song.of.the.Sekhema","Sun.s.Punishment","The.Dreaded.Rhoa","The.Fall.of.an.Empire","The.Great.Leader.of.the.North","The.Great.Mind.of.the.North","The.Malevolent.Witch","The.Nightmare.Awakens","The.Queen.s.Sacrifice","The.Storm.Spire","Trapped.in.the.Tower","Battle.Hardened","Faith.Exhumed","The.Bishop.s.Legacy","The.Mentor","Ancient.Rivalries.I","Ancient.Rivalries.II","Ancient.Rivalries.III","Ancient.Rivalries.IV","Brothers.in.Arms","Echoes.of.Lost.Love","Echoes.of.Mutation","Storm.on.the.Shore","The.Aesthete.s.Spirit","The.Blacksmith"
1,"2017-12-08","Abyss","Prophecy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","Prophecy",5,1,10.285,2.95313,1.92406,1,0,1,0,0,1.15,2,0,0,0,0,13.52625,18.79172,0,0,0,0,31.466,11.03034,2.0125,0,0,0,1,0,0,0,0,0,0,0,0,2,0,11,0,0,0,6.94094,0,723.61111,0.27444,6.39094,9.68063,4.79344,0,24.76656,0,2,14.84607,0,1,1,0.536,1.44444,0,1.79438,0,0,0,0,10,0,4.575,0,20.17857,10.21781,0.88105,0,5.45656,2,39.36594,0,0,2.04615,1,8.91857,0,4,3.20217,1.01469,0,0,0,1,8.80875,0,0,5,1,1.06857,0,0,0,0,0,0,0,0,5.51467,1,7.77031,1.36929,17.13594,0,0,0,0.8936,1.1,3.36933,9.305,9.759,0.345,0,0,0,0,0,7.24094,0,0,7.47538,3,0,3.6,8.1,0,0,17.405,5.5576,9.48531,3.72263,1,3.90469,1,4.49375,11.88696,1.03438,0,1,3.8576,0,0,0,19,0.24875,1.19094,7.18286,3,10.9684,0,6.98308,2,12.64462,1.22,0.72733,0,0,0,3,0,0,0,0,0,0,0,5,0.14833,0,0,0,0,0,1.244,1.188,0,0,1.99438,0,0,0,0,0,0,0,0,6.21375,5,7.9069,2.71063,0,0,2.68222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","Prophecy",3.62414,1,4.40259,3,1.25603,1.19448,0,0.53448,0.86509,1,1.00345,1.98621,0,0,0,0,13.24293,1.0731,1,0,0,0,15.75121,3.85862,2,18.4875,2.15786,1.06207,0.86362,0,0,0,0,0,0,0,0,1.1,0,9.32625,0.47444,4.33023,0,2.00103,0,531.2031,0.56983,7.06207,6.56397,3.34603,2,42.89421,1.18978,1.20845,2.25534,0,0.98155,1.02448,0.73879,0.87603,1,1,0,1,1,0,5.51379,0.7369,2.09414,0,11.25517,7.30707,0.93138,1.30086,3.09552,1.41517,2.47914,5.23754,0,1,1,1.71431,0,2.60362,1.50845,1.38431,1.12727,0,0,1,6.28621,0,0,1.59345,1,0.89241,1,0,0,0,1,2.02545,0,0,2.91724,1,2.26948,1.72897,16.46793,2.61576,3.63193,0,0.58621,1.07052,2.71948,2.88207,3.65517,0.58362,0,0,0,10.17319,1,1.59776,0,0,3.33017,2.56931,0.64509,1.44086,3.26828,0,1,24.0619,3.37569,10.36224,1.92138,1,2.50224,0.32963,2.10948,7.70466,0.99724,4.70214,1,1.54017,0,0,0,19.18605,0.60103,0.45655,5.96672,1.45069,5.65224,1,1.53414,2.00207,0.82414,1,0.32086,0.37773,0.94863,1.35267,1.23947,1,0,0,0,19.86364,1,1.08615,2.04828,0.59362,1.80172,2.67451,0,0,0,0.99121,1.60534,9.26875,0,2,1.76,0,0,0,14.26918,0,0,0,5.64224,0.81379,4.19931,1.56828,1.33172,84.51536,1.88655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","Prophecy",1.58569,0.94845,3.78086,3.83052,1.26724,0.87672,1,0.41017,0.97345,0.90086,1,1.50517,0,0,0,0,10.85431,0.90569,1.30793,0,0,0,8.91448,1.08862,1.98276,16.0169,1,0.99034,0.46276,1,0,0,5.14333,0,0,0,0,1,0,6.965,0.95862,2.22672,3,1.99897,0,546.47759,0.9681,9.84,6.64034,1.74724,1.71362,67.98391,0.96638,0.63845,1,0,1,1,0.88879,0.24207,1,0.98776,0.26,1,1,0,1.81379,0.74172,1,0,10.41207,10.16897,0.72655,1,1.80931,1,1.00483,1.30931,0,1,0.97103,1,0,1.21897,0.99983,1.05345,1.06724,7.19089,0.9448,0.97948,5.40379,2.66222,0.94938,1,0.83966,0.8819,1,0,0,0,0.50328,0.82586,0,0,2.97448,1,0.97845,1,16.01534,0.88845,1.68397,0,0.93759,1,2.88483,2.35052,0.99948,0.82259,0,0,0,8.86241,1,0.99172,0,0,1.91362,1.10845,0.41103,1,1.69155,0,0.53741,27.40017,2.765,15.21155,1,1,2.07276,0.63293,1.32483,4.03483,0.99931,3.84672,1,1,3,0,0,19.66667,0.69328,0.52879,5,1,3.21569,0.96362,1,1.13017,0.69931,0.99983,0.23707,0.37,0.49741,0.71328,1,0.99241,0,0,0,17.37232,0.99121,1,0.90362,0.8631,0.74017,0.84862,0,0,20,0.88379,1,7.75034,893.96552,2,0.93621,0,0,0,9.95828,0,0,0,6.60207,0.56259,3,1,1.06259,73.84069,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","Prophecy",0.99655,0.37241,3.87086,5.4219,1.39603,0.62448,0.94069,0.52328,0.98862,0.74552,0.93052,1,0.29075,0,0,0,10.23414,0.72966,1,1,0,0,3.14862,1,1.3069,13.95828,1,1,0.40603,1,0,0,1.61241,0,0,0,0,1,0,5.26948,0.76724,1.05621,2.86534,1.45914,0,644.14638,0.73931,11.52448,8.28845,1,1.2431,67.9831,0.94569,0.41345,1,1,0.98603,0.99966,1,0.26672,1,0.98293,0.26672,1,1,0,1,0.9769,1,0,6.16828,12.74983,0.44466,0.99828,1.47845,0.95172,1,1,0,1,0.64621,0.88293,0,1,0.8281,1.17431,1.02828,2.11379,0.75448,0.48,3.50086,1.80241,0.83569,1,0.82379,0.73879,1,0,0,0,0.26672,0.31862,0,0,2.50414,1.35379,0.84,0.93017,14.7131,1,1,0,0.96707,0.97586,2.86948,2.02638,0.97241,0.70241,0,0,0,12.9419,1,0.95207,0.2683,0,1.91759,1,0.58552,1,1.09483,11.83081,0.47052,28.50431,2.22017,17.27172,1,0.98379,1.99397,0.86276,1,3.75776,0.98362,2.46793,1,0.96397,0.91259,0,0,20,0.96655,0.7481,4.72138,1,2.27207,1,0.98586,0.61741,0.51845,0.94793,0.27293,0.37328,0.62828,0.79517,0.98914,1,0,0,0,20.18828,0.94569,1,0.70414,0.90293,0.3419,0.93586,1,0,17.75862,0.99603,1,1,572.19298,1.99862,0.90828,27.47059,0,0,9.53569,0,0,0,6.92362,0.825,2.78138,1,1,66.57466,0.99983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","Prophecy",0.91397,0.94672,3.3331,6.92448,1.47345,0.71707,0.81948,0.85379,0.91397,0.57603,0.92638,1,0.32897,0,0,0,9.79638,0.57172,1,1,0,0,2.43276,0.92845,1.95362,12.47724,1,1,0.40172,1,0,0,1,12,0,0,0,1,0,3.80931,0.80207,0.85207,2.86569,1.87845,0,583.55241,0.74724,12.32672,9.07724,1,0.94914,69.27345,0.95655,0.29897,1,1,0.77,0.8769,0.88603,0.28586,0.99931,0.96828,0.28586,1,1,0,1,0.34966,1,0,8.81017,14.2819,0.34931,0.97931,1.55017,0.99552,0.63086,1,0,1,1,0.63897,0,1,0.66017,1,1,1.17362,1,0.40534,2.7731,1,0.94621,1,0.79121,0.75862,0.63966,0,0,0,0.28586,0.39086,0,0,2,1.97621,0.87776,0.97638,12.39983,0.9569,0.99741,0,0.7869,0.87552,2.64672,2.55552,0.94776,0.28586,0.50383,0,0,13.75414,1,0.74724,0.35293,0,1.54362,1,0.86431,1,1,2.01017,0.34241,27.9081,2.61086,17.18603,0.99914,0.80517,1.69517,0.72569,1,2.35879,0.99776,1.96845,0.99,0.96345,13.06087,0,35,50,0.8581,0.7119,3.07431,1,2.36293,1,0.86897,0.57466,0.42379,0.93621,0.44483,0.29259,0.81448,0.28586,0.9219,1,1.154,0,6.51765,18.66759,0.91034,0.99966,0.80966,0.86017,0.55086,0.95086,1,0,15,0.86466,1,1,420,2.37431,1,5.86103,0,12,9.56552,0,0,0,7.89293,0.69983,1.8581,1,0.82259,72.56621,0.84517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","Prophecy",1,0.96842,3,8.06035,1.68456,0.64561,0.5286,0.77474,0.7007,0.93965,0.87351,0.95175,0.45193,0,0,0,9.62298,0.58807,1,1,0,0,2,0.88421,2,11.59474,1,1,0.80193,1,0,0,0.99912,2.27357,0,0,0,1,0,2.74596,0.65193,1,1.90088,1.20175,0,506.55947,0.99193,12.45719,9.32509,1,1,77.09632,1,0.34123,1,1,0.58316,0.93912,0.72807,0.29404,0.94526,0.99807,0.29404,1,1,0,1,0.46807,1,0,7.73193,16.05123,0.29404,1,1,1,0.62404,1,0,1,1,0.45842,0,1.14632,0.56333,1.00737,1.20439,1,1,0.57754,2.00579,1,0.98614,0.98965,0.86842,0.58368,0.61895,0,0,0,0.54211,0.52316,0,0,1.4793,1.92737,0.34912,0.74509,11.95895,0.96509,1,0,0.48491,0.9393,2.03596,2.93982,0.93035,0.62316,3.82789,0,0,12.52018,1,0.93982,0.29404,0,1.51789,1,0.7014,1,1,0.92632,0.86351,29.17772,2.63386,17.7214,1,0.96333,1.91316,0.98439,1,1.80947,0.99877,1.97193,0.93193,0.91491,11.03737,0,0,44.71122,0.44035,0.62421,3.78825,1,2.81,1,0.9786,0.69596,0.66912,0.76561,0.83842,0.30404,0.94491,0.29404,0.8986,0.65947,0.99877,2.5,0,13.82456,0.92193,0.99895,0.92456,0.86439,0.88175,1,1.35333,0,13.68421,0.83579,0.99088,1,0,2.99544,0.74965,3.91632,0,11.29825,9.30684,0,0,0,7.91737,0.48088,1,0.9986,0.93596,65.02912,0.42947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","Prophecy",0.97862,0.92724,3.00517,8.7369,1.76569,0.64603,0.86569,0.5631,0.66569,1,0.83086,0.61345,0.5369,0,0,8,8.94707,0.62397,0.84362,1,0,10,1.2169,0.5531,1.99138,10.14414,1,1,0.64466,1,0,0,0.99603,0.98103,0,0,0,1,0,2.13983,0.31724,1,1,1.35017,0,549.48897,0.96793,12.62638,9.01276,1,0.96345,81.21655,1,0.95828,0.99552,1,0.44259,0.98017,0.30845,0.30845,0.53328,0.9381,0.30845,0.97172,1,0,1,0.38017,1,0,7.08224,17.735,0.30845,1,1,1,0.79586,1,0,0.99983,1,0.47879,0,1,0.31828,1,1.65259,1,1,0.33379,2.87155,1,0.97897,0.75914,0.63672,0.64966,0.53983,5,0,0,0.80345,0.72552,0,0,1.36017,1.99741,0.30845,0.54293,11.84966,0.97862,0.99966,0,0.31103,0.95293,1.98914,2.79793,0.65603,0.34328,2.53448,0,0,12.05379,1,0.77741,0.30845,0,1.94207,1,0.68672,1,0.99621,0.97431,0.95638,27.58155,2.80983,14.65776,0.92879,0.9831,1.11431,0.9619,1,1.87103,0.98741,1.72966,0.63862,0.52483,2.78207,8,16.55778,32.57366,0.47448,0.5669,3.58707,0.94534,4.27466,1,0.99914,0.63983,0.61483,0.49793,0.91793,0.30466,0.60897,0.4569,0.95086,0.44534,0.94586,0,0,9.7469,0.97569,1,0.98759,0.63879,0.81707,1,2.96241,0,9.44138,0.81069,0.97931,0.99897,294.7,3.21017,0.5969,2.47379,0,9.18448,6.94138,0,0,0,8.94034,0.30845,1,0.97759,0.89793,63.92276,0.57241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","Prophecy",0.99298,0.8886,2.98175,9.47526,1.82754,0.60895,0.45807,0.54632,0.41368,0.7686,0.44456,0.54053,0.68263,0,0,8,7.90175,0.52895,0.38877,1,0,10,1,0.42632,2,8.86754,1,0.94596,0.88474,1,1,0,0.99982,1,0,0,0,0.96877,1,1.98842,0.44579,1,1,1.05737,0,586.65912,0.66316,12.51895,9.52158,1,0.59842,80.92614,0.99895,0.58895,0.92702,0.93368,0.81263,0.97561,0.32035,0.32035,0.46947,0.92825,0.32035,0.83719,1,0.32,0.97246,0.40965,1,0,6.41088,18.07789,0.31965,0.82526,0.94526,0.9414,0.68702,1,0,0.97807,0.99298,0.34088,0,1,0.46035,1,1.96228,1,0.93281,0.35053,2.88596,0.96667,0.98439,0.65105,0.44667,0.73088,0.35018,2.73684,0,0,0.83018,0.63877,0,0,1.94895,2,0.3807,0.32035,9.91246,0.47754,0.63684,0.05,0.32175,0.92509,1.98667,2.46123,0.49965,0.32035,1,10,0,10.16667,1,0.62702,0.32035,12,1.65088,0.94982,0.8086,1,0.98351,0.99439,0.97737,26.24404,2.15,12.04772,0.99316,0.78175,1.45439,0.69105,0.78825,1.27561,0.98316,1.55456,0.55263,0.46018,1.68211,8,15,33.48842,0.64561,0.42439,3.05947,0.95544,5.86368,1,0.95982,0.57228,0.46649,0.4707,0.54632,0.54018,0.33105,0.99018,0.97877,0.32982,0.99982,0,0,8.02421,0.99491,1,0.59105,0.37456,0.66509,0.89544,3,0,7.3,0.56947,0.92281,0.98895,559.98125,3.66368,0.32088,2,6.52273,6.89789,5.96123,2,0,0,9.18912,0.3207,1,0.99702,0.67491,62.71263,0.53684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","Prophecy",0.995,0.81414,2.89,9.69155,1.68621,0.63603,0.33483,0.57328,0.33069,0.82034,0.32741,0.43379,0.72034,0,0,8,7.30172,0.48603,0.75983,1,0,10,0.99793,0.37793,2,8.47552,0.96793,0.9619,0.44414,1,1,0,1,2.24138,0,0,2.88095,0.98569,0.46362,1.52534,0.32,1,1,1,0,591.19448,0.32862,12.95569,10.01638,0.9481,0.41276,81.65345,0.9569,0.36724,0.9881,0.65759,0.67172,0.76207,0.32,0.305,0.35897,0.80603,0.32,0.57845,0.9931,0.41931,0.98103,0.32,0.96621,0,6,17.73224,0.29431,0.66259,0.88483,0.84017,0.47017,1,0,0.99776,1,0.32328,0,1,0.32,1,1.96069,1,0.66293,0.32,2.86862,1,0.99828,0.32534,0.31862,0.53724,0.34293,3.2,0,0,0.74121,0.41845,0,0,1.90638,2,0.32241,0.32,8.86414,0.33931,0.49983,0.05,0.32069,0.66793,1.99466,1.95276,0.44,0.32,0.80448,9.25517,0,9.88948,1,0.455,0.32,0,1.00931,0.89931,0.97103,0.87862,0.95931,0.99569,0.99914,25.025,1.87966,11.8669,0.99828,0.74086,1,0.40034,0.82879,1.50103,0.98259,1.46328,0.32,0.34897,2.64224,1,14.12281,26.79017,0.5919,0.38983,2.96552,0.99034,4.81724,0.84724,0.97569,0.76017,0.31138,0.32655,0.5381,0.97172,0.32,0.46966,0.99793,0.41017,0.99828,0,0,8.48828,0.47931,0.91276,0.43828,0.32431,0.53431,0.81948,3,0,7.13448,0.43983,0.85293,0.9469,453.34776,4.20138,0.37672,1.35103,4.84586,6.86,6.22345,1.08621,0,0.4,9.78638,0.32,1,0.99276,0.73724,59.34879,0.53086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
