"Day","Date","League","Type","Potent.Alchemical.Resonator","Potent.Chaotic.Resonator","Powerful.Alchemical.Resonator","Powerful.Chaotic.Resonator","Prime.Alchemical.Resonator","Prime.Chaotic.Resonator","Primitive.Alchemical.Resonator","Primitive.Chaotic.Resonator"
1,"2018-12-07","Betrayal","Resonator",0,3,0,0,0,0,0.42,3
2,"2018-12-08","Betrayal","Resonator",1,1,1,1,31.91176,19.06526,0.76,1
3,"2018-12-09","Betrayal","Resonator",1,1,1,1,8,8,1,1
4,"2018-12-10","Betrayal","Resonator",1,1.5851,1,2,8,13.79429,0.88,1
5,"2018-12-11","Betrayal","Resonator",1,1.36122,1,2,11,12.0801,0.93,1
6,"2018-12-12","Betrayal","Resonator",1,1.50133,1,2,12.43459,13,0.76,1
7,"2018-12-13","Betrayal","Resonator",1,2,1,2,16.98531,18.82857,0.52,1
8,"2018-12-14","Betrayal","Resonator",1,2,1,2,19.00296,22.23551,0.5001,1
9,"2018-12-15","Betrayal","Resonator",1,1.94061,1,2,17.8251,18,0.5,1
10,"2018-12-16","Betrayal","Resonator",1,1.49296,1,1.46061,16,17.94061,0.5,1
11,"2018-12-17","Betrayal","Resonator",1,1,1,2,14,15,0.5,1
12,"2018-12-18","Betrayal","Resonator",1,1,1,1.5,14,15,0.5,1
13,"2018-12-19","Betrayal","Resonator",1,1,1,1.08673,14,15,0.5,1
14,"2018-12-20","Betrayal","Resonator",1,1,1,1,14,15,0.5,1
15,"2018-12-21","Betrayal","Resonator",1,1,0.6851,1,14.96531,15,0.5,1
16,"2018-12-22","Betrayal","Resonator",0.99,1,0.58,1,13,13.95592,0.5,1
17,"2018-12-23","Betrayal","Resonator",0.74612,1,0.5,1,13,14,0.5,1
18,"2018-12-24","Betrayal","Resonator",0.9651,1,0.49,1,14,15,0.48,1
19,"2018-12-25","Betrayal","Resonator",0.4901,1,0.4401,1,14,15,0.44,1
20,"2018-12-26","Betrayal","Resonator",0.4551,1,0.4251,1,13.75347,15.42347,0.42,1
21,"2018-12-27","Betrayal","Resonator",0.4,1,0.4,1,13,13,0.4001,0.93031
22,"2018-12-28","Betrayal","Resonator",0.36,1,0.36,1,12,13,0.37,0.93531
23,"2018-12-29","Betrayal","Resonator",0.37,1,0.37,1,13,14,0.37,0.9502
24,"2018-12-30","Betrayal","Resonator",0.37,1,0.37,1,12,13,0.37,0.6851
25,"2018-12-31","Betrayal","Resonator",0.37,1,0.37,1,12,13.20143,0.37,0.5
26,"2019-01-01","Betrayal","Resonator",0.37,1,0.37,1,13.55653,15,0.37,0.59061
27,"2019-01-02","Betrayal","Resonator",0.36,1,0.36,1,14,15,0.36,0.4201
28,"2019-01-03","Betrayal","Resonator",0.36,1,0.36,1,15,17,0.36,0.4951
29,"2019-01-04","Betrayal","Resonator",0.37,1,0.3751,1,16,17,0.38,0.4251
30,"2019-01-05","Betrayal","Resonator",0.42,1,0.41,1,15,16.7751,0.43,0.4751
31,"2019-01-06","Betrayal","Resonator",0.44,1,0.44,1,14,15,0.44,0.45
32,"2019-01-07","Betrayal","Resonator",0.45,1,0.45,1,14.33673,15,0.45,0.4951
33,"2019-01-08","Betrayal","Resonator",0.46,1,0.46,1,15,15,0.46,0.61551
34,"2019-01-09","Betrayal","Resonator",0.45,1,0.45,1,15,16,0.45,0.77
35,"2019-01-10","Betrayal","Resonator",0.45,1,0.45,1,15,16,0.45,0.6602
36,"2019-01-11","Betrayal","Resonator",0.45,1,0.44,1,16,17.1702,0.44,0.9201
37,"2019-01-12","Betrayal","Resonator",0.43,1,0.43,1,15,16,0.43,0.5302
38,"2019-01-13","Betrayal","Resonator",0.44,1,0.44,1,15.19898,17,0.44,0.5
39,"2019-01-14","Betrayal","Resonator",0.44,1,0.44,1,16,17.63061,0.4451,0.51531
40,"2019-01-15","Betrayal","Resonator",0.43,1,0.43,1,17,20,0.43,0.5
41,"2019-01-16","Betrayal","Resonator",0.43,1,0.43,1,17.34673,21,0.44,0.8502
42,"2019-01-17","Betrayal","Resonator",0.4251,1,0.4251,1,18,20,0.42,0.66551
43,"2019-01-18","Betrayal","Resonator",0.42,1,0.41,1,18.37214,21,0.41,0.8501
44,"2019-01-19","Betrayal","Resonator",0.41,1,0.4,1,17,19.95102,0.4,0.72551
45,"2019-01-20","Betrayal","Resonator",0.39,1,0.39,0.9901,16,17.54122,0.38,0.54122
46,"2019-01-21","Betrayal","Resonator",0.38031,1,0.38,1,17,18,0.38,1
47,"2019-01-22","Betrayal","Resonator",0.3651,1,0.35,1,18,19,0.35,0.92633
48,"2019-01-23","Betrayal","Resonator",0.3702,1,0.33,1,19,20,0.33,0.8402
49,"2019-01-24","Betrayal","Resonator",0.36061,1,0.32,1,23.00153,25,0.32,0.86
50,"2019-01-25","Betrayal","Resonator",0.3202,1,0.32,0.97031,24.12327,26,0.32,0.9101
51,"2019-01-26","Betrayal","Resonator",0.34,1,0.3351,1,20,25,0.33,0.84041
52,"2019-01-27","Betrayal","Resonator",0.3902,1,0.35,0.97031,20,21,0.35,0.9702
53,"2019-01-28","Betrayal","Resonator",0.44531,1,0.39,0.91,19,22,0.37,0.6802
54,"2019-01-29","Betrayal","Resonator",0.42031,1,0.4201,0.91,19,20,0.43,0.5
55,"2019-01-30","Betrayal","Resonator",0.4702,1,0.46,0.97531,20,20.47959,0.44,0.5051
56,"2019-01-31","Betrayal","Resonator",0.48,1,0.48,0.84571,19.3402,20,0.4751,0.5
57,"2019-02-01","Betrayal","Resonator",0.49,1,0.49,0.75551,20,21,0.49,0.5
58,"2019-02-02","Betrayal","Resonator",0.5,1,0.47,0.5,20,20,0.48,0.5001
59,"2019-02-03","Betrayal","Resonator",0.5,1,0.4951,0.5,19.5451,20,0.5,0.5
60,"2019-02-04","Betrayal","Resonator",0.5,1,0.4851,0.5,19.85531,20,0.4151,0.5
