"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
1,"2018-12-07","Betrayal","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49273,1,0.69605,0.74566,0.3959,1,1,1,1,1,0.295,0.99605,NA,NA,NA
2,"2018-12-08","Betrayal","Scarab",5,2.73429,4,5,5,2,4,2,3.75316,1,2,1,1,1.87583,2,3,2,1,2,1,1,1,1.43333,1,0.85663,0.25,0.4501,1,1,0.26,0.9098,0.52449,0.5001,0.24,0.75,0.24837,NA,NA,NA
3,"2018-12-09","Betrayal","Scarab",2,3,4,8,4,1,3,1,3,0.7,2.5102,1,1,2,2,5,2,1,2,1,2,0.32,2,1,1,1,0.64,2,1,0.32,1,0.44082,0.32,0.32,2,0.32,NA,NA,NA
4,"2018-12-10","Betrayal","Scarab",4,4,6,17,7,1,6,2,3,0.86,6,1,2,2,3,8,3.83204,1,4,1,2,0.43,4,0.43,1,1,1,3.25694,1,0.43,2,1,0.44,0.43,3,0.43,NA,NA,NA
5,"2018-12-11","Betrayal","Scarab",6,4.58051,7.2802,20,9,3,7,2,3,1,8,1,3.9901,3,4.40143,10,4,1,4,1.92061,2,0.46,6,0.91,2,1.89082,2,5,2,0.46,3,1,1,0.46,5,0.46,NA,NA,NA
6,"2018-12-12","Betrayal","Scarab",8,5,8,29,12,3,7,3,3.28204,1,13,1,5.27255,3,5,15.64102,6,1,5,1.37071,2,0.48,10,0.72061,3,1.8902,2,6.00041,3,0.48,3,1,0.9402,0.48,7.0051,0.48,NA,NA,NA
7,"2018-12-13","Betrayal","Scarab",12,7,7,32.37347,14,4,8,3.88551,4,1,13.23531,1,7,3,4.9851,16,8,1.92122,5.17837,2,2,0.52,10,0.53,4,2,2,7.08673,3,0.52,3.57653,1,1,0.52,8,0.52,NA,NA,NA
8,"2018-12-14","Betrayal","Scarab",12,6.05082,8.3802,32,20,4,9,4,4,1.21561,15.5902,2,7,3.8302,5,18,9.19367,1,6,2,1.06122,0.5301,12,0.75082,4,2,2,8.6601,3,0.55,3,1,1,0.54,8,0.54,NA,NA,NA
9,"2018-12-15","Betrayal","Scarab",13,6.65592,8,32.38041,15,3.43653,9,3,4,1,16,1.9451,7,4,5,16.21224,9,1,6,2,2,0.5151,12.4502,0.56,4.29653,2,2,8,4,0.56,3,1,1,0.56,9,0.43,NA,NA,NA
10,"2018-12-16","Betrayal","Scarab",13,7,9,32,19.04122,3,9,3.00224,4,1,19,2,7,4,5,16.94041,9,1,5,2,2,0.49,14.00041,0.58,4,2,2,7.09041,3,0.58,2.86031,1,1,0.4802,10,0.57,NA,NA,NA
11,"2018-12-17","Betrayal","Scarab",15,8.22122,10,38.28061,24,4,10,4,4,1.9602,23,2,10,4,5.05531,19.82367,11,1,6,2,2,0.59,17.4502,0.5951,5,2.78551,2,8,4,0.59,3.88531,1,1,0.59,13,0.58,NA,NA,NA
12,"2018-12-18","Betrayal","Scarab",12.06122,8,10,29.36735,20,4,9,4,4,2,21.27041,2,8,4,5,16,10,1,6,2,1.89,0.52,15.11735,0.6,4,2.8151,2,7,4,0.6,4,1,1,0.46,12,0.46,NA,NA,NA
13,"2018-12-19","Betrayal","Scarab",11.25408,8,9.71071,21.00571,18.00082,4,8,4,4,2,23.515,2,7.05418,4.9,5,13.29102,9.63082,1,5.54061,2,1.97,0.6,17,0.61,4,2.73082,2,6,4,0.61,3,1,1,0.49,12,0.5401,NA,NA,NA
14,"2018-12-20","Betrayal","Scarab",11.90694,8,9.60347,22,14.94571,4,8,4,4,1.9902,24.04082,2,7,4,5.74531,13,7.65041,1,6,2,1,0.49,17.15306,0.6,3.36061,2.98041,2,6,4,0.6,2.8651,1,1,0.48,13,0.59,NA,NA,NA
15,"2018-12-21","Betrayal","Scarab",13.42694,8.76837,10,25,15,5,9,4,4,2,24,2,7,4,5,13,7,1.41,5.08163,2,1.31673,0.5651,17,0.6,3.86531,3,2,5.77082,3.48551,0.6,2.88531,1,1,0.49,12,0.56,NA,NA,NA
16,"2018-12-22","Betrayal","Scarab",13,10,10,25,17.18041,4.9102,9,4,4.9702,2,25,2,7,4,5,13,7,1,5,2,1.90694,0.4851,18,0.57,3,2.05551,1.6851,5,3,0.5751,2,1,0.5751,0.49,12.05041,0.43,NA,NA,NA
17,"2018-12-23","Betrayal","Scarab",13.60122,11,10,25,18,5,9,4,4.08163,2,28,2,7,5,5,14,9,2,5,2,1.76612,0.48,19.16571,0.5351,3,3,2,5,3,0.52,2,1,0.56,0.48,14,0.48,NA,NA,NA
18,"2018-12-24","Betrayal","Scarab",15,14,10,26,21,5,9.96571,4.8351,5,2,28,2,8,7,5.2602,14,9.28531,2,5,2,1.40551,0.48,20,0.49,3,3,1.9102,6,3.38571,0.48,2.96531,1,0.8349,0.4502,15,0.4502,NA,NA,NA
19,"2018-12-25","Betrayal","Scarab",15,14,11,27,20,5,9.92082,4.9301,5.31112,2,27,2,7,7,5,14,10,2,5,2,2,0.44,20,0.44,3.07245,3,2,6,4,0.44,3,1,0.44,0.4201,15,0.42,NA,NA,NA
20,"2018-12-26","Betrayal","Scarab",15,12,12,25.00969,20,5.59133,9.07173,4.80143,6.95031,2,27,2,9,6,6,14,10,2,5,2,2,0.42,19.63173,0.42,4,3,2,6,4,0.42,3,1,0.42,0.42,14,0.41,NA,NA,NA
21,"2018-12-27","Betrayal","Scarab",15,12,12,25,20.73224,7,10,5,7,2,26,2,8.01531,6,6,14,10,2,5,2,2,0.39,19,0.39,3.89653,3,2,5.44755,4,0.39,3,1,0.39,0.39,14,0.39,NA,NA,NA
22,"2018-12-28","Betrayal","Scarab",15,11.11224,12,24,21.07143,6.89,8.66204,5,6.75633,2,25,2,8.94122,5,7,13.41061,10,2,5,1.8551,2,0.36,18,0.36,3.24,3,2,5,3.91,0.36,2.5651,1,0.36,0.36,13,0.36,NA,NA,NA
23,"2018-12-29","Betrayal","Scarab",15.00561,12,12.20031,21,20,6.67041,9.50173,5,6.5101,2,25,2,8.63051,6,6,13,10,2,4.8501,2,2,0.37,18,0.37,3,2.86143,2,5,3.7101,0.37,2,1,0.37,0.37,13.19214,0.37,NA,NA,NA
24,"2018-12-30","Betrayal","Scarab",15,13,13,22,20,7,9,5,6.89224,2,28,2,8,5.9551,6,12,10,2,4.47306,2,1.8,0.37,20,0.37,3.44551,3,2,6,4,0.37,2,1,0.37,0.37,13.74735,0.37,NA,NA,NA
25,"2018-12-31","Betrayal","Scarab",19.05163,15,15,24,23,8,10,6,7,2,30,3,10,7,6.4902,13,11,2,5,2,1,0.37,21,0.37,4,3,2,5.1,4,0.37,2,1,0.37,0.37,15,0.37,NA,NA,NA
26,"2019-01-01","Betrayal","Scarab",18,16,14,24,22,8,10,6.32959,7.24878,2,30.41551,3.38041,10,7,6.66612,13,10.1851,2.91184,5,2,1,0.36,22,0.36,3.77041,3.38939,2,5.9151,4,0.36,2,1,0.36,0.36,16.11551,0.36,NA,NA,NA
27,"2019-01-02","Betrayal","Scarab",16.44082,15,14,24,20,8,10,6,7.78153,2,30,4.88122,9.9602,7.28031,6.20786,13,10,2,5,2,1,0.36,21.5901,0.36,4,4,2,5.00112,4,0.36,2,0.8001,0.36,0.36,15.39184,0.36,NA,NA,NA
28,"2019-01-03","Betrayal","Scarab",18,16.74061,15,25,23,8,10,6,8,3,31.04082,4,10,9,7,14,10,2,5,2,1.65204,0.36,23,0.36,4,4,2,6,4,0.36,3,1,0.36,0.36,16,0.36,NA,NA,NA
29,"2019-01-04","Betrayal","Scarab",18.57388,17,14.26367,25,23.45735,8,9.62,6,8,3,32,5,10,8.91633,7,14,10.5102,2,5,2,1,0.37,23.0051,0.37,4,4,2.69633,6,4,0.37,2,1,0.37,0.37,16.07653,0.37,NA,NA,NA
30,"2019-01-05","Betrayal","Scarab",18,17,15,25,24,8.43041,9,6,8,3,32,4.4151,10,8.19816,7.74571,13,10,2,5,2,2,0.41,23,0.41,5,4,2.65082,5.79837,4,0.41,3,1,0.41,0.41,16.43082,0.41,NA,NA,NA
31,"2019-01-06","Betrayal","Scarab",17,17,15,25,23,9,8.6,5.49184,8,3,32,4,9,9.17061,7.88122,12,10.68122,2.9901,6,2.02061,2,0.44,23,0.44,4.7501,4.10429,3,6,4,0.44,3,1,0.44,0.44,17,0.44,NA,NA,NA
32,"2019-01-07","Betrayal","Scarab",18,18,15,25,23.06214,9.94061,8.9802,6,8,3,31.76061,4,10,9,9.19051,12.06245,10,2.85031,6,3,2,0.45,23,0.45,5,5,2.88102,6,4.43245,0.45,3,1,0.45,0.43,17,0.45,NA,NA,NA
33,"2019-01-08","Betrayal","Scarab",17,17,16,24,23.77571,8,9.2,6,8,3,30,3.97061,9.05551,9.06633,8.80571,12,10,3,6,3,2,0.46,22,0.46,5,5,3,6,4.41,0.46,3,1,0.46,0.43,16.0051,0.43,NA,NA,NA
34,"2019-01-09","Betrayal","Scarab",18,24.17653,17.3951,24,25,9,9,6,8,3,30,4,9.04082,13.1102,9,12,10,3,6,2.99,2,0.45,21,0.45,4.6751,5.08163,3,6,5,0.45,3.73102,1,0.45,0.43,15,0.43,NA,NA,NA
35,"2019-01-10","Betrayal","Scarab",18.58398,21,17,24,25,10,9,5.29031,8,3,30,4,9.00173,14,9.3601,12.0002,12,3,6,3,2,0.45,20.92082,0.45,4,7,2.08082,5,5,0.45,3,1,0.45,0.44,16,0.43,NA,NA,NA
36,"2019-01-11","Betrayal","Scarab",18.84061,20,17,23,25,10,8.6,5.13255,8,3,30,4,10,11,8.93071,12,13,3,6,3,2,0.44,22,0.44,5,5.83041,2.64051,5,5,0.44,3.55112,1,0.44,0.43,16.30133,0.43,NA,NA,NA
37,"2019-01-12","Betrayal","Scarab",17,15,16,20,24.42286,10,9,5.7102,8,3,29,4,10,9,9.01531,12,11,2.98531,5,3,1,0.43,21,0.43,4.52041,4,3,5,5,0.43,3,1,0.43,0.42,15.32531,0.43,NA,NA,NA
38,"2019-01-13","Betrayal","Scarab",17.15816,15,18,20,24,10,10.4,6,8,3.05102,30,4,10,8,8.61531,12,12,3,6,3,1,0.4351,22.57204,0.44,4.5002,4,2,5,5,0.43,3,1,0.44,0.43,17,0.43,NA,NA,NA
39,"2019-01-14","Betrayal","Scarab",17,13,19,20,24,10,12.8002,6.02551,8,4,38.06122,4,10,8,10,12,10,2.15,6,3,1.71592,0.43,26.55571,0.43,4,4,3,5,5,0.43,3.01,1,0.43,0.43,18.91143,0.43,NA,NA,NA
40,"2019-01-15","Betrayal","Scarab",16,12,19,20,22.70347,10,11,6,8,3.97551,38,4,8,7,9.36571,11,10,3,6,3,1.21633,0.43,25.34571,0.43,4,4,3,5,4,0.43,3,1,0.43,0.43,18.08673,0.43,NA,NA,NA
41,"2019-01-16","Betrayal","Scarab",16.54551,12,18,20,21,10,10,6,8,3,36.6351,4,8,6,9,10,10,3,5.57551,2.6302,1,0.43,26,0.43,4,3.86531,3,5,5,0.43,3,1.70653,0.43,0.43,19,0.43,NA,NA,NA
42,"2019-01-17","Betrayal","Scarab",17,13,19.08163,20,22.39102,10,11,6,8,3.98041,37,4,8,6,10,10,10,3,5.69571,3,1,0.43,25.48041,0.42,4,3.96571,3,4,5,0.42,3,1,0.43,0.42,19,0.42,NA,NA,NA
43,"2019-01-18","Betrayal","Scarab",16,13,19.16837,19,22,10,11,6,7.96082,3.94122,36.36755,4,7.63551,6,10,10,10,3,5,2.26735,1,0.41,26,0.41,3,3,3,4,4.49633,0.42,2,1,0.4151,0.42,18,0.41,NA,NA,NA
44,"2019-01-19","Betrayal","Scarab",14,13,20,18,21,10,10.42857,6,7,3,35,4,8,6,10,10,10,2.1002,5,2.7951,1,0.41,25,0.4,3,4,3,4,4,0.4,2,1,0.4,0.4,18,0.4,NA,NA,NA
45,"2019-01-20","Betrayal","Scarab",14,13,18,16,21,9,9,5,7.22133,3,30.00224,4,6,6,9.0001,9,9.81071,2.95051,5,2,1,0.39,23,0.39,3,4,3,4,4,0.39,3,1,0.39,0.39,16.46092,0.39,NA,NA,NA
46,"2019-01-21","Betrayal","Scarab",14,11.67031,16.15327,15,20,8.14408,9,5,7,3,30,4,5,6,9,8,9,2,5,2,1,0.37,20,0.7,3,3.7201,3,3,3,0.37,3,1,0.37,0.37,15,0.37,NA,NA,NA
47,"2019-01-22","Betrayal","Scarab",14,13,17,15,23.57571,8.81878,9,5,7,3,29,4,5,5,9,8,9,2.35673,4,2,1,0.35,20,0.7751,2,3.53796,3,3,3,0.33,3,1,0.33,0.33,14.95592,0.33,NA,NA,NA
48,"2019-01-23","Betrayal","Scarab",14,13.9302,19,15,28,9,9.04592,5,6.02041,3,28.56571,4,5,5,9.03061,8,12,2,5,1.38,1,0.32,19.39592,0.83612,2.8002,3,3,3,4,0.32,2,1,0.32,0.32,14,0.32,NA,NA,NA
49,"2019-01-24","Betrayal","Scarab",13.00245,15,20,15,28,8.00398,10,5,7,3,28,3.69061,5,5.91092,10,8,12.6502,2,5,1.35,1,0.32,19.39071,0.64,2,3,3,3.82092,4.6302,0.32,2.78,1,0.32,0.32,14,0.32,NA,NA,NA
