"Day","Date","League","Type","Agony.Collar","Agony.Heart","Agony.Medallion","Andvarius","Angler.s.Plait","Araku.Tiki","Ascent.From.Flesh","Astramentis","Atziri.s.Foible","Auxium","Bated.Breath","Behemoth.Torc","Belt.of.the.Deceiver","Berek.s.Grip","Berek.s.Pass","Berek.s.Respite","Bisco.s.Collar","Bisco.s.Leash","Blackheart","Blood.of.Corruption","Bloodboil","Bloodgrip","Brinerot.Mark","Call.of.the.Brotherhood","Carnage.Heart","Chimeric.Scarab","Choir.of.the.Storm","Cyclopean.Coil","Daresso.s.Salute","Darkness.Enthroned","Death.Rush","Demigod.s.Eye","Demon.Beads","Dire.Collar","Dire.Scarab","Doedre.s.Damning","Doryani.s.Invitation","Dream.Fragments","Dyadian.Dawn","Eagle.Braid","Emberwake","Essence.Worm","Extractor.Mentis","Eye.of.Chayula","Eye.of.Innocence","Eyes.of.the.Greatwolf","Faminebind","Feastbind","Gifts.from.Above","Gloomfang","Headhunter","Heartbound.Loop","Hinekora.s.Sight","Horror.Clasp","Hypnotic.Choker","Hypnotic.Noose","Immortal.Flesh","Impresence","Kaom.s.Sign","Kaom.s.Way","Karui.Charge","Karui.Ward","Kikazaru","Le.Heup.of.All","Lori.s.Lantern","Malachai.s.Artifice","Maligaro.s.Cruelty","Maligaro.s.Restraint","Marylene.s.Fallacy","Meginord.s.Girdle","Ming.s.Heart","Mokou.s.Embrace","Mutewind.Seal","Nemesis.Strap","Ngamahu.s.Sign","Ngamahu.Tiki","Night.s.Hold","Perandus.Blazon","Perandus.Signet","Perseverance","Plague.Noose","Praxis","Presence.of.Chayula","Prismweave","Pyre","Rashkaldor.s.Patience","Redblade.Band","Rigwald.s.Crest","Rigwald.s.Curse","Romira.s.Banquet","Ryslatha.s.Coil","Shaper.s.Seed","Shavronne.s.Revelation","Sibyl.s.Lament","Sidhebreath","Snakepit","Soul.Tether","Soulthirst","Star.of.Wraeclast","Stone.of.Lazhwar","Sunblast","Talisman.of.the.Victor","Tasalio.s.Sign","Tear.of.Purity","Tempest.Torc","The.Anvil","The.Ascetic","The.Aylardex","The.Halcyon","The.Hungry.Loop","The.Ignomon","The.Magnate","The.Pandemonius","The.Pariah","The.Retch","The.Taming","The.Warden.s.Brand","Thief.s.Torment","Timeclasp","Umbilicus.Immortalis","Ungil.s.Harmony","Valako.s.Sign","Valyrium","Ventor.s.Gamble","Victario.s.Acuity","Voice.of.the.Storm","Voideye","Voidheart","Voll.s.Devotion","Warped.Timepiece","Winterheart","Woe.Clasp","Wrath.Locket","Wurm.s.Molt","Xoph.s.Blood","Xoph.s.Heart","Yoke.of.Suffering","Blightwell","First.Piece.of.Time","Gluttony","Mark.of.the.Elder","Mark.of.the.Shaper","Natural.Hierarchy","Second.Piece.of.Time","Stormfire","The.Effigon","The.Flow.Untethered","The.Nomad","The.Tactician","Timetwist","Winterweave","Ahkeli.s.Meadow","Ahkeli.s.Mountain","Ahkeli.s.Valley","Aul.s.Uprising","Coward.s.Chains","Coward.s.Legacy","Demigod.s.Bounty","Hyperboreus","Mark.of.Submission","Perquil.s.Toe","Precursor.s.Emblem","Putembo.s.Meadow","Putembo.s.Mountain","Putembo.s.Valley","Sacrificial.Heart","Solstice.Vigil","String.of.Servitude","The.Primordial.Chain","Uzaza.s.Meadow","Uzaza.s.Mountain","Uzaza.s.Valley","Vivinsect","Zerphi.s.Heart","Badge.of.the.Brotherhood","Circle.of.Anguish","Circle.of.Fear","Circle.of.Guilt","Circle.of.Nostalgia","Circle.of.Regret","Hyrri.s.Truth","Icefang.Orbit","Siegebreaker","Tavukai","The.Jinxed.Juju","Venopuncture","Hallowed.Ground","Astral.Projector","Fury.Valve","Leash.of.Oblation","Mother.s.Embrace","Warrior.s.Legacy","Willowgift"
1,"2017-12-08","Abyss","UniqueAccessory",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17143,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,250.52625,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","UniqueAccessory",0,0,0,3.78129,0,0.54155,45,15.49419,1.33032,5.33059,0.43426,0,2.0726,58.71667,21.47323,0,126.64226,1.48871,0.54155,29.3171,0.21794,12.40774,3.21808,13.20806,12.93581,0,0,0,0,14.45581,0,0,0,0,0,1.13414,6.87677,2.98172,1,0,0.88645,18.26677,0.14226,1,0,0,81.31696,150.3671,0,0,0,0.14226,32.23933,0,0,0,0.40161,0,0.54155,10.34387,8.34333,0.96862,2.46742,3.53194,0.24,0.51655,0.80171,0.23742,0.85548,2.32354,2.32839,0.38163,1.03226,0,0,12.55806,0,0.30886,25.552,20.18871,0,0.60512,0,1.70308,1.00069,0.52742,2.8871,0,0,0.96935,1.89129,0.9871,150,0.14226,0.54155,0,0.957,0.73129,0,0.60069,0.14226,0,0,0.54155,0,0.94645,19.08174,0.6471,66.69333,23.70129,0.54569,0.89929,0,11.8988,274.0625,0,1.2675,5.5529,0.26139,0,0.42196,0,0.44613,3.86839,0,62.20821,12,22.85,120,1.0029,3.53032,0,0,0.54155,0,179.29419,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","UniqueAccessory",0,0,0,1.15,0,0.17879,20.00155,15.65103,1.02776,4.23793,0.17879,0,0.99224,64.78529,6.40414,59.31429,218.56017,1.02155,0.17879,19.91241,0.17862,6.68759,2.56879,16.8181,22.0869,0,0,33.04833,147.0666,11.635,0,0,0,0,0,0.99707,2.01707,0.99741,0.80466,0,0.99086,23.90069,0.17879,1,0,0,59.95362,126.47052,42.4019,38.12298,0,0.17879,76.2185,0,0,0,0.17879,760,0.17879,12.64603,7.11052,0.91138,2.35379,3.57966,0.17879,0.15569,0.17879,0.17879,0.69552,0.9981,0.99759,0.17879,0.98345,0,6.9,7.43828,0,0.17948,20.37086,11.92052,0,0.22155,0,0.25017,0.78483,0.28759,1.23379,11.80926,56.10625,0.86759,1.01379,0.96121,150,0.17879,0.17879,161.1325,0.17879,0.17879,0,0.29224,0.17879,0,37.31167,0.17879,0,0.88862,17.32431,0.61621,66.25638,8.67483,0.17879,0.17879,0,16.8169,282.52879,193.39286,0.51828,4.8169,0.17879,0,0.17879,0,0.17983,1.65914,0,51.87086,37.68143,12.65879,145.08845,0.99672,2.53759,0,0,0.17862,305,226.89586,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","UniqueAccessory",0,0,0,1,0,0.235,11.77103,17.16948,0.99655,1.36086,0.235,0,0.93293,72.11818,4.9469,88.27617,320.08345,1,0.235,7.54879,0.22845,1.98638,1.90034,12.95741,25.35776,0,272.99455,2.435,231.36793,21.95345,228.9,0,0,0,0,1,1.09276,0.93862,0.45362,0,0.47793,20.67879,0.235,0.99914,231.00806,0,67.06966,123.69759,98.14297,5.64466,4020.541,0.235,126.63052,0,0,0,0.235,491.04828,0.235,17.71207,5.24897,0.77983,1.64655,3.34034,0.235,0.17483,0.235,0.235,0.23862,0.9831,0.9931,0.235,0.92655,0,22.20185,7.72552,0,0.235,7.09,6.87086,0,0.24224,300,0.235,0.36397,0.235,1,6.80655,39.78328,0.67914,1,0.73948,150.16276,0.235,0.235,100.41132,0.235,0.235,0,0.69655,0.23328,0,95.76839,0.235,0,0.46931,18.44586,0.66345,61.91138,6.14207,0.23466,0.235,0,16.71155,246.795,167.92948,0.32707,4.01431,0.235,17.05882,0.235,0,0.235,2.52759,0,55.08052,20.90103,7.32224,156.59517,0.99724,1.88793,0,0,0.235,446.66176,186.16448,251.83654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","UniqueAccessory",0,0,0,1,0,0.26586,6.56,16.77931,0.99259,1,0.26638,0,0.82897,66.21,3.97466,37.27741,389.59276,0.99534,0.26655,4.63621,0.25983,0.99931,1.5619,9.29052,25.07293,0,277.3208,1,195.94103,16.10603,237.15638,0,0,0,0,0.99259,1,0.95966,0.26655,0,0.26966,17.60466,0.26655,0.99328,114.81517,0,56.25466,113.12621,70.1131,1.93224,0,0.26655,103.2219,0,0,0,0.26655,292.35155,0.26655,20.5269,6.06034,0.91224,1,3.77241,0.26655,0.18638,0.26655,0.26655,0.26655,0.97793,0.91793,0.26655,0.65241,0,13.60155,7.15534,0,0.26655,5.20103,3.58241,0,0.26655,517.2119,0.26655,0.27138,0.26655,1,8.06759,36.30293,0.33741,1,0.31707,151.01444,0.26655,0.26655,44.79638,0.26655,0.26655,92,0.71862,0.2531,0,180.99948,0.26655,0,0.35448,14.37966,0.37621,75.68603,6.59328,0.26655,0.26655,268.67333,14.7281,219.15879,139.77345,0.2781,3.85586,0.26655,16.03276,0.26655,150,0.26655,2.32276,0,53.8919,13.92362,6.32103,177.35207,0.86172,1.77983,0,0,0.26655,422.94103,271.21517,3141.08717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","UniqueAccessory",0,0,0,1,0,0.28552,3.91276,14.74931,0.98897,1,0.28552,0,0.90931,63.89793,3.46862,28.16379,415.5519,0.9919,0.28552,4.08276,0.23448,1,1,6.79672,23.52328,0,183.19868,1,185.3681,13.32052,85.89397,0,0,0,0,1,1,0.9069,0.28552,0,0.28552,14.10293,0.28552,0.9881,80.35517,0,39.73414,121.03724,67.91155,1,0,0.28552,108.52828,0,0,0,0.28552,78.92897,0.28466,24.36586,7.64138,0.90707,1,3.91983,0.28552,0.24414,0.28552,0.28552,0.28552,0.98914,0.76431,0.28552,0.775,0,5.68966,6.89914,0,0.28552,6.8569,2.10741,0,0.28552,476.29948,0.28552,0.28552,0.28552,0.99241,9.31586,41.44155,0.28552,0.99966,0.30603,337.144,0.28552,0.28552,24.35931,0.28414,0.28552,41.87103,0.60621,0.27552,0,95.08224,0.28552,0,0.29293,8.87155,0.28862,101.04328,6.61414,0.28483,0.28552,248.56614,13.99293,174.54966,119.42103,0.28759,3.96862,0.28552,12.81,0.28431,143.09121,0.28552,3.66293,0,38.755,18.55914,4.71517,185.03362,0.46759,1.58155,0,0,0.28552,441.96431,324.86241,134.18103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","UniqueAccessory",0,0,0,1,0,0.29345,2.90207,14.13724,0.97379,1,0.28638,0,0.525,70.88466,2.99638,26.79569,461.00034,0.995,0.29397,3.56828,0.27017,0.99569,1,5.55672,21.67966,0,163.43172,0.9869,173.77431,15.15517,41.71155,0,0,0,0,0.99828,0.99793,0.83207,0.29397,0,0.29397,12.12776,0.29345,0.94207,62.06603,0,45.51293,91.14172,62.02466,0.99914,4494.243,0.29259,62.20448,0,0,0,0.29397,51.98328,0.28983,21.83914,6.65655,0.86586,0.99586,3.66276,0.29397,0.26966,0.29397,0.29397,0.29397,0.96103,0.72517,0.29397,0.69983,0,3.96414,7.09431,0,0.29397,6.92621,1.68828,0,0.29397,406.84276,0.29397,0.29414,0.29397,0.94897,8.77103,40.02034,0.29397,0.99724,0.29655,216.46034,0.29397,0.29397,14.65552,0.29397,0.29397,35.47448,0.67569,0.28207,0,78.80966,0.29397,0,0.29638,7.11914,0.29397,102.03276,5.8731,0.29397,0.29293,230.41052,11.09224,171.09914,116.78328,0.29397,4.15,0.29397,12.74,0.29138,154.6881,0.29397,3.60345,1684.31333,38.11862,20.38845,4.07052,177.82034,0.52793,1.26052,0,0,0.29397,440.72724,371.99828,84.01086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","UniqueAccessory",0,0,0,1,0,0.30825,2.11053,13.69877,0.98561,1,0.29895,0,0.48246,73.13825,3.13912,27.72579,503.69175,0.99947,0.30825,3.24421,0.27737,0.99737,1,4.56351,20.16351,0,153.71193,0.9714,210.74719,5.85754,39.80842,0,0,0,0,0.99632,1,0.99965,0.30825,0,0.30825,9.8207,0.30772,0.95105,59.61105,0,54.81105,77.28825,51.03825,0.99877,5280.8888,0.30825,52.13281,0,0,0,0.30825,39.97211,0.30614,20.23702,6.8307,0.94105,0.99351,3.44,0.30825,0.28263,0.30825,0.30825,0.30825,0.89947,0.65228,0.30825,0.71719,0,3.62211,6.98807,0,0.30825,5.82807,1.15877,0,0.30825,418.89649,0.30825,0.30825,0.30825,0.88596,5.85842,38.96123,0.30825,1,0.30825,150.33561,0.30614,0.30825,11.88298,0.30807,0.30825,45.15053,0.58421,0.30807,0,59.49368,0.30825,0,0.32877,5.70281,0.30825,98.80474,5.97035,0.30789,0.30667,218.77596,14.81404,164.84018,119.04351,0.30772,4.23018,0.30772,13.22105,0.30439,111.84228,0.30825,4.46947,228.44333,52.88123,16.28719,4.78632,162.94632,0.47965,1.37684,0,0,0.30807,433.00807,379.72842,47.53684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","UniqueAccessory",0,0,0,1,0,0.31603,2.11397,13.28155,0.99345,1,0.32034,0,0.39414,63.21121,3.53224,25.6281,525.90379,0.99448,0.32034,3,0.27466,0.99879,0.99828,4.21724,20.16103,0,156.86655,0.78741,181.33931,2.77552,52.28672,0,0,0,0,0.99517,1,0.99172,0.32034,0,0.32034,9.0781,0.31845,0.97914,51.2169,0,54.14655,84.87707,47.06224,0.93293,5232.76552,0.32034,65.13155,0,0,0,0.31879,26.41293,0.31948,16.3231,6.51552,0.86293,0.99776,3.66862,0.32034,0.27621,0.32121,0.32034,0.32034,0.96069,0.44052,0.32034,0.61534,0,3.70983,5.43569,0,0.32034,5.85483,1,0,0.32034,438.61914,0.32034,0.32034,0.32034,0.93931,6.97017,35.76914,0.32034,1,0.36103,148.66655,0.32034,0.32034,7.27672,0.32034,0.32034,48.09034,0.63241,0.29241,0,37.49914,0.32034,0,0.32328,6.04897,0.31707,108.67241,4.98534,0.31966,0.32034,185.76931,14.1769,161.84086,107.67672,0.32017,4.61862,0.32017,16,0.30845,87.06759,0.31948,4.17569,135.80276,71.41845,14.76741,5.04034,176.73345,0.41741,1,0,0,0.32034,436.73483,404.29828,20.79466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","UniqueAccessory",0,0,0,1,0,0.31491,2.29579,11.55667,0.98649,1,0.31737,0,0.32316,64.5593,3.18,27.07719,551.45263,0.99421,0.32,3.24877,0.29386,0.9707,1,3.91719,16.70158,0,156.74596,0.54404,181.63895,2.24,39.32018,0,0,0,0,0.9907,0.99912,0.96684,0.32,0,0.32,7.85754,0.30632,0.99596,45.3393,0,59.43368,96.04474,44.72211,0.91105,4918.00947,0.31474,65.11526,0,0,0,0.31509,19.34947,0.31877,15.92053,6.37474,0.80509,0.98158,3.54544,0.31982,0.30596,0.32,0.31947,0.32,0.91035,0.39772,0.32,0.32,0,2.96211,5.94895,0,0.31842,7.01439,1,0,0.32,436.47526,0.31982,0.32,0.32,0.9793,9.31807,37.49632,0.32,1,0.35368,155.18246,0.31947,0.31947,4.90368,0.32,0.32,50.06386,0.60211,0.29614,0,31.02298,0.31895,0,0.32,7.3393,0.32,107.96439,5.03123,0.31982,0.32,172.95298,10.96158,187.35035,106.65947,0.32,4.32211,0.30667,36.20968,0.28035,63.34298,0.32,4.07842,120.21965,76.07579,13.73439,5.08649,161.43246,0.52246,1,0,0,0.3193,517.98053,478.45088,16.26719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
