"Day","Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coralito.s.Signature","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Sin.s.Rebirth","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Wise.Oak","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Cinderswallow.Urn","Soul.Catcher","Soul.Ripper","Bottled.Faith"
1,"2017-12-08","Abyss","UniqueFlask",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","UniqueFlask",4.66194,42.91667,0.30323,30,1,0.55983,0,0.14903,1.0271,70.8,11.73774,0.14452,9,33.83394,98.51065,0.23156,0.14226,5.71793,2.60355,108.70387,8.90935,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","UniqueFlask",4.08138,33.28379,0.17879,23.38357,0.98362,0.17879,600,0.17879,1,58.12286,18.37966,0.17879,6.09414,54.57069,94.96328,0.17879,0.17879,4.86569,1.85621,66.45707,12.63914,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","UniqueFlask",2.86466,42.63138,0.235,22.25293,0.99552,0.23328,494.614,0.235,1,88.66909,21.3169,0.235,5.55293,70.00534,123.51534,0.235,0.235,6.62086,1.38034,65.70879,11.10052,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","UniqueFlask",2.37552,61.65638,0.26655,20.72707,0.9331,0.26621,341.19483,0.26655,1,100.85731,24.56983,0.26655,4.9881,88.41931,132.22328,0.26655,0.26655,9.49966,1,74.49293,9.11776,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","UniqueFlask",1.985,48.86431,0.28552,18.91931,0.76466,0.28552,257.41776,0.28517,1,139.15379,24.53862,0.28552,4.58983,80.59362,147.63241,0.28552,0.28552,9.59017,1,86.0469,7.82034,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","UniqueFlask",1.82466,42.17879,0.29397,16.8519,0.87172,0.29259,257.24259,0.29379,1,126.74,24.63793,0.29397,3.93345,72.23655,145.24259,0.29397,0.29397,9.61448,1,86.35534,5.74741,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","UniqueFlask",1.35741,44.64224,0.30845,14.06345,0.89897,0.30052,245.55603,0.30845,0.99983,115.26638,22.54621,0.30672,3.19793,78.36793,145.47845,0.30879,0.30845,9.96741,0.99931,79.81172,4.51793,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","UniqueFlask",1.11263,50.42351,0.32035,11.14105,0.89316,0.31228,269.63877,0.31719,1,112.15509,22.53912,0.32035,3.94,73.38491,147.13298,0.32035,0.32035,10.25754,0.99614,79.10263,3.98789,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","UniqueFlask",1,52.42193,0.32,9.35684,0.89526,0.31807,255.32175,0.3186,0.99579,108.36018,21.63263,0.32,3.48281,75.71211,148.4793,0.32,0.31982,10.59263,0.97772,85.02754,3.61825,NA,NA,NA,NA,NA
