"Day","Date","League","Type","Anatomical.Knowledge","Ancient.Waystones","Apparitions","Assassin.s.Haste","Atziri.s.Reign","Blood.Sacrifice","Brawn","Brittle.Barrier","Brute.Force.Solution","Careful.Planning","Cheap.Construction","Chill.of.Corruption","Clear.Mind","Coated.Shrapnel","Cold.Steel","Collateral.Damage","Combustibles","Conqueror.s.Efficiency","Conqueror.s.Longevity","Conqueror.s.Potency","Corrupted.Energy","Dead.Reckoning","Efficient.Training","Eldritch.Knowledge","Emperor.s.Cunning","Emperor.s.Mastery","Emperor.s.Might","Emperor.s.Wit","Energised.Armour","Energy.From.Within","Fertile.Mind","Fevered.Mind","Fight.for.Survival","Fireborn","First.Snow","Fluid.Motion","Fortified.Legion","Fragile.Bloom","Fragility","From.Dust","Frozen.Trail","Grand.Spectrum","Growing.Agony","Hair.Trigger","Hazardous.Research","Healthy.Mind","Hidden.Potential","Hotfooted","Hungry.Abyss","Inertia","Inevitability","Inspired.Learning","Intuitive.Leap","Izaro.s.Turmoil","Lioneye.s.Fall","Malicious.Intent","Mantra.of.Flames","Martial.Artistry","Might.and.Influence","Might.in.All.Forms","Mutated.Growth","Omen.on.the.Winds","Overwhelming.Odds","Pacifism","Pitch.Darkness","Poacher.s.Aim","Powerlessness","Primordial.Eminence","Primordial.Harmony","Primordial.Might","Pugilist","Pure.Talent","Rain.of.Splinters","Rapid.Expansion","Reckless.Defence","Ring.of.Blades","Rolling.Flames","Sacrificial.Harvest","Self.Flagellation","Shattered.Chains","Soul.s.Wick","Spire.of.Stone","Spirit.Guards","Spirited.Response","Spreading.Rot","Static.Electricity","Steel.Spirit","Sudden.Ignition","Survival.Instincts","Survival.Secrets","Survival.Skills","The.Anima.Stone","The.Blue.Dream","The.Blue.Nightmare","The.Golden.Rule","The.Green.Dream","The.Green.Nightmare","The.Long.Winter","The.Red.Dream","The.Red.Nightmare","The.Vigil","To.Dust","Unending.Hunger","Unstable.Payload","Vaal.Sentencing","Violent.Dead","Volley.Fire","Warlord.s.Reach","Watcher.s.Eye","Weight.of.Sin","Weight.of.the.Empire","Wildfire","Winter.s.Bounty","Winter.Burial","Might.of.the.Meek","Combat.Focus","Tempered.Flesh","Tempered.Mind","Tempered.Spirit","Transcendent.Flesh","Transcendent.Mind","Transcendent.Spirit","Unnatural.Instinct","Brutal.Restraint","Divide.and.Conquer","Elegant.Hubris","Fortress.Covenant","Glorious.Vanity","Lethal.Pride","Militant.Faith","Quickening.Covenant","Army.of.Bones","Thread.of.Hope"
1,"2017-12-08","Abyss","UniqueJewel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","UniqueJewel",2.67581,50.5,0.14226,0.14194,2.53226,0.8029,0.42386,0.14226,1.70833,2.22462,0.21794,34.08903,4.05244,0.21794,0.98839,0.38585,0.9429,0.14677,0.14226,0.17935,3.8,11.41806,1,0.18548,130.48484,0,0,0,0.31821,6.24484,0.99806,18.2529,1.60569,6.79742,0.99774,1.41231,0.45742,0.18344,8.34323,0.99645,1.30444,6.10975,0.14226,0.30026,0.57475,0.46886,25,0.61667,1.032,0.14226,0.7506,58.23355,7.44774,1,53.2702,0.86129,1.02742,0.53167,0.15355,1,4.25323,0.51543,1.24878,0.88839,1.07065,0.14226,1,1.35294,10.2625,21.37273,0.59512,7.66903,1.05968,0.3669,4.66355,0.5973,0.48581,6.45355,5.00613,0.19424,1,1,0.41184,0.14226,0.89881,1.86355,0.14226,0.73541,1.2202,0.68283,0.23457,57.19355,80.7945,0,0.77065,0,0,15.44065,600,0,0.8929,3.27308,4.41531,1,2.16323,0.51783,1.0339,0.14226,0,0.78452,0.15903,1.03125,0.72022,1.0635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","UniqueJewel",2.06741,14.5481,0.17879,0.17879,1.1119,0.49897,0.17879,0.19759,0.99948,0.88621,0.17879,5.77172,5.68569,0.17879,0.9531,0.17879,0.80121,0.17879,0.17879,0.17879,2.11741,12.81724,1,0.17879,144.92328,190.80857,185.85854,177.80862,0.17879,11.04414,0.99638,10.01293,0.92948,11.4169,0.98483,0.75879,0.17879,0.1781,13.82983,0.97069,0.9869,3.88362,0.17879,0.17879,0.17879,0.17879,16.69069,0.17879,1.00414,0.17879,0.34259,40.01862,8.19276,0.99759,46.15517,0.19552,1,0.17897,0.17845,1,1.79362,0.17879,0.55362,0.99017,0.99259,0.17879,1,0.99983,2.76914,35.10759,0.17879,8.6419,0.83948,0.17448,3.12638,0.19017,0.17879,2.78914,7.24983,0.17879,0.96948,0.99983,0.17879,0.17879,0.62897,1.02293,0.17879,0.17862,0.17707,0.17672,0.16931,47.88328,147.86415,0,0.70293,79.34379,0,22.37914,304.65017,0,0.57586,6.45655,7.40862,0.76017,1.16724,0.17879,0.6569,0.17879,292.3684,0.47017,0.3731,0.99569,0.17879,0.67293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","UniqueJewel",2,1.01931,0.235,0.22655,1,0.24207,0.235,0.24086,0.98017,0.90603,0.235,2.63655,6.60931,0.235,0.865,0.235,0.79121,0.235,0.235,0.23448,1.32293,10.54466,1,0.235,176.03966,289.07478,209.18466,206.5681,0.235,10.21931,0.93241,10.75879,0.96103,11.87948,0.95914,0.38448,0.235,0.235,14.52414,0.96948,0.97638,5.79845,0.235,0.235,0.24172,0.235,3.76069,0.235,1,0.235,0.2619,40.89466,12.2219,1,59.19776,0.235,1,0.235,0.235,0.84655,0.95724,0.235,0.34845,0.99328,0.99569,0.235,1,1,2.55483,41.52534,0.235,6.77034,0.56086,0.23328,2.91414,0.29724,0.235,1.94397,6.47172,0.235,0.9981,0.99569,0.235,0.235,0.91914,1,0.235,0.235,0.235,0.23483,0.23207,56.26776,91.70759,0,0.46517,88.2981,0,24.63793,146.19586,0,0.235,7.11707,6.82759,0.51034,1,0.23776,0.51207,0.23466,27.83172,0.60914,0.25448,0.98948,0.235,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","UniqueJewel",1.81207,1,0.26655,0.26517,1,0.26793,0.26655,0.26655,1,0.87086,0.26655,2,5.87845,0.26655,0.93379,0.26655,0.61534,0.265,0.26345,0.26655,1,8.94362,0.98328,0.26655,190.74276,665.84655,190.8219,200.18293,0.26603,13.15172,0.94034,11.12707,0.96276,9.66155,0.94379,0.30121,0.26655,0.26638,15.45397,0.92379,0.93983,7.21103,0.265,0.26655,0.26793,0.26534,2.04793,0.26655,1,0.26655,0.26724,44.43707,12.58552,1,65.43552,0.26655,0.89379,0.26655,0.26655,0.58672,1,0.26655,0.26655,0.99397,0.99983,0.26655,0.99966,1,2.6181,50.48328,0.26655,6.69931,0.28603,0.26655,3.16259,0.355,0.26655,1.34759,5.7481,0.26655,0.89517,0.99069,0.26655,0.26655,0.92241,0.97034,0.26655,0.26655,0.26655,0.25586,0.25603,62.515,87.59983,0,0.27,85.22914,0,22.84914,144.09914,0,0.26655,8.29931,5.49431,0.36052,0.98052,0.26655,0.36776,0.26655,15.46862,0.57638,0.26655,1.03431,0.26603,0.26655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","UniqueJewel",1,1,0.28534,0.2831,0.99914,0.28552,0.28552,0.28552,0.9619,0.70897,0.28552,2,4.86897,0.28552,0.87138,0.28552,0.6031,0.28552,0.28534,0.28552,1,6.64569,0.995,0.28552,181.62483,599.98483,181.62483,183.00293,0.28552,15.61948,0.91931,9.25603,0.9681,10.3419,0.95845,0.28552,0.28552,0.28552,15.03224,0.80966,0.97983,6.94534,0.26966,0.28552,0.28552,0.28517,1.73879,0.28552,1,0.28552,0.28672,43.64931,10.50983,1,67.04724,0.28552,0.68414,0.28621,0.28552,0.28552,0.99397,0.28517,0.28552,0.60103,0.88759,0.28552,0.99914,0.99983,2.08259,45.87155,0.28552,5.91776,0.29983,0.28552,3.52552,0.48586,0.28552,1.01069,3.95966,0.28552,0.80017,0.96172,0.28552,0.28379,0.72362,0.99724,0.28552,0.28552,0.28552,0.28552,0.2819,61.7131,111.96121,0,0.28552,79.7619,0,18.27603,244.1269,0,0.28552,9.8119,3.88862,0.28552,0.95069,0.28534,0.32345,0.28552,16.32862,0.71293,0.28552,1.84466,0.28552,0.28534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","UniqueJewel",1.28603,0.94897,0.29397,0.29345,0.9669,0.29397,0.29397,0.29397,0.93052,0.44793,0.29397,2,3.87379,0.29379,0.92534,0.29397,0.99948,0.29224,0.29397,0.29397,1,4.69207,0.99776,0.29397,129.52569,460.50103,159.43103,122.95897,0.29397,16.51655,0.94052,6.49914,0.90586,9.64086,0.81552,0.29397,0.29397,0.29397,13.59379,0.84069,0.97,7.1619,0.29397,0.29397,0.30017,0.29397,1.27483,0.29397,1,0.29397,0.29397,47.43966,9.73879,1,77.34759,0.2931,0.30121,0.29397,0.29397,0.29397,0.97224,0.29414,0.29379,0.54379,0.84276,0.29397,0.88017,1,2.04966,43.58259,0.29397,4.89362,0.29397,0.29397,3.59638,0.68155,0.29397,0.84724,3.355,0.29397,0.44534,0.99603,0.29397,0.29397,0.66603,0.99828,0.29397,0.29397,0.29121,0.29397,0.29293,55.71121,84.09069,0,0.29397,59.69672,0,14.39121,252.69328,0,0.29397,9.08172,3.38534,0.29397,1,0.29397,0.30224,0.29397,17.7569,0.58276,0.29397,2.24,0.29397,0.29397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","UniqueJewel",1.56534,1,0.30845,0.3081,0.58138,0.30845,0.30845,0.30845,0.98724,0.35552,0.30845,1.73379,2.90862,0.29793,0.72328,0.30741,0.64259,0.30793,0.30276,0.3081,1,4.24241,0.9969,0.30724,126.48207,425.6181,126.48207,92.01121,0.30845,13.5531,0.81621,5.53121,0.94741,8.86828,0.93897,0.30845,0.30534,0.30845,11.82776,0.92483,0.99241,8.48448,0.30828,0.30845,0.30845,0.30845,0.99086,0.30776,1,0.30845,0.30845,49.26345,9.62828,1,79.61086,0.30845,0.34362,0.3069,0.30845,0.30845,0.99759,0.30845,0.30845,0.52793,0.73517,0.43138,0.94448,0.99776,2.11552,41.15638,0.30845,4.85569,0.30845,0.30672,2.69862,0.86793,0.30845,0.85914,2.55466,0.30845,0.32966,0.99328,0.30845,0.30845,0.37759,0.98914,0.30845,0.30741,0.30845,0.30621,0.30707,51.82276,79.58534,0,0.30845,56.0731,0,10.19293,187.91983,630.6,0.30845,8.97828,2.99224,0.30845,1,0.30845,0.30845,0.30845,18.82569,0.41,0.30845,2.36569,0.30845,0.30845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","UniqueJewel",1.76509,0.8893,0.31,0.31456,0.63263,0.32035,0.32035,0.33298,0.98842,0.34123,0.32018,1.29842,1.98123,0.31474,0.59982,0.32035,0.36175,0.32035,0.32035,0.32035,1,3.77228,0.99404,0.32035,111.28175,417.09386,119.77193,97.3493,0.31544,13.83088,0.96,5.90614,0.95877,8.07649,0.98842,0.32035,0.32035,0.32035,13.06614,0.90316,0.97421,8.70947,0.32035,0.32035,0.32035,0.32035,0.99982,0.31404,1,0.32035,0.32035,62.75298,9.39509,1,74.52772,0.32035,0.3414,0.32035,0.32035,0.32035,1,0.32035,0.32035,0.36684,0.44018,0.32439,0.87456,0.99596,2.41667,38.39561,0.31649,4.45719,0.32035,0.31982,3.0307,0.97544,0.32035,1,2.06491,0.32035,0.32544,0.9693,0.32035,0.32035,0.41544,0.9986,0.32035,0.32035,0.32035,0.30877,0.29772,48.05158,73.79246,0,0.31772,59.28719,0,9.69351,179.9214,0,0.32035,8.84754,2.75807,0.32035,0.98474,0.32035,0.32035,0.32035,12.59421,0.62754,0.32035,1.74193,0.32035,0.32035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","UniqueJewel",1.97281,0.89421,0.29474,0.31754,0.68193,0.32,0.32,0.32,0.83018,0.35351,0.32,1.22228,1.96263,0.30421,0.44544,0.32,0.63088,0.31877,0.31456,0.32,1,3.35719,0.98667,0.32,107.23018,388.5407,100.83123,113.88298,0.31842,14.12579,0.74281,6.10439,0.94825,8.20895,0.78509,0.32,0.32,0.31982,12.80105,0.58105,0.99368,9.14298,0.32,0.32,0.33105,0.31807,0.99789,0.30965,0.99439,0.32,0.32,76.02965,9.64105,1,69.24386,0.31842,0.32,0.31982,0.32,0.31842,1,0.31912,0.32035,0.33474,0.43526,0.32,0.46,0.99333,2.39509,39.58649,0.32,3.99509,0.32,0.31789,2.93842,0.96228,0.32,1,1.8914,0.32,0.32,0.98737,0.32,0.32,0.35544,0.97912,0.3193,0.31596,0.31807,0.31877,0.27789,47.79649,74.75281,0,0.32,87.17018,0,7.94544,198.72053,0,0.32,9.36123,2.00193,0.32,0.99228,0.32,0.32526,0.32,13.96526,0.32,0.32,1.86509,0.31982,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
