"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Beachhead_T5","The.Perandus.Manor","Doryani.s.Machinarium","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
1,"2017-12-08","Abyss","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","UniqueMap",4.46714,8.03419,4.8413,3.26645,6.386,4.98258,13.05774,10.66542,2.88129,7.44871,8.97903,11.12968,81.334,24.70467,40.90909,17.81548,1.99774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","UniqueMap",5.35034,5.41119,3.23983,3.2,3.64322,3.35729,9.00169,10.33458,3.44542,4.37186,9.4239,5.59915,34.89424,19.43729,26.99898,8.19729,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","UniqueMap",4.24759,5.12759,2.95552,3.37172,3.25,2.89552,9.08914,7.60345,3.66293,2.99534,10.26534,3.32845,29.04466,15.58983,19.08793,6.26534,1.99879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","UniqueMap",4.76862,4.22293,2.89655,4.37603,2.94621,2.4169,11.51655,8.18379,2.61414,2.70138,13.41241,3.32517,34.42397,15.33241,19.06414,5.215,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","UniqueMap",4.75397,3.9969,2.16414,4.9069,2.8519,2,10.19759,8.84052,2.0769,2.28552,14.76586,3.32552,35.69466,16.94948,18.37741,5.04828,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","UniqueMap",4.32439,3.91754,2.35158,5.02895,2.93175,1.99842,9.84789,8.18579,2.14719,2,14.8214,3.27982,35.17228,18.46667,18.98825,4.8493,1.99561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","UniqueMap",4.44086,3.92,2.10172,5.12552,2.94534,1.99931,9.49724,7.50397,2.07914,1.9919,14.03793,3.21017,36.63276,18.44069,19.53741,4.88776,1.99103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","UniqueMap",4.62649,3.3914,2,4.94404,2.98246,1.98526,9.03579,7.24702,2,1.97561,13.93719,2.94368,35.47263,20.65965,20.78737,4.67,1.92491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","UniqueMap",3.74293,2.99293,1.99862,5.02707,2.85362,1.99207,9.08741,7.45224,1.99897,1.96983,14.81828,2.74672,38.08914,20.49931,20.24621,4.23276,1.84655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss","UniqueMap",3.72702,2.99263,1.99544,5.54509,2.87895,1.97,10.33333,7.64772,1.98579,1.89105,15.59053,2.51561,38.89456,20.50509,21.06684,3.98386,1.76596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss","UniqueMap",3.93632,2.98456,1.98754,5.81719,2.87368,1.91228,12.37175,7.8186,1.95965,1.88965,15.60561,2.48228,45.01632,23.76596,21.87228,3.94368,1.25193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss","UniqueMap",3.62895,2.96035,1.98807,5.62684,2.20298,1.87526,12.74175,8.54982,1.96228,1.57754,16.30368,2.83474,50.94491,24.67228,23.33158,3.96105,1.08491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss","UniqueMap",3.3414,2.97877,1.97947,5.60526,2.22404,1.92965,13.21772,8.52912,1.95895,1.31509,17.36123,2.28456,49.43667,23.78877,24.75649,3.98,1.00632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss","UniqueMap",2.95228,2.93719,1.95579,5.8786,2.21982,1.85105,11.97333,8.2393,1.92579,1.24667,17.58404,2.26579,49.39965,22.92333,24.59649,3.98158,1.02596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss","UniqueMap",2.93672,2.94879,1.89776,5.62155,2.99224,1.56414,13.07362,7.88776,1.83155,1.04414,17.73914,2.38172,49.43879,23.98845,26.69879,3.9531,0.99793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss","UniqueMap",2.93491,2.99088,1.88807,5.44368,3.5114,1.47018,14.41158,7.45,1.89211,1.06421,17.36263,2.26123,70.31158,28.45737,28.52842,3.98842,0.99491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss","UniqueMap",2.97638,2.99069,1.83345,5.76483,3.89517,1.15224,14.91793,7.55379,1.68862,1.02948,17.01638,2.81207,72.42069,30.07034,28.79276,3.87483,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss","UniqueMap",2.96228,2.99667,1.8193,5.87333,3.94123,1.0707,14.85053,7.18912,1.72053,1.04509,16.66772,2.90614,62.55614,30.30439,28.02316,3.99474,0.99947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss","UniqueMap",2.9107,3.00947,1.84754,6.35316,3.97,1.06737,14.62596,6.94333,1.55298,1.03895,16.44474,2.87035,58.96246,29.12667,26.72632,3.94947,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss","UniqueMap",2.93491,3.33807,1.71474,6.49754,3.94772,0.9993,14.90737,6.96439,1.54965,1,16.39561,2.72842,63.56456,28.77526,26.99632,3.89474,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss","UniqueMap",2.81667,3.29105,1.54368,6.3507,3.92649,1,14.99509,7.62702,1.20298,0.99982,17.62895,2.79439,73.09561,28.96719,26.9986,3.9814,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss","UniqueMap",2.88439,2.93035,1.67825,6.39912,3.97596,1,15.41754,7.09228,1.50386,0.99947,17.7086,2.6214,70.59211,26.40246,26.98842,3.9914,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss","UniqueMap",2.98333,3.04263,1.66421,5.94281,3.77105,0.99807,15.22123,6.44421,1.25544,1,17.39825,2.64351,66.22754,25.88351,26.43526,3.69772,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss","UniqueMap",2.85877,2.98684,1.5707,6.50807,3.5107,0.9986,15.50789,6.4886,1.00474,0.99982,17.05158,2.87211,65.07807,25.12456,26.60228,3.81632,0.9993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss","UniqueMap",2.73164,2.86291,1.32655,6.54855,3.89164,1,14.86527,6.38855,0.998,0.99891,16.96909,2.95291,68.32691,25.03309,26.40582,3.95273,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss","UniqueMap",2.72474,2.86737,1.29719,6.23632,3.78632,0.99754,14.35895,6.21754,1,0.99965,16.14982,2.76351,66.55333,23.81351,26.14737,3.88351,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
