"Day","Date","League","Type","Vial.of.Awakening","Vial.of.Consequence","Vial.of.Dominance","Vial.of.Fate","Vial.of.Sacrifice","Vial.of.Summoning","Vial.of.the.Ghost","Vial.of.the.Ritual","Vial.of.Transcendence"
1,"2019-12-13","Metamorph","Vial",0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph","Vial",0,0,0,0,0,0,0,0,0
3,"2019-12-15","Metamorph","Vial",0,0,0,0,0,0,0,0,0
4,"2019-12-16","Metamorph","Vial",0,0,0,0,0,0,0,0,0
5,"2019-12-17","Metamorph","Vial",0,0,0,0,0,0,0,0,0
6,"2019-12-18","Metamorph","Vial",0,0,0,0,0,0,0,0,0
7,"2019-12-19","Metamorph","Vial",0,0,0,0,0,0,0,0,0
8,"2019-12-20","Metamorph","Vial",0,0,0,0,0,0,0,0,0
9,"2019-12-21","Metamorph","Vial",0,0,0,0,0,0,0,0,0
10,"2019-12-22","Metamorph","Vial",0,0,0,0,0,0,0,0,0
11,"2019-12-23","Metamorph","Vial",0,0,0,0,0,0,0,0,0
12,"2019-12-24","Metamorph","Vial",0,0,0,0,0,0,0,0,0
13,"2019-12-25","Metamorph","Vial",0,0,0,0,0,0,0,0,0
14,"2019-12-26","Metamorph","Vial",0,0,0,0,0,0,0,0,0
15,"2019-12-27","Metamorph","Vial",0,0,0,0,0,0,0,0,0
16,"2019-12-28","Metamorph","Vial",0,0,0,0,0,0,0,0,0
17,"2019-12-29","Metamorph","Vial",0,0,0,0,0,0,0,0,0
18,"2019-12-30","Metamorph","Vial",0,0,0,0,0,0,0,0,0
19,"2019-12-31","Metamorph","Vial",0,0,0,0,0,0,0,0,0
20,"2020-01-01","Metamorph","Vial",0,0,0,0,0,0,0,0,0
21,"2020-01-02","Metamorph","Vial",0,0,0,0,0,0,0,0,0
22,"2020-01-03","Metamorph","Vial",0,0,0,0,0,0,0,0,0
23,"2020-01-04","Metamorph","Vial",0,0,0,0,0,0,0,0,0
24,"2020-01-05","Metamorph","Vial",0,0,0,0,0,0,0,0,0
25,"2020-01-06","Metamorph","Vial",0,0,0,0,0,0,0,0,0
26,"2020-01-07","Metamorph","Vial",0,0,0,0,0,0,0,0,0
