"Day","Date","League","Type","Booming.Populace","Booming.Populace_1","Booming.Populace_10","Booming.Populace_11","Booming.Populace_12","Booming.Populace_13","Booming.Populace_14","Booming.Populace_2","Booming.Populace_3","Booming.Populace_4","Booming.Populace_5","Booming.Populace_6","Booming.Populace_7","Booming.Populace_8","Booming.Populace_9","Irresistable.Temptation","Irresistable.Temptation_1","Irresistable.Temptation_10","Irresistable.Temptation_11","Irresistable.Temptation_12","Irresistable.Temptation_13","Irresistable.Temptation_14","Irresistable.Temptation_15","Irresistable.Temptation_16","Irresistable.Temptation_17","Irresistable.Temptation_18","Irresistable.Temptation_2","Irresistable.Temptation_3","Irresistable.Temptation_4","Irresistable.Temptation_5","Irresistable.Temptation_6","Irresistable.Temptation_7","Irresistable.Temptation_8","Irresistable.Temptation_9","Misinformation","Misinformation_1","Misinformation_10","Misinformation_11","Misinformation_2","Misinformation_3","Misinformation_4","Misinformation_5","Misinformation_6","Misinformation_7","Misinformation_8","Misinformation_9","Stalwart.Defenders","Stalwart.Defenders_1","Stalwart.Defenders_10","Stalwart.Defenders_11","Stalwart.Defenders_12","Stalwart.Defenders_2","Stalwart.Defenders_3","Stalwart.Defenders_4","Stalwart.Defenders_5","Stalwart.Defenders_6","Stalwart.Defenders_7","Stalwart.Defenders_8","Stalwart.Defenders_9","Territories.Unknown","Territories.Unknown_1","Territories.Unknown_10","Territories.Unknown_11","Territories.Unknown_12","Territories.Unknown_13","Territories.Unknown_14","Territories.Unknown_15","Territories.Unknown_16","Territories.Unknown_17","Territories.Unknown_18","Territories.Unknown_2","Territories.Unknown_3","Territories.Unknown_4","Territories.Unknown_5","Territories.Unknown_6","Territories.Unknown_7","Territories.Unknown_8","Territories.Unknown_9","Terror","Terror_1","Terror_10","Terror_11","Terror_12","Terror_2","Terror_3","Terror_4","Terror_5","Terror_6","Terror_7","Terror_8","Terror_9","War.Among.the.Stars","War.Among.the.Stars_1","War.Among.the.Stars_10","War.Among.the.Stars_2","War.Among.the.Stars_3","War.Among.the.Stars_4","War.Among.the.Stars_5","War.Among.the.Stars_6","War.Among.the.Stars_7","War.Among.the.Stars_8","War.Among.the.Stars_9"
1,"2019-12-13","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"2019-12-15","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"2019-12-16","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"2019-12-17","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"2019-12-18","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"2019-12-19","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"2019-12-20","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"2019-12-21","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"2019-12-22","Metamorph","Watchstone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
