"Date","League","Type","Apprentice.Cartographer.s.Seal","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Seal","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Seal","Master.Cartographer.s.Sextant","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Perandus.Coin","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Stacked.Deck","Vaal.Orb","Ancient.Orb","Ancient.Reliquary.Key","Annulment.Shard","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Engineer.s.Orb","Eternal.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.of.Kalandra","Mirror.Shard","Orb.of.Annulment","Orb.of.Binding","Orb.of.Horizons","Timeworn.Reliquary.Key","Timeless.Karui.Emblem","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
2016-09-20,"Standard","Currency",0,0,0.00949,0.02245,0.5,0,0.14578,24.60769,70.12019,1.59942,0.1057,0.15001,0,0,0,0,0,0.23623,0.07704,0.0293,0.23935,0.63868,1.82591,0.93042,0.01666,0.02,0.01015,1,0.00499,0.31671,0,1.84558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-21,"Standard","Currency",0,0,0.0099,0.02084,0.5,0,0.1418,25.18662,69.99437,1.55507,0.09685,0.14279,0,0,0,0,0,0.23615,0.07707,0.02939,0.23888,0.63088,1.85108,0.89801,0.01842,0.02,0.01,1.00217,0.00527,0.29221,0,1.81085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-22,"Standard","Currency",0,0,0.0113,0.02271,0.5,0.39,0.14168,25.27483,69.33197,1.5,0.09766,0.14231,0,0,0,0,0,0.23555,0.07924,0.02939,0.246,0.63759,1.80909,0.84416,0.01698,0.02,0.01,0.97637,0.00503,0.30624,0,1.78259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-23,"Standard","Currency",0,0,0.01153,0.02339,0.5,0.33594,0.14249,25.4,68.3965,1.5,0.09946,0.14204,0,0,0,0,5.0449,0.2408,0.08877,0.02701,0.24775,0.51707,1.8214,0.84288,0.01663,0.02,0.01,0.99826,0.00573,0.32254,0,1.70063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-24,"Standard","Currency",0,0,0.01175,0.02394,0.5,0.33333,0.14091,24.7972,69,1.5,0.10719,0.14517,0,0,0,0,4.99301,0.24472,0.08827,0.03267,0.23494,0.58308,1.88049,0.85318,0.01699,0.02,0.00989,1.00607,0.00521,0.32227,0,1.76217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-25,"Standard","Currency",0,0,0.01261,0.02435,0.5,0.33522,0.14188,24.09792,68.9625,1.5,0.12549,0.14938,0,0,0,0,5.31806,0.25,0.07918,0.03158,0.24368,0.61291,1.91368,0.84042,0.01791,0.01987,0.00915,1.00795,0.00512,0.32903,0,1.83486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26,"Standard","Currency",0,0,0.01249,0.02034,0.5,0.34432,0.1384,24.13403,69.0559,1.5,0.08083,0.1549,0,0,0,0,5.43854,0.26709,0.07887,0.02487,0.23812,0.63198,1.92132,0.88333,0.01799,0.01775,0.00899,1,0.00499,0.31758,0,1.89021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-27,"Standard","Currency",0,0,0.01197,0.02035,0.5,0.36767,0.14066,22.91111,69.25856,1.5,0.0775,0.15525,0,0,0,0,5.46806,0.25,0.07664,0.02775,0.23281,0.6155,1.88757,0.95009,0.01209,0.01982,0.00763,1,0.00489,0.32857,0,1.88729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-28,"Standard","Currency",0,0,0.01121,0.01967,0.48878,0.34441,0.14083,23.67183,69.97254,1.5,0.095,0.14703,0,0,0,0,5.09014,0.24995,0.07819,0.03139,0.22222,0.6114,1.91746,0.98077,0.01227,0.01793,0.0087,1,0.00461,0.32157,0,1.71641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-29,"Standard","Currency",0,0,0.00997,0.01661,0.3554,0.36086,0.14146,22.77042,70.34155,1.50117,0.10583,0.14316,0,0,0,0,5.36761,0.23668,0.08054,0.03419,0.20047,0.60837,1.95758,0.97711,0.0134,0.01652,0.00809,1,0.00469,0.28523,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
