"Date","League","Type","A.Mother.s.Parting.Gift","Abandoned.Wealth","Anarchy.s.Price","Assassin.s.Favour","Audacity","Birth.of.the.Three","Blind.Venture","Boundless.Realms","Bowyer.s.Dream","Cartographer.s.Delight","Chaotic.Disposition","Coveted.Possession","Death","Destined.to.Crumble","Dialla.s.Subjugation","Doedre.s.Madness","Dying.Anguish","Earth.Drinker","Emperor.s.Luck","Emperor.of.Purity","Gemcutter.s.Promise","Gift.of.the.Gemling.Queen","Glimmer.of.Hope","Grave.Knowledge","Her.Mask","Heterochromia","Hope","House.of.Mirrors","Hubris","Humility","Hunter.s.Resolve","Hunter.s.Reward","Jack.in.the.Box","Lantador.s.Lost.Love","Last.Hope","Light.and.Truth","Lost.Worlds","Loyalty","Lucky.Connections","Lucky.Deck","Lysah.s.Respite","Mawr.Blaidd","Merciless.Armament","Pride.Before.the.Fall","Prosperity","Rain.of.Chaos","Rain.Tempter","Rats","Scholar.of.the.Seas","Shard.of.Fate","The.Aesthete","The.Arena.Champion","The.Artist","The.Avenger","The.Battle.Born","The.Betrayal","The.Body","The.Brittle.Emperor","The.Calling","The.Carrion.Crow","The.Cartographer","The.Cataclysm","The.Catalyst","The.Celestial.Justicar","The.Chains.that.Bind","The.Conduit","The.Cursed.King","The.Dapper.Prodigy","The.Dark.Mage","The.Demoness","The.Doctor","The.Doppelganger","The.Dragon","The.Dragon.s.Heart","The.Drunken.Aristocrat","The.Encroaching.Darkness","The.Endurance","The.Enlightened","The.Ethereal","The.Explorer","The.Feast","The.Fiend","The.Fletcher","The.Flora.s.Gift","The.Formless.Sea","The.Fox","The.Gambler","The.Gemcutter","The.Gentleman","The.Gladiator","The.Harvester","The.Hermit","The.Hoarder","The.Hunger","The.Immortal","The.Incantation","The.Inoculated","The.Inventor","The.Jester","The.King.s.Blade","The.King.s.Heart","The.Last.One.Standing","The.Lich","The.Lion","The.Lord.in.Black","The.Lover","The.Lunaris.Priestess","The.Mercenary","The.Metalsmith.s.Gift","The.Oath","The.Offering","The.One.With.All","The.Pack.Leader","The.Pact","The.Penitent","The.Poet","The.Queen","The.Rabid.Rhoa","The.Risk","The.Road.to.Power","The.Scarred.Meadow","The.Scavenger","The.Scholar","The.Sephirot","The.Sigil","The.Siren","The.Soul","The.Spoiled.Prince","The.Stormcaller","The.Summoner","The.Sun","The.Surgeon","The.Surveyor","The.Survivalist","The.Thaumaturgist","The.Throne","The.Tower","The.Traitor","The.Trial","The.Twins","The.Tyrant","The.Union","The.Valkyrie","The.Vast","The.Visionary","The.Void","The.Warden","The.Warlord","The.Watcher","The.Web","The.Wind","The.Wolf","The.Wolf.s.Shadow","The.Wrath","Three.Faces.in.the.Dark","Thunderous.Skies","Time.Lost.Relic","Tranquillity","Treasure.Hunter","Turn.the.Other.Cheek","Vinia.s.Token","Volatile.Power","Wealth.and.Power","Atziri.s.Arsenal","Beauty.Through.Death","Blessing.of.God","Boon.of.the.First.Ones","Call.to.the.First.Ones","Forbidden.Power","Harmony.of.Souls","Immortal.Resolve","Left.to.Fate","Lingering.Remnants","Might.is.Right","Mitts","No.Traces","Perfection","Rebirth","Struck.by.Lightning","The.Admirer","The.Army.of.Blood","The.Beast","The.Blazing.Fire","The.Breach","The.Cacophony","The.Celestial.Stone","The.Coming.Storm","The.Darkest.Dream","The.Deceiver","The.Dreamer","The.Dreamland","The.Endless.Darkness","The.Eye.of.the.Dragon","The.Fathomless.Depths","The.Forsaken","The.Garish.Power","The.Hale.Heart","The.Innocent","The.Insatiable","The.Iron.Bard","The.Jeweller.s.Boon","The.Master","The.Mayor","The.Obscured","The.Opulent","The.Polymath","The.Porcupine","The.Price.of.Protection","The.Professor","The.Puzzle","The.Realm","The.Rite.of.Elements","The.Ruthless.Ceinture","The.Saint.s.Treasure","The.Samurai.s.Eye","The.Spark.and.the.Flame","The.Standoff","The.Sword.King.s.Salute","The.Twilight.Moon","The.Undaunted","The.Undisputed","The.Valley.of.Steel.Boxes","The.Wilted.Rose","The.Witch","The.Wolven.King.s.Bite","The.Wolverine","The.World.Eater","The.Wretched","Three.Voices","A.Dab.of.Ink","The.Master.Artisan","The.Nurse","The.Sacrifice","Alone.in.the.Darkness","Arrogance.of.the.Vaal","Boon.of.Justice","Dark.Temptation","Monochrome","Sambodhi.s.Vow","Seven.Years.Bad.Luck","The.Golden.Era","The.Journey","The.Landing","The.Life.Thief","The.Lord.of.Celebration","The.Mad.King","The.Messenger","The.Seeker","Alluring.Bounty","Buried.Treasure","Burning.Blood","Dark.Dreams","Demigod.s.Wager","Echoes.of.Love","Imperial.Legacy","Pride.of.the.First.Ones","The.Archmage.s.Right.Hand","The.Deep.Ones","The.Fool","The.Primordial","Thirst.for.Knowledge","Vanity","Akil.s.Prophecy","Azyran.s.Reward","More.is.Never.Enough","Nook.s.Crown","Remembrance","The.Bargain","The.Damned","The.Deal","The.Demon","The.Eye.of.Terror","The.Heroic.Shot","The.Mountain","The.Old.Man","The.Price.of.Loyalty","The.Side.Quest","The.Skeleton","The.Wolf.s.Legacy","Vile.Power","Void.of.the.Elements","Baited.Expectations","Cameria.s.Cut","Deathly.Designs","Divine.Justice","Etched.in.Blood","Friendship","Squandered.Prosperity","Succor.of.the.Sinless","The.Bones","The.Chosen","The.Craving","The.Escape","The.Fishmonger","Underground.Forest","NA."
2016-10-26,"Standard","DivinationCard",0.29,40,1,1,1,1,1.8,1,49.48235,0.44118,5,1,0.49118,0.49118,3.45882,0.63235,0.55059,2.21765,1,3,3,1,2.33529,1,0.54765,26.58824,5.17647,1188.18,2,2.32353,1.14118,160.53,3,0.25059,30.30588,1,2,1,1.03824,9.72353,4,65943.99,7.74118,14.61765,0.30353,0.49118,0.72471,1,2,0.42882,5,1.9,15.05294,6,1,0.86,2.92059,55.35882,9,0.23,5.05765,1,0.83235,10,3.20294,1,11.37647,9,9.1,0.91529,924.14,1,0.49118,36,1,1.97647,0.49118,18.02353,22.98824,2,0.48824,607.29,6.8,0.23,10,0.98588,0.94588,0.90647,1,1,64.49235,0.19353,6,20,118.82,0.96882,0.27941,2,2.8,0.23118,18,40,0.32,1,0.49824,0.47941,0.63059,0.9,0.86412,1,30,1,0.47706,1,4.8,1,99.02,0.29118,4.31176,6.8,0.27882,1,0.19412,14.85882,1,3,2.9,2.09412,4.8,1,0.53529,0.28176,1.12353,0.31588,46,0.82588,1,0.80471,4,0.23,6.5,1.32,33.38824,46,1,18,0.49118,8.71176,1,0.49118,1,8.2,1,1,0.46706,0.23,12,1,1.42941,0.40882,2,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27,"Standard","DivinationCard",0.28159,39.23832,1,1,0.99626,1,1.77757,1,50,0.49206,5,1,0.4972,0.4972,3.50187,0.90178,0.38579,2.18318,1,3,3,1,4.04673,1,0.89,31.29065,5.42056,1164.25664,2,2.39579,1.05981,0,2.95467,0.23,29.17383,1,2,0.98495,1.11234,9.23738,4,65941.18907,7.54953,14.84953,0.48168,0.49748,0.48467,1,1.9757,0.48991,5,1.9514,14.92243,5.85888,1.03645,0.87168,3,54.92991,8.74393,0.20785,5.09159,1,0.98168,9.97944,3.16402,1,11.35607,8.99533,8.89252,0.98729,924.10075,1,0.4972,37.73364,1,2,0.4972,18.2729,23.57009,2,0.47794,607.30131,7.25514,0.23,10,0.99897,0.95598,0.87944,1,1,59.6486,0.1514,6,20.02243,117.98056,0.99075,0.27234,2,2.79533,0.23168,17.34673,43.16916,0.32206,0.65178,1.66981,0.49514,0.71383,0.76037,0.68981,1,28.74393,1,0.4972,1,5.04579,1,99.01561,0.39047,4.63738,7.87383,0.24607,0.94953,0.20477,15.19439,1,3,2.85794,2.1271,4.53551,1,0.56963,0.2372,1,0.42037,44.8729,0.98991,1,0.62757,4,0.23,6.16729,1.11019,31.28318,46,1,17.40935,0.4972,8.62336,1,0.46467,1,8.34206,1,0.85776,0.62636,0.23,11.85047,1,1.21028,0.29327,2.01495,1,90.32804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-28,"Standard","DivinationCard",0.23472,40.34151,1,1,0.91736,1,1.73113,1,50.57075,0.50142,5,1,0.44443,0.46047,3.55094,0.94642,0.24953,2,1,3,2.53255,1,3.7434,1,0.86311,20.07075,7.43491,1188.21477,2,2.25943,1.02547,132.02,2.6316,0.21745,29.67264,1,2.08585,1,1.2383,8.5717,4,65945.59217,7.29434,14.99434,0.48679,0.47387,0.47642,1,1.83774,0.48679,4.96887,2,14.33868,5.34717,1.44387,0.92679,2.83585,53.67736,8.00094,0.15632,5.21821,1,1,9.67358,3,0.97547,12.55377,8.96415,6.76792,0.9783,924.16245,1,0.48679,35,1,2.04434,0.50236,17.79717,24.55094,1.75,0.46302,609.91368,6.37642,0.23,10.81698,1,0.81189,0.94783,1,1,58.99708,0.17104,5.89858,20,116.08962,0.95538,0.24547,2,2.68491,0.26226,15.38491,47.51226,0.37226,0.86689,0.77208,0.60566,0.79057,0.60142,0.48019,1,27.41132,1,0.5117,1,5.33396,1,99.02226,0.35245,4.82547,8,0.46774,0.77764,0.17425,15.47925,1,2.90047,2.6,2.74151,4.25943,1,0.49057,0.23047,1.03962,0.51538,44.00849,1,1,0.95943,3.99717,0.27406,4.6,1.06547,29.94717,42.58491,1,16.98208,0.34189,8.99623,1,0.37123,1,8.68491,1,1,0.49491,0.23,10.38302,1.03396,1.10943,0.26481,2.35047,1,90.90028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,"Standard","DivinationCard",0.20456,40.00097,1,1,0.81534,1,1.40971,1,50.37379,0.56544,0,1,0.41981,0.45757,3.89903,0.81262,0.24971,1.76214,1,2.86214,1.99515,1,4.50874,1,0.94874,20.39806,7.26699,1188.18,2,2.13252,1.04757,133.94233,2.1733,0.16107,29.40583,0.99262,2,0.83922,1.21291,8.60874,4.82136,36704.37786,9.36893,15,0.48417,0.45272,0.42,1,1.64951,0.48417,5,2,14.19223,4.97573,1.39223,0.81447,2.00291,52.13204,7.27476,0.15097,3.78796,1,0.98544,10.13398,3.02718,0.59398,11.34466,8.95699,7.57864,0.99126,924.14,1,0.48417,35,1,1.95728,0.80359,17.43204,24.91068,1.45534,0.47592,614.6333,5,0.23,11.52621,1,0.68456,0.99786,1,1,58.23301,0.17165,5.5033,20,115.1533,1,0.23,1.48155,3.54175,0.26757,15.91942,43.07961,0.48146,1,0.64883,0.91544,0.77291,0.63311,0.43835,1,24.93786,1,0.5065,1,3.53398,1,98.71184,0.45029,3.88408,7.92233,0.46835,0.92388,0.13019,16.7932,1,2.52524,2.6,2.84466,4.04175,1,0.48417,0.20971,1.45146,0.6765,43.93786,0.99476,0.9934,0.99505,4,0.40524,4.89515,1.05485,29.12524,34.81553,1.14563,14.29612,0.27175,9.0767,1,0.39398,1,14.87476,0.97573,0.99951,0.25515,0.23,11.86019,1.12233,1.50291,0.37097,2.82282,1,91.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,"Standard","DivinationCard",0.20544,41.09806,1,1,0.95874,1,1.0699,1,44.72621,0.48,10,1,0.4099,0.46,4,0.27621,0.23,1.04757,1,2,1.07282,1,8.54369,0.98825,1,31.15728,5.3767,1189.08243,2,2.33786,1,138.71748,2.75485,0.21311,29.1301,0.99757,2,0.7333,1,7.94563,8.74563,3866.25233,9.14854,14.93495,0.48,0.43107,0.23,1,1.99903,0.48,5.10777,2,15.11262,4.85534,1.02427,0.24107,2,52.56019,7.20194,0.12466,3.76379,1,0.92903,10.61068,2.8,0.66835,11.01359,8.48087,6.79029,0.84709,924.57689,1,0.48,35.05825,1,1.99417,0.68951,15.92816,23.72039,1.53883,0.47534,608.35796,5,0.23,9.40971,0.94126,0.7465,0.8667,1,1,61.46097,0.09942,5.24699,19.31165,117.99417,0.77272,0.23,1.83777,4.81359,0.23,15.50291,40.14175,0.31913,0.80777,0.72544,0.78563,0.40583,0.68175,0.44272,0.95806,25.0233,1,0.48,1,3.87573,1.6835,98.9467,0.46641,3.65,7.35922,0.32291,0.77738,0.4168,15.87573,1,1.04369,2.50971,2,3.96505,1,0.48,0.23408,1.11359,0.41437,43.1068,0.99854,0.94553,0.95757,4,0.23,5,1,29.64369,42.21359,1,13.90583,0.42699,7.9966,1,0.29777,1,18.47573,1,1,0.22718,0.23,11.80194,1,1.83252,0.36049,2.21068,1,87.12155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,"Standard","DivinationCard",0.23,42.0951,1,1,1,1,1.55,1,36.22059,0.47951,7.95588,0.93176,0.39873,0.44235,4,0.24108,0.23,1.45588,1,2.13725,1,1,5.53725,1,1,35,5.98431,0,2,2.55157,1,137.68225,2.99608,0.22873,29.76569,1,2,0.83814,1,7.40098,7.27353,261.04833,7.84314,14.71667,0.47951,0.32549,0.50098,1,2,0.47951,5.17059,2,15,5.00098,1,0.24676,2,51.09804,8.55,0.11441,5.03529,1,0.83078,11.39216,3,0.85618,11.10392,8.32147,6.08235,0.82059,923.76912,1,0.54441,38.23529,1,2.31176,0.42,15.16961,23.99314,1.79902,0.47245,614.58049,5,0.23,8.20686,0.86882,0.70549,0.70873,1,1,64.46529,0.11971,5.43578,20,118.95725,0.79216,0.26324,1.95382,5.90245,0.23,16.48039,40,0.29971,0.97451,0.74598,0.65225,0.54333,1,0.47216,0.88971,25.84216,1,0.47951,1,5,1,97.60059,0.52833,3.67255,6.50098,0.28314,0.90775,0.17275,15.44902,1,1.13363,2.92353,1.85098,3.40686,1,0.47951,0.26294,1.84314,0.43206,41.28235,1,0.84069,0.99951,4,0.24118,5,1.05529,29.72059,40.13725,1,13.95588,0.46951,9.04118,1,0.26578,1,21.81373,1,1,0.28,0.23,10.58431,1,1.72157,0.29971,2.58627,1,68.83137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,"Standard","DivinationCard",0.23365,42.32308,1,1,1,1,2,1,43.77788,0.48077,5.125,1,0.2476,0.47077,4,0.34865,0.2376,2.03077,1.05837,2.48942,1.71635,1,5.06731,1,0.9499,35.50769,6.525,0,2,2.60125,1,155.61317,3,0.22923,29.14519,1,2.155,0.71519,1.01096,7.82788,7.22115,261.00913,10.71154,11.34808,0.48077,0.26798,0.73154,1,2,0.48077,4.9976,2,15,5.02788,1.35913,0.2951,2,50,8.09712,0.0901,5,1,0.78942,10.18942,3.0851,0.81615,11.73077,7.99856,5.725,0.93337,924.41673,1,0.75375,41.15385,1,2.16154,0.48077,16,23.60288,1.87788,0.44423,610.22587,4.85385,0.2376,8.40192,1,0.68279,0.92673,1,1,63.86048,0.17269,5.48981,20.02885,118.94087,0.65019,0.36365,1.72048,7.18067,0.23933,15.97404,40,0.30144,1,1,0.4125,0.64115,1,0.44981,0.90538,25.96442,1,0.48077,1,5,1,94.84048,0.38673,3.05385,5.97981,0.28865,0.97404,0.14029,16,1,2.85433,3.04808,2.97115,3.77788,1,0.59538,0.28308,2.75769,0.45125,40.72885,1,0.99865,1,4,0.32673,5,1.2101,30.04038,38,1,13.78173,0.48077,8.42308,1,0.33346,1,18.42885,1,1,0.23971,0.2376,10,1,1.88702,0.32404,2.40288,0.98615,66.07827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-02,"Standard","DivinationCard",0.22772,42.04158,0.9901,1,1,1,2,1,42.07525,0.48,5,1,0.23,0.47564,4,0.43317,0.23,2,1.27406,2.8198,1.35347,1,5.23267,1,0.94772,42.39,7,0,2,2.29455,1,188.19535,2.95495,0.20703,29.21584,1,3.09505,0.52396,1,8,7.5099,260.83149,10.8198,15,0.48,0.23,0.48931,1,2,0.48,4.99307,2,15,5,1.00446,0.36931,2,49.72277,7.96436,0.07792,4.68317,1,0.68257,10.05842,3.58515,1,11.8396,8,5.8505,0.95158,923.51941,1,0.65683,40.0297,1,2,0.47356,16.55564,23.26238,1.36238,0.4504,594.86238,4.86931,0.23139,7,1,0.63891,0.59505,1,1,60.95624,0.16366,5.59149,20,118.86079,0.29891,0.30366,1.50426,6.56733,0.23,16.52772,39.93663,0.31673,1,0.99267,0.24752,0.48,0.95436,0.41644,0.67911,27.39703,0.99802,0.48,1,5,0.99743,94.18911,0.25366,2.99109,6.57228,0.36871,0.99653,0.12663,16,1,2.86139,2.70891,2.8297,3.73861,1,0.56515,0.26267,3.71584,0.42842,44.18515,1,1,0.94129,3.93069,0.24376,5,1.26861,28.61267,36.06337,1,13.0396,0.48,6.00792,1,0.32297,1,18.38416,1,1,0.2402,0.23,10,1,2,0.30248,2.35149,0.72198,61.55911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,"Standard","DivinationCard",0.22515,41.66931,1,1,1,1,2,1,36.89109,0.47465,5,1,0.23,0.47129,3.88614,0.33416,0.23,2.04158,3.40594,3,1.03564,1,5.37624,1,0.99713,35,7,0,2,2.16881,1,177.30921,3.10099,0.17891,27.97129,1,2.79703,0.42683,1.09812,8,7.68218,260.78832,10.16436,15,0.47465,0.23,0.71861,1,2,0.47465,5.29604,2,15,4.8495,1.53119,0.56406,2.13366,47.8099,7.9198,0.08317,4.10297,1,0.49485,8.87129,3.03465,1,11.26733,8,5.74851,0.89436,910.38168,1,0.53703,40,1,2,0.44673,16.98772,22.78911,1.4,0.46,594.19871,5.16337,0.23901,7,1,0.61446,0.64911,1,1,73.28317,0.11396,5.99406,20.95614,118.84099,0.53089,0.42743,1.89733,6.93752,0.23069,17.78119,38.8,0.32277,1,0.71832,0.30545,0.47465,0.83337,0.34109,0.67218,30.73267,0.96545,0.47465,1,5,0.97079,99.0104,0.41812,3.29505,5.71089,0.33307,0.95079,0.12446,16.12673,1,2.82178,2.94653,3,3.97327,1,0.56416,0.29485,3.96535,0.41178,44.27723,1,1,0.73218,3.86733,0.23,5,1.28812,29.01782,27.9,1,13.16634,0.47465,6,1,0.44099,1.04564,18.4,0.99653,1,0.41881,0.23109,9.98317,1,2,0.30634,2.91525,0.53802,55.93059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-04,"Standard","DivinationCard",0.23969,41.43776,1,0.96776,1,1,2.29388,0.97796,39.24796,0.47235,5.32143,1,0.24418,0.45327,3,0.3001,0.2749,2.21531,1.34429,3,1.56531,1,3.26429,1,0.99112,35.04163,4.69388,0,2,2.08776,0.99847,144.71041,2.87296,0.21143,27.15408,1,3.4398,0.7351,1.01837,8,7.84082,261.71531,10,14.45582,0.47235,0.24602,0.48153,1,2,0.45918,5,2,14.77041,4.63878,1.34286,1,2.46735,50.87653,7.55102,0.12857,4,1,0.47235,9.05,3,1,11.64796,7.9949,5.59286,0.94929,927.58857,1,0.49969,40,1,2,0.47235,15.80449,22.15816,1.23776,0.40357,596.11694,5.1051,0.24327,7.2949,1,0.58663,0.82112,1,1,88.96122,0.1002,5.92347,21.78735,112.78694,0.93102,0.47235,2.01194,6.13531,0.24357,16.2551,37.73265,0.38867,1,0.75316,0.57592,0.46061,0.82592,0.23969,0.85449,29.45612,0.97194,0.47316,1,5,0.96306,99.38571,0.44847,3,5.56429,0.29582,0.48418,0.15367,16,0.88531,2.66173,2.8,2.99694,4,1,0.54418,0.38582,3.2051,0.4701,48.0051,1,0.77347,0.68765,3.12143,0.23969,5,1.2952,26.08714,18.52041,1,13.88673,0.41724,6,1,0.45633,1.54929,15.02857,0.94194,1,0.47235,0.2501,9.90204,1,1.75612,0.25276,3.23224,0.54531,56.50418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
