"Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe","NA."
2016-10-26,"Standard","Essence",198.03,0,0,0,0,330.05,177.06176,121.53588,66.01,138.62,0,0,132.02,66.01,0,0,66.01,198.03,177.06176,0,99.02,132.02,110.27882,132.02,0,1,0.86,0.91,0.71,0.86,1,2.3,3.11765,10,20.52941,2.27059,15.58824,19.52941,50,1,6.72353,8.7,30.35294,50,10.58824,17,3.08235,15,11.08824,3.02353,19.11765,2.4,50,0,66.01,20.1,66.01,15,15.9,15,20,30,15.9,0,66.01,40.45882,16.76471,66.01,66.01,15,66.01,16.5,15.9,1.2,5,0,2.55882,2.9,3.01765,1.9,9,3.17647,1.17647,1.45882,1.25882,1.35882,11,0,1.65882,1,1,10,0,1,0.68,1,1,1.2,0,1,1.2,1,0.78,0.75,1.4,0
2016-10-27,"Standard","Essence",198.02159,0,0,0,0,330.03598,198.02159,132.01439,66.0072,138.61421,0,0,132.01439,66.00703,0,0,66.00703,198.02159,198.02159,0,100.4486,127.69897,108.91523,132.01439,0,1,0.8129,0.91561,0.69879,1.02336,1,2.3,3.1,10,20.68224,5.96449,15.84579,18.31776,30,2.9785,8.29346,9.18411,30,0,6.94028,17.68224,10.42804,16.03738,11.34112,3.10467,18.5,15.91963,30,40,66.0072,20.09981,0,15,15,17.04673,20,30.68224,15,0,48.39144,40,17.53738,0,0,16.70561,66.0072,17.53738,15,2.98318,5,0.49596,2.4,2.9,3,9.9243,9,3,1,3.97477,1.39682,2.98318,11,0,5.95794,1,1,10,0,1,0.66505,1,1,1.99252,0,1.19813,2.98318,1.01121,0.76505,0.73841,4.96636,0
2016-10-28,"Standard","Essence",94.22651,0,10,0,8,330.05802,106.72462,65.37613,66.0116,74.73113,0,5,132.02321,66.0116,0,7,33.94472,198.03481,198.03481,0,105.40085,194.89651,108.83538,132.02321,0,0.70292,0.74792,1,0.65,0.96,1,2.3,3.1,10.03302,21,6,16,18,21.25472,3.9,15.19811,9.4,30,0,2.38679,18,10.5,16.5,11.5,3.18019,18.5,16.5,30,40,66.0116,20.10019,0,15,15,18,20,31,15,0,43.38509,40,25.84906,0,0,17.5,66.0116,18,15,3,5,0.48679,2.4,2.9,3,10,9,2,0,4,0.63679,3,11.59434,0,6,0,1,10,0,0,0.6,1,1,1.12557,0,1.2,3,1.01981,0.7,1,5,0
2016-10-29,"Standard","Essence",26.1,0,10,0,8,330.05,41.30097,23.53398,66.01,32.8,0,5,132.02,66.01,0,7,16.27961,198.03,129.96806,0,158.31583,133.81417,98.21019,132.02,3,0.59291,0.88408,1.44709,0.77272,1.25252,1.11845,2.24078,3.15922,10.19417,23.51456,6.54369,16.57767,18.85922,21.57282,8.96796,15,10.77864,34.64078,50,7.58825,17.80583,12.24272,16.5,12.95631,3.43301,38.07282,16.5,31.14563,40,66.01,20.1,66.01,15,17.92136,18,20.01942,32.74757,17.92136,0,46.61359,41.33786,33.63107,66.01,66.01,17.5,66.01,17.90291,17.92136,4.63786,5.09709,4.62456,2.32233,4.43301,3.13592,10,9.23398,2.47379,10,10,2.96437,4.63786,10.40777,10,6.93592,5,1.07767,7.33495,5,5,0.77524,1.93592,1.93592,0.75214,5,1.51845,3.11845,1,0.74689,0.86922,2.70485,0
2016-10-30,"Standard","Essence",129.69175,0,10,0,8,330.28155,62.5301,50.9966,66.05631,96.57029,198.11154,5,132.11262,66.05631,0,7,47.2533,198.16893,79.26748,0,198.16893,141.10243,98.22398,132.11262,3,0.72592,1.05553,2.04777,0.90291,1.60767,1.2,2.24175,3.23301,10.41748,22.60194,6.98058,13.19223,16.46117,32.48544,14.79612,15,10.81262,38.40777,34.97087,13.71359,17.76699,14.13107,16.5,14.47087,3.86019,39.86408,12.1,30.8932,40,66.05631,19.5735,66.05631,15,54.93078,17.76699,18.71301,35.51456,20.10485,0,44.47806,54.05175,35.41204,66.05631,66.05631,17.40777,66.05631,17.79126,20.10485,5.68932,5.20874,10,2.26796,6.2233,3.29612,7.26602,9.47573,2.74466,3.73883,10,5.46408,5.73107,10,6.87573,7.81942,4.24854,1.16699,4.99029,5,4.24854,1.05505,2.90291,2.90291,1.03466,5,1.76699,3.1165,1,0.84029,0.84029,1,0
2016-10-31,"Standard","Essence",198.27929,198.363,0,0,0,330.46548,128.83797,66.08804,66.0931,133.60108,198.26412,0,132.18619,66.08465,0,119.017,66.08465,198.27929,128.83797,0,198.26412,132.17608,81.21755,136.06245,3,0.63608,0.81804,1.27824,0.68804,1.21363,1.1902,2.31471,3.85686,10.13725,12.2451,6.9902,7.03529,11.62255,37.27843,5.77647,15,6.01667,30.82353,11.64706,10,17.83333,10.18627,16.25,12.09804,7.32353,24.23529,6.01667,33.82353,40,66.08804,18,66.06238,15,149.30078,16.83333,17,40,17.10157,0,44.97853,31.41176,31.67843,66.06238,66.06238,17.08333,66.08804,17.75,17.10157,2.1951,5.17647,10,6,2.8049,3.3902,3.56078,9.0951,5.47549,1.35843,10,2,2.2951,10.04902,2.58529,6.1951,3.07843,1.28431,3.41471,5,3.1902,1,1.3902,1.3902,0.93118,5,1.62745,3.07059,1,0.72137,0.72137,1.14902,0
2016-11-01,"Standard","Essence",198.23481,198.23481,0,0,0,330.39135,197.21837,66.07827,66.07827,132.15654,165.81442,0,132.15654,66.07827,0,118.94087,66.07827,198.23481,198.23481,0,198.23481,132.15654,72.25779,132.15654,3,1.325,0.99,1.7175,0.8175,1.49,1.2,2.3,2.2,12.45865,12,7,6.85,11.5,33.77462,12.6,14.11731,7.88365,30,10,10,17.75,10.125,16.5,13.35577,8.125,21.52885,6.2,30,40,66.07827,18.12135,0,15.09817,198.23481,17,17.87692,39.91346,15,0,41.65538,28.37981,33.25,0,0,17.5,66.07827,17.875,15.09817,2.35,6.625,10,6,4.85,3.925,3.6,9.325,5.5,1.38077,10,2.15,2.375,10,2.6,6.475,3,1.11538,3.4,5,3.2,1.1,1.85,1.85,1.6625,5,1.65,3.2,1.05,0.8175,1.10981,1.4,0
2016-11-02,"Standard","Essence",198.1001,198.1001,0,0,0,330.16683,145.27267,66.03337,66.03337,138.21139,132.06673,0,132.06673,66.03337,0,118.86079,66.03337,198.1001,198.1001,0,198.1001,132.06673,68.61772,132.06673,3,3,1.41188,3.02178,1.2,2.21188,1.2,2.21188,2.96733,15.52,20.91089,6.89604,6.27525,12.18812,33.60238,30,7.99208,24.25248,10,10,8.79287,13.12376,10.06931,24.25248,13.83663,10,20,6.4297,30,40,66.03337,40.69099,0,46.47188,198.1001,31.65347,48.64574,35.5,15,0,42.60238,25.08911,40,0,0,30.42079,66.0304,30.42079,46.47188,2.85545,10,8.64238,0,11,7.72772,3.6,10,7.72772,1.40475,10,2.37901,2.69901,10,2.69901,8.63663,3.09901,1.4,4.4396,5,4.09109,1.4,4.09109,4.09109,4.09109,5,1.60198,4.09109,1.10099,1.1505,3.51935,1.24554,0
2016-11-03,"Standard","Essence",198.03094,198.06824,0,0,0,330.05156,140.71755,66.02275,66.01031,134.11608,132.04549,0,132.02063,66.02275,0,118.84216,66.02275,198.03094,198.03094,0,159.29304,93.72304,79.61206,97.02363,2.97955,3,1.28627,3,1.18627,2.08627,1.17059,2.12157,4.65196,15.70294,30,6.60784,5.92353,13.63137,23.15294,28.58039,7.6,30,10.10784,10.20588,2.58657,13.63529,10,30,13.46078,10,20,6.6,28.01471,39.82745,64.79627,33.60147,0,66.02275,76.37745,45.22549,66.02275,35.38725,0,66.02372,30.97255,25.96078,38.98529,66.03529,0,38.98529,66.02275,40.56137,66.02275,3.4902,10,1.29431,0,12.22549,10,3.49804,10,10,4.73852,10,0.75941,2.68627,10,2.6902,10,3.17255,4.83636,6.11765,5,5,1.3451,5,5,5,4.97955,1.34902,5,1,1.22353,1,1,0
2016-11-04,"Standard","Essence",0,198.77412,0,0,0,0,111.97536,66.25804,66.5,132.51608,132.51608,0,0,66.25804,0,119.26392,66.25804,0,66.5,199.5,237.41474,77.18103,66.25804,79.51021,3,3,1.23505,3.06154,1.1268,2.03505,1.05361,2.13505,3.49485,14.1,30,7,6.91959,13.6,20.4,23.6,8.59588,30,10.5,11,3.33227,14,10,30,11.5,6.37113,20,9.97732,21,37.48,60.07825,36.33536,0,57.68381,66.25804,46,56.61186,32.38392,0,66.25804,22.5,26.25979,35.5,66.25804,0,35.5,66.25804,42.62608,65.82632,3.94639,10,0.72691,2,16.6087,3.25634,3.93814,10,2.29296,0.88417,10,0.75742,3.25361,10,3.25361,10,3.05361,0,8.79381,5,5,1.10722,5,5,5,5,1.10722,5,1,1.75876,5,1.12308,0
