"Date","League","Type","Amber.Oil","Azure.Oil","Black.Oil","Clear.Oil","Crimson.Oil","Golden.Oil","Opalescent.Oil","Sepia.Oil","Silver.Oil","Teal.Oil","Verdant.Oil","Violet.Oil"
2019-09-11,"Standard","Oil",688.48,1204.84,0,860.05,1376.96,0,0,860.05,0,1032.72,1720.1,0
2019-09-12,"Standard","Oil",687.84,1052.4,1377.12,189.775,1226.88,0,2065.8,514.41,0,725.79,857.35,0
2019-09-13,"Standard","Oil",276.11,1045.84,1371.52,171.14,1217.86,10140.6,2069.04,204,0,721.45667,389.62,16760.205
2019-09-14,"Standard","Oil",218.09,1024.86,1344.08,167.51,1344.08,8381,2016.12,220.41,0,705.64,385.85,0
2019-09-15,"Standard","Oil",166.135,1014.0025,1329.92,122.2,1329.92,6144.785,1994.88,218.31,0,697.505,199.19333,0
2019-09-16,"Standard","Oil",114.24,997.0625,1307.76,110.97,721.78,5084.41,1961.64,110.75,2457.45,250.72,101.415,655.32
2019-09-17,"Standard","Oil",89.98,705.5,820.35,98.23,721.91,3112.43667,1312.56,98.23,2461.05,186.66,86.36,656.28
2019-09-18,"Standard","Oil",45.46,149.55,364.2,37.94,180.86,5723.9,720.1,40.89,2453.1,76.34,39.95,199.5
2019-09-19,"Standard","Oil",40.6,92.68,181.27,27.14,125.66,0,721.92,30.29,1427.41,74.24,38.55,164.07
2019-09-20,"Standard","Oil",40,84.23875,231.44,124.32,127.29,13093.6,836.8475,29.9,1198.22,50,33.46,100
2019-09-21,"Standard","Oil",128.45,138.79,246,82.33071,112.86,12445.69,1015.49714,47.478,1990.28,85.67,127.17,114.44
2019-09-22,"Standard","Oil",51.59,165.0875,283.041,40.734,165.13857,9135.43,865.7,48.86,2244.20667,144.53,155.66182,164.685
2019-09-23,"Standard","Oil",51.71,141.14375,312.85625,57.99526,167.06,4902.212,836.65,69.7325,2270.67,145.29,101.84267,149.88667
2019-09-24,"Standard","Oil",50.08,141.01625,335.66,58.11395,167.3,4407.05,906.01333,70.59771,2281.47,165.69,80.84,142.84
2019-09-25,"Standard","Oil",50,140.72,338.06,26.84,157.01,4440.88,947.92,61.47,2297.78,165.43,80,143
2019-09-26,"Standard","Oil",43.98,131.52,334.89,19.8,160.06083,4464.79,956.36429,35.98577,2309.83125,140.52857,39.04938,80.23
