"Date","League","Type","Potent.Alchemical.Resonator","Potent.Chaotic.Resonator","Powerful.Alchemical.Resonator","Powerful.Chaotic.Resonator","Prime.Alchemical.Resonator","Prime.Chaotic.Resonator","Primitive.Alchemical.Resonator","Primitive.Chaotic.Resonator"
2018-09-06,"Standard","Resonator",0,0,0,0,0,0,0,55
2018-09-07,"Standard","Resonator",108.1,108.0975,216.2,216.2,0,0,0,61.25333
2018-09-08,"Standard","Resonator",108.21,108.2075,254.685,254.685,0,0,0,61.28
2018-09-09,"Standard","Resonator",108.48,108.48,255.36,255.36,0,0,0,61.31
2018-09-10,"Standard","Resonator",108.2,108.2,254.7,254.7,0,0,0,61.28
2018-09-11,"Standard","Resonator",108.27,108.2675,254.8625,254.8625,0,0,0,61.28667
2018-09-12,"Standard","Resonator",108.38,108.38,255.13,255.13,0,0,0,61.3
2018-09-13,"Standard","Resonator",108.26,108.2525,254.8225,254.8225,0,0,0,61.28
2018-09-14,"Standard","Resonator",123.01,109.63,258.92,271.5,0,0,109.81,109.63
2018-09-15,"Standard","Resonator",449.69,2181.1,547.5,436.48,0,0,109.055,0
2018-09-16,"Standard","Resonator",447.37,309,0,178.8,0,0,64.95,0
2018-09-17,"Standard","Resonator",67.99,245,0,79.6,0,0,28.9,0
2018-09-18,"Standard","Resonator",450.53,246.56,0,79.91,0,0,28.98,0
2018-09-19,"Standard","Resonator",454.57,2205,0,441,0,0,110.25,0
2018-09-20,"Standard","Resonator",457.81,2220.2,222.06,442.08,0,0,111.01,0
2018-09-21,"Standard","Resonator",2220.24,2220.4,222.02,111.01,0,0,100,0
2018-09-22,"Standard","Resonator",0,0,218.68,109.46,0,0,100,0
2018-09-23,"Standard","Resonator",0,0,216.96,108.48,0,0,100,0
2018-09-24,"Standard","Resonator",0,0,216.96,108.48,0,0,100,0
2018-09-25,"Standard","Resonator",20,20,216.58,108.5,0,0,100,0
2018-09-26,"Standard","Resonator",20,20,48.77,108.86,0,0,100,0
2018-09-27,"Standard","Resonator",20,20,48.525,107.98,0,0,100,0
2018-09-28,"Standard","Resonator",20,20,30,0,0,0,100,0
2018-09-29,"Standard","Resonator",20,20,30,55,0,0,15,0
2018-09-30,"Standard","Resonator",20.59,20.71,32.83,55,0,0,15,0
2018-10-01,"Standard","Resonator",20.59,20.71,32.83,23.5,0,0,15,0
2018-10-02,"Standard","Resonator",20.59,20.71,32.83,23.5,0,0,15,0
2018-10-03,"Standard","Resonator",25,26,54,23.5,0,0,19.13,50
2018-10-04,"Standard","Resonator",25,26,50.4,23.5,0,0,19.13,50
