"Date","League","Type","Andvarius","Araku.Tiki","Ascent.From.Flesh","Astramentis","Atziri.s.Foible","Auxium","Bated.Breath","Belt.of.the.Deceiver","Berek.s.Grip","Berek.s.Pass","Berek.s.Respite","Blackheart","Blightwell","Blood.of.Corruption","Bloodboil","Bloodgrip","Brinerot.Mark","Call.of.the.Brotherhood","Carnage.Heart","Daresso.s.Salute","Death.Rush","Demigod.s.Bounty","Demigod.s.Eye","Demigod.s.Presence","Doedre.s.Damning","Doryani.s.Invitation","Dream.Fragments","Dyadian.Dawn","Emberwake","Essence.Worm","Extractor.Mentis","Eye.of.Chayula","Eye.of.Innocence","Eyes.of.the.Greatwolf","Faminebind","Feastbind","Gifts.from.Above","Headhunter","Heartbound.Loop","Hinekora.s.Sight","Immortal.Flesh","Kaom.s.Sign","Kaom.s.Way","Karui.Charge","Karui.Ward","Kikazaru","Le.Heup.of.All","Lori.s.Lantern","Malachai.s.Artifice","Maligaro.s.Restraint","Marylene.s.Fallacy","Meginord.s.Girdle","Ming.s.Heart","Mokou.s.Embrace","Mutewind.Seal","Natural.Hierarchy","Ngamahu.s.Sign","Ngamahu.Tiki","Night.s.Hold","Perandus.Blazon","Perandus.Signet","Praxis","Prismweave","Pyre","Rashkaldor.s.Patience","Redblade.Band","Rigwald.s.Crest","Rigwald.s.Curse","Romira.s.Banquet","Shaper.s.Seed","Shavronne.s.Revelation","Sibyl.s.Lament","Sidhebreath","Snakepit","Soulthirst","Star.of.Wraeclast","Stone.of.Lazhwar","Sunblast","Talisman.of.the.Victor","Tasalio.s.Sign","Tear.of.Purity","The.Anvil","The.Ascetic","The.Aylardex","The.Ignomon","The.Magnate","The.Pariah","The.Retch","The.Taming","The.Warden.s.Brand","Thief.s.Torment","Timeclasp","Umbilicus.Immortalis","Ungil.s.Harmony","Valako.s.Sign","Valyrium","Ventor.s.Gamble","Victario.s.Acuity","Voideye","Voidheart","Voll.s.Devotion","Warped.Timepiece","Winterheart","Wurm.s.Molt","Angler.s.Plait","Aul.s.Uprising","Bisco.s.Collar","Bisco.s.Leash","Choir.of.the.Storm","Coward.s.Chains","Coward.s.Legacy","Cyclopean.Coil","Darkness.Enthroned","First.Piece.of.Time","Gloomfang","Gluttony","Impresence","Maligaro.s.Cruelty","Mark.of.Submission","Mark.of.the.Elder","Mark.of.the.Shaper","Perquil.s.Toe","Perseverance","Precursor.s.Emblem","Presence.of.Chayula","Ryslatha.s.Coil","Sacrificial.Heart","Second.Piece.of.Time","Soul.Tether","Stormfire","String.of.Servitude","The.Effigon","The.Flow.Untethered","The.Halcyon","The.Hungry.Loop","The.Nomad","The.Pandemonius","The.Primordial.Chain","The.Tactician","Timetwist","Voice.of.the.Storm","Winterweave","Xoph.s.Blood","Xoph.s.Heart","Yoke.of.Suffering","Zerphi.s.Heart","Ahkeli.s.Meadow","Ahkeli.s.Mountain","Ahkeli.s.Valley","Hyperboreus","Putembo.s.Meadow","Putembo.s.Mountain","Putembo.s.Valley","Solstice.Vigil","Uzaza.s.Meadow","Uzaza.s.Mountain","Uzaza.s.Valley","Vivinsect","Hyrri.s.Truth","Tavukai","Badge.of.the.Brotherhood","Circle.of.Anguish","Circle.of.Fear","Circle.of.Guilt","Circle.of.Nostalgia","Circle.of.Regret","Icefang.Orbit","Siegebreaker","The.Jinxed.Juju","Venopuncture","Astral.Projector","Fury.Valve","Leash.of.Oblation","Mother.s.Embrace","Warrior.s.Legacy","Willowgift","Hallowed.Ground","NA."
2016-10-26,"Standard","UniqueAccessory",18.95,0.23,3,65.22375,0.23,2,1,0.23,18.375,3,507.62,0.49125,990.15,25,0.23,24.6,2,19.175,0.23,44.75,9.025,2363.16,594.09,0,5,2,1,1,31.275,18.325,0.23,5.4625,125.8325,4010.11125,279.715,248.98375,20,6601,0.23,25,0.49125,0.23,44.69375,5,0.23313,1,2.64375,0.23,0.46,1,3.66,1,3,0.23,3,462.07,1.015,12.01875,4.1,0.48563,32.26875,1,0.23,1,1,3,8,189.6975,1,3,690.215,0.23,0.23,66.01,1,64,1,0.23,488.47,5,0.23,1,2.9375,0.64563,0.23,0.42688,99.02,587.15938,590.99625,3,1,0.23,7.38125,0.23,66.01,6.1325,2,66.01,17,120.95875,462.07,2.26063,4,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27,"Standard","UniqueAccessory",19.82243,0.23,3,65.46075,0.23,2,1,0.23,17.56075,2.95514,510.8672,0.53579,977.3985,24.47664,0.23,23.24019,2,17.78692,0.23,50.0514,9.11776,2367.99374,594.06477,25501.55449,4.86636,2,1,1,31.33645,18.33738,0.23,5,131.51477,4333.97374,268.27234,254.12907,20,6639.03037,0.23,24.97196,0.69449,0.23,43.2028,4.58972,0.31757,1,2.31103,0.23,0.46075,1,3.74449,1.11776,3,0.28636,3.26822,462.05037,1.19308,14.58411,4.91028,0.48252,34.31963,1.28692,0.23,1,1,3.41682,8.13271,183.27794,1,2.97196,704.36299,0.23,0.23,70.39897,1,65.05701,1,0.23,485.24187,4.80654,0.23,1,2.83645,0.58551,0.23,0.38766,93.15374,567.83056,591.53673,3.32336,1,0.23,5.85607,0.23,65.97346,5.98019,2,75.59168,16.70654,120.59364,462.05037,2.03056,4,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-28,"Standard","UniqueAccessory",17.46604,0.23,3.06792,65.21774,0.23,1.99292,1,0.23,18.82453,2.59057,510.02302,0.84028,955.29547,24.97358,0.23,20.18396,2.15,15.01038,0.23,41.31887,8.31604,2390.74179,594.10443,25744.52547,6.03208,2,1,1,35.69623,19.10849,0.23,5.23585,121.61132,8021.01245,269.78387,272.95311,20,6625.75868,0.23434,20.61226,0.79236,0.23,39.44717,5.4566,0.2983,0.99972,2.98113,0.23613,0.48311,1,3.01887,1.03877,2.45755,0.43255,3,462.08123,1.02142,12.08962,5,0.48075,37.33208,1.48868,0.23,1,0.89377,3.48679,9.90377,196.60236,1,3,700.46906,0.23,0.23,83.97462,1,62.98226,1,0.36547,459.59066,4.73019,0.23,1,2.85283,0.47632,0.23,0.23698,67.75406,539.675,641.5284,3.00283,1,0.23,4.82358,0.23,66.0116,6.88849,2,85.82575,16.2717,132.01075,462.08123,2.75491,3.86415,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,"Standard","UniqueAccessory",16.80388,0.23,2.72816,64.85417,0.23,1.94456,1,0.23,20.03398,3,608.31388,0.97456,945.47786,25,0.23,20.47184,3.43398,15.03204,0.23,37.12913,8.39029,2442.37,594.09,25743.9,5.27184,2,1,1.16214,40.21359,18.91553,0.23,5,100.63631,2166.79767,264.04,330.05,20.64563,6571.64816,0.25223,19.49903,0.75,0.23,37.57767,5.52136,0.23,1,2.9233,0.23,0.46379,1,2.98602,1,2,0.23573,2.50777,462.07,1,9.87282,4.75534,0.48427,34.63301,1.10388,0.23,1,0.64932,3.33107,10.02913,192.73078,1,2.8699,687.27058,0.23,0.23,95.68078,1,62.54602,1,0.31689,435.67,4.99806,0.23,1,2.37767,0.48039,0.23,0.23932,66.01,532.5334,659.07476,3.01262,1,0.23,4.00194,0.23,65.81757,6.66806,2,89.72854,17.09417,127.03087,462.07,2.97204,4.2699,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,"Standard","UniqueAccessory",15.61443,0.23,2.73371,65.14722,0.23,1.69196,1,0.23,19.85155,2.18381,549.76567,0.93588,945.50062,24.09794,0.23,21.12165,2,15.79052,0.23,32.26392,10,2444.1132,594.51402,25762.27423,5.0268,2,1,1.66907,38.91753,17.69794,0.23,5.2567,89.74082,1957.87196,269.13155,319.08206,23.29485,6539.65423,0.23,22.29381,0.48,0.23,34.84124,5.25876,0.24299,1,2.34948,0.3233,0.46041,1,2.90567,1,2.97835,0.26959,2.12165,462.39979,1.14206,10,4.90412,0.62381,33.81237,1.85876,0.23,1,0.48134,3,11.88041,171.89196,1,3,730.30474,0.23,0.23,100.13371,1,60.37515,1,0.24629,451.23588,4.87938,0.23,1,2.01031,0.47887,0.23,0.29557,66.77639,554.19443,663.43237,2.99381,1,0.23,3.79175,0.23,64.87887,6,2,73.02577,17.13608,123.79227,462.39979,2.83649,4.0634,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,"Standard","UniqueAccessory",17.6,0.23,2.35825,66.0866,0.23,1.17573,1,0.23,19.32039,2.12748,503.9301,0.99311,951.14388,25.0233,0.23,24.99515,2,15.36,0.23,38.5,8.8068,2432.65068,594.78553,25774.03981,5.36262,2,1,1,35.9466,17.49806,0.23,6.46757,90.98757,4175.92786,294.03408,263.51223,20.03553,6542.64087,0.23,21.38447,0.47718,0.23,35.63204,5.65146,0.23388,0.9999,2.57379,0.25573,0.4635,1,3.06291,1,3,0.32592,2.32913,424.55107,1.13544,10,4.26311,0.53369,39.14466,1.99709,0.23,1,0.62942,3.44417,10.53204,184.62699,1,3,662.79563,0.23,0.23,94.74485,1,54.7233,1,0.23,483.39767,4.66019,0.23,1,2,0.47951,0.23,0.44932,66.81932,546.7332,660.10223,2.99126,1,0.23,2.20388,0.23,60.33379,6,2,66.4601,17.81748,132.17456,454.42816,2.89942,3.85534,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,"Standard","UniqueAccessory",18.30891,0.23762,2.89208,66.06,0.23762,1.50693,1,0.23762,18.96931,2.16267,549.1597,0.96881,929.19119,25,0.23762,23.65842,2.01089,18.20594,0.23762,39.50495,8.17822,2416.82614,593.57386,25769.8099,6.03089,2,1,1,37.94158,16.62673,0.23762,7.7198,79.2002,3943.01257,402.89842,262.51099,24.05604,6541.56713,0.23762,26.06634,0.47119,0.23762,35.4099,4.69703,0.24663,0.80465,2.96238,0.32525,0.48139,1,3.03653,1.02129,3,0.4699,2.74455,396.45861,1.14752,10.02376,4.15644,0.53535,39.54653,1.94584,0.23762,1,0.84059,4.03168,10,192.69743,1.13465,3,647.9695,0.23762,0.23762,82.29733,1,60.09901,1,0.23762,445.78376,4.99604,0.23762,1,2.13366,0.48614,0.23762,0.46337,66.07644,546.15733,660.76436,2.79703,1,0.23762,3.53663,0.23762,60.38228,5.74554,2,78.78069,18.22574,125.53277,452.16723,2.76337,3.81485,0.23762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-02,"Standard","UniqueAccessory",16.60198,0.23,3.1099,62.25178,0.23,2.60653,1,0.23,20.13564,2.86109,629.33772,0.98059,768.87079,25,0.23,22.88119,2.79356,17.02574,0.23,30,8.30891,2412.14713,594.30832,25753.3604,5.63861,2,1,1.0003,38.44653,15.45347,0.23,8.00822,91.79545,3315.23386,441.15663,275.7705,28.51287,6537.39149,0.23,27.41782,0.48,0.23,30.35941,5.28614,0.29723,0.48891,2.92822,0.36614,0.48871,1,3,1,2.85406,0.47396,2.65545,396.20554,1.28406,11.95149,4.50594,0.4798,31.32772,1.31376,0.23,1,1,3.24455,9.9703,193.3805,1.41218,2.5901,613.26465,0.23,0.23,66.3196,1,60,0.99812,0.23,439.23,5,0.23,1,2.95842,0.52228,0.23,0.47089,74.20594,582.2199,655.76713,2.96931,1,0.23,4.67426,0.23,60.73376,5,2,83.97584,18.36535,101.55149,461.29079,2.00099,3.74851,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,"Standard","UniqueAccessory",17.6,0.23,3.17426,64.99812,0.23,2.90772,1,0.23,20.0099,2.99941,658.45208,0.99832,775.99188,25.0297,0.23,24.55446,2.57347,16.60594,0.23,30.3297,7,2414.90307,594.19871,25748.61089,5,2.00069,1,1,39.99604,14.98614,0.23,7.97832,92.31931,3746.8996,255.18198,306.02248,24.77822,6536.18584,0.23,26.44653,0.47248,0.23,30.28911,5.74455,0.41218,0.76149,2.48515,0.45832,0.48248,1,3,1,2.88792,0.47465,3.80099,396.13248,1.2399,14.23663,5.30297,0.47376,31.55644,1,0.23,1,1,3,7.12673,176.30059,1.77347,2.35941,622.37901,0.23,0.23,98.94218,1,59.61386,0.98921,0.23,434.44089,5,0.23,1,2.36337,0.88446,0.23,0.46,66.02208,591.97634,644.7896,2.85743,1,0.23,6.42574,0.23,59.29703,5,2,75.28436,17.66733,100.47713,451.68861,2.04059,2.99802,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-04,"Standard","UniqueAccessory",16.17423,0.23938,3,65.6732,0.23938,2.50928,1,0.23938,19.80928,2.9301,644.71588,0.90856,741.9067,25.28247,0.23938,22.69588,2.63289,16.69794,0.23938,30.18041,7,2451.39113,596.28433,25377.06052,5.19175,2,1,1.08196,38.27938,14.64227,0.23938,7.59227,150.42052,3185.27443,312.13031,310.70856,23.83433,6559.12763,0.23938,23.67629,0.82443,0.23938,29.80619,5.78247,0.44062,1,2.25309,0.46093,0.5068,1,3,1,2.18649,0.42309,4.11753,397.52289,1,10.2732,4.24845,0.47082,35.25773,1.50309,0.24093,1,1,2.99021,4.85144,167.40691,1.14649,2.49897,662.53814,0.23938,0.23938,97.92794,1,61.52402,1,0.23938,414.66722,5,0.23938,1,2.83918,0.9901,0.23938,0.46021,66.25381,596.28433,659.2601,2.83299,1,0.23938,7.33918,0.23938,60.71598,5,2,95.91546,17.40412,123.68351,462.33062,2,3,0.23938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
