"Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Coralito.s.Signature","Sin.s.Rebirth","Soul.Catcher","Soul.Ripper","The.Wise.Oak","Cinderswallow.Urn","Bottled.Faith","NA."
2016-10-26,"Standard","UniqueFlask",0.99353,29.29412,1.2,4.95294,2,528.08,0.23,164.18471,67.70412,14.38235,0.23,10,231.04,1,0.23,17.84118,285.16,49.92059,16.14706,0,0,0,0,0,0,0,0
2016-10-27,"Standard","UniqueFlask",0.9966,28.81509,1.35849,4.99811,2.28179,527.2666,0.23,135.26585,66.00717,13.41604,0.23,10,231.02991,1,0.23,18.81226,272.43387,49.57066,16.78302,0,0,0,0,0,0,0,0
2016-10-28,"Standard","UniqueFlask",0.97037,28.25234,1.36355,4.78804,3.28785,506.27495,0.23,123.86393,66.01159,12.58879,0.23,10,231.04542,1,0.23,19.99533,279.20224,48.97617,20.02804,0,0,0,0,0,0,0,0
2016-10-29,"Standard","UniqueFlask",0.97637,28.85294,1,5,4.28039,515.85059,0.23,125.42647,64.10147,12.78039,0.23,10.57118,230.98804,1,0.23,19.71078,297.3651,49.20794,24.02157,0,0,0,0,0,0,0,0
2016-10-30,"Standard","UniqueFlask",0.9688,31.081,1.009,5,3.1046,528.3584,0.23,116.9056,60,11.195,0.23,10.9697,230.9895,1,0.23,16.433,285.0497,44.9452,24.905,0,0,0,0,0,0,0,0
2016-10-31,"Standard","UniqueFlask",0.95735,29.72745,1,5,3.65284,528.70431,0.23,128.76843,59.39216,10.83431,0.23,11.71608,227.31745,1,0.23,15.13431,260.50039,40.09412,20.58824,0,0,0,0,0,0,0,0
2016-11-01,"Standard","UniqueFlask",0.99,30.20392,1,5,4.90961,526.13961,0.23775,132.9,58.80392,12.62451,0.23775,10.03431,230.87745,1,0.23775,16.45196,233.96824,40.08755,16.41176,0,0,0,0,0,0,0,0
2016-11-02,"Standard","UniqueFlask",0.96255,29.32353,1,5,4.57333,473.58275,0.23,132.06804,60.67618,11.98627,0.23,10,224.26843,1,0.23,15.47549,231.12069,39.59088,19.45882,0,0,0,0,0,0,0,0
2016-11-03,"Standard","UniqueFlask",0.94931,26.7703,1,5,3.93376,462.31812,0.23,132.04416,60,12.29703,0.23,10.16238,211.02228,1,0.23,14.50099,241.01891,39.31386,19.72277,0,0,0,0,0,0,0,0
2016-11-04,"Standard","UniqueFlask",0.96928,25.00412,1,5,3,463.7767,0.23938,128.96526,59.81959,12.01237,0.23938,10,207.38155,1,0.23938,13.86392,241.6801,39.04433,20,0,0,0,0,0,0,0,0
2016-11-05,"Standard","UniqueFlask",0.99938,25.125,1,5,2.62,473.531,0.255,131.16625,56.56875,11.50375,0.255,10,199.236,1,0.255,12.155,255.47788,38.527,20.04375,0,0,0,0,0,0,0,0
