"Date","League","Type","Anatomical.Knowledge","Ancient.Waystones","Apparitions","Army.of.Bones","Assassin.s.Haste","Atziri.s.Reign","Blood.Sacrifice","Brawn","Brittle.Barrier","Brute.Force.Solution","Careful.Planning","Cheap.Construction","Chill.of.Corruption","Clear.Mind","Coated.Shrapnel","Cold.Steel","Combustibles","Conqueror.s.Efficiency","Conqueror.s.Longevity","Conqueror.s.Potency","Corrupted.Energy","Dead.Reckoning","Efficient.Training","Eldritch.Knowledge","Emperor.s.Cunning","Emperor.s.Mastery","Emperor.s.Might","Emperor.s.Wit","Energised.Armour","Energy.From.Within","Fertile.Mind","Fevered.Mind","Fireborn","Fluid.Motion","Fortified.Legion","Fragile.Bloom","Fragility","Grand.Spectrum","Growing.Agony","Hair.Trigger","Healthy.Mind","Hidden.Potential","Hotfooted","Hungry.Abyss","Inertia","Inspired.Learning","Intuitive.Leap","Izaro.s.Turmoil","Lioneye.s.Fall","Malicious.Intent","Mantra.of.Flames","Martial.Artistry","Might.in.All.Forms","Mutated.Growth","Pacifism","Pitch.Darkness","Poacher.s.Aim","Powerlessness","Pugilist","Rain.of.Splinters","Rapid.Expansion","Reckless.Defence","Rolling.Flames","Sacrificial.Harvest","Self.Flagellation","Shattered.Chains","Spire.of.Stone","Spirit.Guards","Spirited.Response","Static.Electricity","Steel.Spirit","Survival.Instincts","Survival.Secrets","Survival.Skills","The.Vigil","Unending.Hunger","Unstable.Payload","Vaal.Sentencing","Volley.Fire","Warlord.s.Reach","Weight.of.Sin","Weight.of.the.Empire","Winter.s.Bounty","Collateral.Damage","Combat.Focus","Fight.for.Survival","First.Snow","From.Dust","Frozen.Trail","Hazardous.Research","Inevitability","Might.and.Influence","Might.of.the.Meek","Omen.on.the.Winds","Overwhelming.Odds","Primordial.Eminence","Primordial.Harmony","Primordial.Might","Pure.Talent","Ring.of.Blades","Soul.s.Wick","Spreading.Rot","Sudden.Ignition","Tempered.Flesh","Tempered.Mind","Tempered.Spirit","The.Anima.Stone","The.Blue.Dream","The.Blue.Nightmare","The.Golden.Rule","The.Green.Dream","The.Green.Nightmare","The.Long.Winter","The.Red.Dream","The.Red.Nightmare","To.Dust","Transcendent.Flesh","Transcendent.Mind","Transcendent.Spirit","Unnatural.Instinct","Violent.Dead","Watcher.s.Eye","Wildfire","Winter.Burial","Brutal.Restraint","Divide.and.Conquer","Elegant.Hubris","Glorious.Vanity","Lethal.Pride","Militant.Faith","Fortress.Covenant","Quickening.Covenant","Thread.of.Hope","NA."
2016-10-26,"Standard","UniqueJewel",3.45882,2.5,0.23,1,0.23,5,0.48412,0.23,1,3,0.49118,0.76294,22.94118,2,1,0.23,1,0.89412,0.23,0.49706,4.82353,0.96706,0.23,0.48529,438.97,673.3,228.70706,378.39529,0.23,10,1,126.19647,30,0.97059,0.23,0.26941,1,5,0.23,0.98235,0.23,1,0.23,10,0.23,8.91765,25.87059,39.95294,5,0.23,1,1.76471,0.23,0.99588,0.94412,0.23,1,1,0.50176,1,0.23,55.58824,1,61.16471,1,0.23,1,0.30647,0.23,2,0.23,0.23,0.23,0.23,0.23,2,1,1.95294,10.57059,0.49118,1,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27,"Standard","UniqueJewel",3.00849,2.55283,0.23,0.89028,0.23,5,0.48151,0.23,1,3,0.46302,0.84009,24.05755,1.97264,1.37689,0.23,1,0.91453,0.23,0.445,4.6934,0.86858,0.24915,0.49698,445.39491,629.05811,231.02991,404.44821,0.23774,10,1,132.38792,29.88113,0.57604,0.26868,0.27425,1,6.39906,0.23,0.99717,0.23,1,0.23,10,0.23,9,27.00566,39.6934,5,0.23,1,1.28774,0.23,0.9983,0.96887,0.23,0.99849,1,0.5116,1,0.23,49.57358,1,64.31226,1,0.23,1,0.41972,0.23,2,0.23,0.23972,0.23,0.23,0.23,2,1.07528,1.8566,10.80377,0.56604,0.99925,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-28,"Standard","UniqueJewel",3.04907,3.55234,0.23,0.67542,0.23,5.52523,0.38505,0.23,0.9986,3.03084,0.43832,0.97318,21.35701,2,2.3271,0.23,1,0.96252,0.23,0.23766,4.95047,0.5728,0.23374,0.48682,419.63654,564.48879,198.65178,478.85991,0.31131,10,1,131.77121,29.20935,0.48682,0.27224,0.25505,1,7.9785,0.23,0.99916,0.23,1,0.23,9.96262,0.23,8.63738,29.77477,38.06542,5.04393,0.23,1.00467,1.34579,0.23,1,0.89804,0.23,0.76916,1,0.52411,1,0.23,50.24299,1,62.17383,0.99636,0.23,1,0.23832,0.23,2,0.23,0.23009,0.23,0.23,0.23,2,1.06458,1.6429,13.71869,0.49028,0.99832,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,"Standard","UniqueJewel",3.11863,3.95686,0.23,0.50765,0.23,5,0.29755,0.23,0.98127,3.01863,0.29667,0.99235,19.70588,1.84422,2.70588,0.28,1,1,0.23,0.27941,5,0.69284,0.23,0.48422,437.74059,578.45618,173.12255,524.64794,0.23,10,1,112.56627,24.30588,0.48422,0.23,0.23,1,8.09412,0.23,1,0.23,0.89971,0.23,8.97059,0.23,8.11667,30,36.71667,4.87157,0.23,1,1.57255,0.23,1,0.8,0.23,0.78471,1,0.63696,1,0.23,50,1,53.62353,1,0.23,1,0.23,0.23,2,0.23,0.23,0.23,0.23,0.23,2,1.11088,1.74284,14.85784,0.6401,0.96892,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,"Standard","UniqueJewel",3.404,3.993,0.23,0.6325,0.23,5.06,0.2374,0.23,0.9813,2.887,0.2694,1,15.175,1,1.3594,0.2754,1,0.9287,0.23,0.5408,5.412,0.9945,0.23,0.48,460.9503,569.5664,130.9182,462.4004,0.23,10,1,99.0868,25.499,0.5854,0.2333,0.23,1,8,0.23,1,0.23,0.5658,0.23,8.29,0.23,8.473,30,34.229,4.812,0.23,1,1.9943,0.2688,1,0.48,0.23,0.9625,1,0.5512,1,0.23,50.587,1,46.593,1,0.23,0.9995,0.2342,0.23,2.5025,0.23,0.23,0.23,0.23,0.23,2,1,1.422,14.8508,0.98,0.9829,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,"Standard","UniqueJewel",3.35588,3,0.23,0.48441,0.23,5,0.38167,0.23,0.96176,2.89539,0.23167,0.99843,13.14314,1.43216,1.51245,0.23,1,0.95588,0.23,0.56755,7.4049,0.9998,0.23,0.47951,439.81392,520.8099,127.43735,462.61627,0.23,10.00098,1,99.40667,23.58824,0.79324,0.23,0.24412,1,8.31078,0.23,1,0.23,0.78137,0.23,9.73725,0.23,8.18725,29.99706,33.63824,4.33333,0.23,1,1.92422,0.23794,1,0.5101,0.23,0.47951,1,0.69971,1,0.23,49.35,1,57.74069,1,0.23,0.985,0.23,0.23,2.62304,0.23,0.23,0.23,0.23,0.23,1.69804,1,1.03824,12.87843,0.78206,1,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,"Standard","UniqueJewel",3,3,0.23775,0.55853,0.23775,5,0.32039,0.23775,0.97559,3.89412,0.23775,1,13.37353,1.88804,2.35961,0.23775,1,0.99373,0.23775,0.51137,5.19902,0.98676,0.23775,0.48078,482.81775,506.71784,129.92431,450.41598,0.23775,10,1,99.11794,26.48725,0.95843,0.23775,0.28961,1,8.75098,0.23775,1,0.23775,0.99941,0.23775,10.86765,0.23775,7.87804,30.16176,38.64902,4,0.23775,1,1.88598,0.23775,1,0.64578,0.23775,0.485,1,0.74353,1,0.23775,48.73137,1,59.13324,0.96745,0.23775,0.99392,0.23775,0.23775,2.92304,0.23775,0.23775,0.23775,0.23775,0.23775,1.87157,1,1.01471,13.28627,0.36794,1,0.23775,0.23775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-02,"Standard","UniqueJewel",3.00098,3,0.23,0.85882,0.23,5,0.27078,0.23,0.98843,4.99706,0.23,1,15.45098,1.69863,1.94431,0.23,1,0.99902,0.23,0.94971,4.23235,0.98176,0.23,0.48,483.47049,472.62863,130.56461,450.44775,0.23,9.73137,1,108.77814,26.15882,1,0.23,0.23,1,8.01078,0.23,1,0.23,1,0.23,14.95588,0.23,8.64667,30,40.67647,4,0.23,1.00392,1.93147,0.2302,1,0.9449,0.23,0.94088,1,0.56245,1,0.23,49.3049,1,53.86275,0.95941,0.23,1,0.23,0.23,2.36029,0.23,0.23,0.23,0.23,0.23,1.86539,1,2.17098,14.42157,0.23,1,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,"Standard","UniqueJewel",3,2.87832,0.23,0.8299,0.23,5,0.23,0.23,0.94851,4.75149,0.2304,1,17.33168,2,1.54337,0.23792,1,0.99564,0.23,0.99525,5.23465,0.99752,0.23,0.47465,488.5604,503.29723,167.97218,462.93881,0.23,9.42079,1,123.80228,24.98812,0.99733,0.23,0.23,0.99733,7.60891,0.23,1,0.23,1,0.23,16.83663,0.23,9.98911,30.53366,46.29109,4,0.23,1,1.51683,0.25465,1,0.97168,0.23,0.99812,1,0.68198,1,0.23,49.96832,1,53.95149,0.94901,0.23,1,0.2302,0.23,2.2203,0.23,0.23,0.23,0.23,0.23,1.71644,1,3.30327,14.90792,0.26327,0.99495,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-04,"Standard","UniqueJewel",2.99794,2.46876,0.23938,0.78454,0.23938,5,0.23938,0.23938,0.94557,3.6,0.3768,0.99443,20.54124,1.99897,1.78866,0.3533,0.98928,1,0.23938,0.92155,4.32577,1,0.23938,0.47227,478.77753,496.17309,172.25825,458.19619,0.23938,8.9567,1,111.16072,24.48866,0.97938,0.25227,0.23938,0.98928,5.38454,0.23938,1,0.23938,1,0.23938,15.43814,0.23938,9.62887,28.58144,46.08247,4,0.23938,1,1.00206,0.24351,1,0.96381,0.23938,0.94443,1,0.64464,1,0.23938,48.87423,1,60.20206,0.8566,0.23938,1,0.34845,0.23938,2,0.23938,0.23938,0.23938,0.23938,0.23938,1.55134,1,3.14876,15,0.32866,0.9999,0.23938,0.23938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
