"Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Perandus.Manor","The.Putrid.Cloister","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","Doryani.s.Machinarium","Pillars.of.Arun","The.Beachhead_T10","The.Beachhead_T15","The.Beachhead_T5","The.Twilight.Temple","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory","NA."
2016-10-26,"Standard","UniqueMap",4,6,10,11.22824,25,3.88824,14.97647,10,6.75882,15,3,559.13882,132.02,132.77059,10,3.74118,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27,"Standard","UniqueMap",4,6.06509,9.96453,10,25.02642,4,15.04811,10,6.15189,15,3.53113,547.11085,143.73783,131.92377,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-28,"Standard","UniqueMap",4,6.93925,9.85234,10,25.39439,4,15.49439,10,5.61402,15.07477,4,658.26318,133.22598,126.04056,9.97944,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,"Standard","UniqueMap",4,6.9951,10,10,25.55784,4,13.43039,10,5,16.05,4,863.24608,131.34961,109.81549,10.03137,3.97598,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,"Standard","UniqueMap",4,6.934,10,9.973,25.286,4,15,10,5.07,15.459,3.948,756.2862,136.8903,112.0507,11.255,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,"Standard","UniqueMap",4,7.21765,9.30667,9.71765,25,4,15.46471,10,5.40882,15.76667,3.95392,741.08618,146.5302,128.93833,12.03431,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,"Standard","UniqueMap",4.01553,7.33398,9.16019,9.90777,24.99612,4,14.37767,10.00388,6.41718,16.94951,4,712.28524,132.15495,114.2801,11.56602,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-02,"Standard","UniqueMap",4,7.16871,8.37723,9.85743,25.01881,4,14.30396,10.19703,7.49733,18.06535,3.8695,658.32099,132.06673,120.91149,10.67327,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,"Standard","UniqueMap",4,7.24673,8.14356,10,25.01782,4,11.95248,10.37327,5.66624,17.13366,3.84178,595.37594,131.21386,114.45545,10.60396,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-04,"Standard","UniqueMap",4,8.18351,8.9532,9.19485,24.96392,4,12.12474,11.60412,5.16722,16.81959,3.96979,596.28433,131.53536,109.12825,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-05,"Standard","UniqueMap",4,8.05309,9.40049,8.81852,25,4,14.78642,10.56667,5.23951,15.56543,3.68173,597.68889,127.3537,111.4842,10.12099,3.99432,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-06,"Standard","UniqueMap",4,8.24542,9.89083,9.97778,25.19722,4,13.33472,10.29028,5.64236,16.73194,3.31181,594.64319,126.15167,104.80944,10.53194,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-07,"Standard","UniqueMap",4,6.37426,10,10.1396,25.96238,4,13.67327,10,6.00337,16.35347,3.39208,561.17921,124.17822,111.22545,10.20792,3.7398,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-08,"Standard","UniqueMap",4,5.74381,9.84971,11.87048,27.82476,4,12.30952,10.43143,5.54,15.59333,3.19381,615.90733,131.9861,116.65343,10,3.11905,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-09,"Standard","UniqueMap",4,7.31927,10,11.71835,27.16514,4,12.24679,10,5.05872,17.44312,3.09165,597.70688,116.60972,101.48624,10.29817,3.51037,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-10,"Standard","UniqueMap",4,8.20119,9.91743,10.91376,27.06606,4,12.2789,10,5.21101,16.43945,3.49312,601.20661,118.82183,100.17385,11.00826,3.92624,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-11,"Standard","UniqueMap",4,6.49147,9.22211,10.67895,28.56211,3.96421,12.63158,9.55053,5.14684,15.78737,3.83789,603.41305,112.76347,100.34242,10.37053,3.70316,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-12,"Standard","UniqueMap",4,5.90495,9.50309,9.68608,26.75258,4,12.97216,8.70412,5.8466,16.38557,3.99113,608.40928,100.61577,100.04454,10.57732,3.94433,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-13,"Standard","UniqueMap",3.95769,7.8241,10,8.89359,29.59231,4,13.38846,10.95769,6.01154,16.89615,4,639.90603,102.05436,100.75333,10.06026,3.90359,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-14,"Standard","UniqueMap",4,8.19673,10,9.85577,28.26154,4,13.96154,10.99423,6.04385,17.25577,3.98673,642.13231,105.41096,103.16115,10.75769,3.5375,0,0,0,0,0,0,0,0,0,0,0,0,0
