"Date","League","Type","Abberath.s.Horn","Advancing.Fortress","Agnerod.East","Agnerod.North","Agnerod.South","Agnerod.West","Al.Dhih","Allure","Amplification.Rod","Apep.s.Rage","Ashcaller","Atziri.s.Disfavour","Aurumvorax","Axiom.Perpetuum","Bino.s.Kitchen.Knife","Bitterdream","Bloodplay","Bloodseeker","Brain.Rattler","Breath.of.the.Council","Brightbeak","Brutus..Lead.Sprinkler","Callinellus.Malleus","Cameria.s.Maul","Chin.Sol","Chitus..Needle","Chober.Chaber","Clayshaper","Cospri.s.Malice","Cybil.s.Paw","Daresso.s.Passion","Darkscorn","Death.s.Hand","Death.s.Harp","Death.s.Opus","Divinarius","Doomfletch","Doomfletch.s.Prism","Doomsower","Doon.Cuebiyari","Doryani.s.Catalyst","Dreadarc","Dreamfeather","Dyadus","Dying.Breath","Eclipse.Solaris","Edge.of.Madness","Ephemeral.Edge","Essentia.Sanguis","Femurs.of.the.Saints","Fencoil","Fidelitas..Spike","Flesh.Eater","Frostbreath","Geofri.s.Baptism","Gorebreaker","Goredrill","Heartbreaker","Hegemony.s.Era","Hezmana.s.Bloodlust","Hiltless","Hrimnor.s.Dirge","Hrimnor.s.Hymn","Hyaon.s.Fury","Ichimonji","Infractem","Innsbury.Edge","Iron.Commander","Izaro.s.Dilemma","Jack..the.Axe","Jorrhast.s.Blacksteel","Kaom.s.Primacy","Kingmaker","Kondo.s.Pride","Kongor.s.Undying.Rage","Lakishu.s.Blade","Last.Resort","Lavianga.s.Wisdom","Lifesprig","Limbsplit","Lioneye.s.Glare","Mark.of.the.Doubting.Knight","Marohi.Erqi","Midnight.Bargain","Mightflay","Mj√.lner","Mon.tregul.s.Grasp","Moonbender.s.Wing","Moonsorrow","Mortem.Morsu","Null.s.Inclination","Nuro.s.Harp","Nycta.s.Lantern","Obliteration","Ornament.of.the.East","Oro.s.Sacrifice","Pillar.of.the.Caged.God","Piscator.s.Vigil","Pledge.of.Hands","Prismatic.Eclipse","Quecholli","Queen.s.Decree","Queen.s.Escape","Quill.Rain","Razor.of.the.Seventh.Sun","Reach.of.the.Council","Realm.Ender","Realmshaper","Reaper.s.Pursuit","Rebuke.of.the.Vaal","Redbeak","Relentless.Fury","Reverberation.Rod","Rigwald.s.Charge","Rigwald.s.Command","Rigwald.s.Savagery","Rive","Roth.s.Reach","Scaeva","Shiversting","Silverbough","Silverbranch","Singularity","Sire.of.Shards","Slivertongue","Soul.Taker","Spine.of.the.First.Claimant","Starforge","Storm.Cloud","Storm.Prison","Taryn.s.Shiver","Terminus.Est","The.Blood.Reaper","The.Blood.Thorn","The.Cauteriser","The.Consuming.Dark","The.Dancing.Dervish","The.Dark.Seer","The.Goddess.Bound","The.Goddess.Scorned","The.Goddess.Unleashed","The.Gryphon","The.Harvest","The.Princess","The.Scourge","The.Screaming.Eagle","The.Searing.Touch","The.Stormheart","The.Supreme.Truth","The.Tempest","The.Tempestuous.Steel","The.Whispering.Ice","Tipua.Kaikohuru","Touch.of.Anguish","Tremor.Rod","Trypanon","Twyzel","Ungil.s.Gauche","Varunastra","Void.Battery","Voidhome","Voltaxic.Rift","Wideswing","Widowmaker","Wildslash","Windripper","Wings.of.Entropy","Xirgil.s.Crank","Ahn.s.Might","Arakaali.s.Fang","Arborix","Augyre","Balefire","Beltimber.Blade","Cameria.s.Avarice","Cane.of.Unravelling","Cerberus.Limb","Chaber.Cairn","Corona.Solaris","Debeon.s.Dirge","Disintegrator","Dreadbeak","Dreadsurge","Duskdawn","Earendel.s.Embrace","Ewar.s.Mirage","Fate.of.the.Vaal","Geofri.s.Devotion","Grelwood.Shank","Hand.of.Thought.and.Motion","Hand.of.Wisdom.and.Action","Hopeshredder","Kitava.s.Feast","Martyr.of.Innocence","Mirebough","Nebuloch","Ngamahu.s.Flame","Oni.Goroshi","Panquetzaliztli","Sanguine.Gambol","Severed.in.Sleep","Shade.of.Solaris","Shimmeron","Sinvicta.s.Mettle","Soulwrest","Story.of.the.Vaal","Taproot","The.Dancing.Duo","The.Enmity.Divine","The.Grey.Spire","The.Poet.s.Pen","The.Rippling.Thoughts","The.Stormwall","The.Wasp.Nest","Tidebreaker","Tulborn","Tulfall","United.in.Dream","Uul.Netol.s.Embrace","Uul.Netol.s.Kiss","Voidforge","Vulconus","White.Wind","Xoph.s.Inception","Xoph.s.Nurture","Paradoxica","The.Crimson.Storm","Sign.of.the.Sin.Eater","Cold.Iron.Point","Nebulis","The.Black.Cane","The.Saviour","NA."
2016-10-26,"Standard","UniqueWeapon",0.23,0.23,20,19.39412,24.42941,34.20588,0.23,0.47765,12.15882,2.55294,0.23,528.08,0.23,0.49118,5,0.23,0.23,0.90882,2,15.35882,0.23,3.06471,0.47,0.23,0.99882,0.99765,0.23,0.23,861.43,0.23,0.23,0.23,1,1,24.78235,9.97647,0.23,56.94118,0.52765,10,15.05882,0.23,15,0.23,1,0.23,2.56471,1,0.88706,0.23,0.23,1,0.23,0.23,0.23,0.23,0.23,0.47588,45.49412,1,1,4.02353,0.23,0.49118,0.86059,0.25,1,0.23,1,1.22353,50.31176,0.49118,35.97647,0.97059,3.97176,0.23,0.23,0.23,1,0.23,1,0.23,1,3,1,61.07118,0.23,0.23,0.23,0.23,1,0.23,0.23,0.49118,0.23,1,0.23,1,3,0.23,0.23,0.23,23.34118,1,13.68235,363.63765,5,0.23,0.43471,0.23,0.23,0.23,0.23,0.23,166.96471,206.95941,1,0.23,1,0.23,3.32941,0.24176,3.15882,1,9.77059,49.57647,0.23,1039.46294,0.23,0.23,0.48588,0.50882,0.23,0.23,20,10,0.23,1.99118,1,19.46471,207.93,5.44118,867.83882,0.23,9.97647,0.23,1,0.23,1,5,1,1.64941,277.24,2,0.23,10.47059,0.23,0.23,98.44235,395.28353,0.23,3.76471,0.23,0.23,0.23,9.98235,0.23,1.47059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27,"Standard","UniqueWeapon",0.23,0.38651,19.79151,19.56132,24.0783,32.83396,0.23,0.3234,12.02264,2.43217,0.23,525.79094,0.23,0.60481,5,0.23,0.23,0.51811,2,17.8783,0.27877,1.06038,0.56236,0.23,0.8416,0.94462,0.23,0.39981,914.79057,0.23,0.23,0.23,1,0.99962,25.03302,10,0.305,62.72557,0.84755,12.84151,15.99811,0.23,16.92075,0.23,1,0.23,3,1,0.69123,0.23,0.23,1,0.23,0.23,0.23,0.23,0.23,0.51509,42.8283,1,1,4.07358,0.23,0.49179,0.51434,0.23651,1,0.23,1,1.91132,54.64415,0.50094,34.01509,0.98396,3.58623,0.23,0.23,0.23,1,0.23,1,0.23,1,2.79057,1,65.36868,0.23,0.23,0.23,0.23,1,0.23,0.23,0.50255,0.23,1,0.23,1,3,0.23,0.23,0.23,20.01981,1,12.3283,380.56943,5,0.23,0.38792,0.23,0.23,0.23,0.23,0.23,176.75585,215.76962,1.27358,0.23,1,0.23,3.86981,0.26047,3.9434,1,9.98868,48.92358,0.22877,1027.72217,0.23,0.23,0.49387,0.4983,0.23,0.23,23.55472,10,0.23,2,1,19.58491,218.85094,5.84528,858.09321,0.23,9.19811,0.31292,0.99915,0.23,1.22075,4.91509,1,1.71642,281.21462,2,0.23,10.2217,0.23,0.23,94.33849,395.45151,0.23,3.38679,0.23,0.23,0.23,9.54245,0.23,2.19151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-28,"Standard","UniqueWeapon",0.23,0.28318,19.91215,18.33178,22.78224,29.23832,0.23,0.2814,11.53645,1.90187,0.23,524.88505,0.23,0.86897,5,0.23,0.23,0.47897,2,19.15607,0.47645,1.5729,0.87907,0.23,0.98467,0.81981,0.23,0.64879,921.07785,0.23,0.23,0.23,1,0.98486,28.25888,9.8957,0.31467,64.97224,0.53813,14.67103,17.19813,0.23,15.91589,0.23,1,0.23,2.92897,1,0.49935,0.23,0.22495,1,0.23,0.23,0.23,0.23,0.23,0.65458,39.7243,1,1,4.26075,0.23,0.46449,0.6728,0.23,1,0.23,0.99832,2.02804,57.57925,0.48935,35.54019,0.95813,3.10888,0.23,0.23,0.23,1,0.23,0.99879,0.23,1,2.96729,1,65.94579,0.23,0.23,0.23,0.23,1,0.23,0.23,0.45748,0.23,1,0.23,0.98953,3.0757,0.23,0.23,0.23,23.9243,1,10.00654,351.3715,5,0.23,0.28579,0.23,0.23,0.23,0.23,0.23,197.60299,235.85692,1.65421,0.23,1,0.23,2.82617,0.23037,3.27383,1,9.45794,47.4757,0.22935,981.90757,0.23,0.23,0.48682,0.38495,0.23,0.23,23.70374,10.5028,0.2814,1.98935,1,20.54766,246.06561,7.81308,869.9957,0.23,8.45888,0.28019,0.99981,0.23,1.04953,3.7757,1,2,303.6572,2,0.23,11.03364,0.23,0.23,95.7571,396.28542,0.23,3.98318,0.23,0.23,0.23,9.3514,0.23,2.42243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,"Standard","UniqueWeapon",0.23,0.39716,19.91961,18.19216,21.09216,29.48529,0.23,0.24765,9.5,1.00784,0.23,513.64588,0.23,0.99608,5,0.23,0.23,0.58667,2,18.53922,0.48471,2.76078,0.65176,0.23,1,0.70863,0.23,0.46725,911.45696,0.23,0.23,0.23,1,0.99755,25.42745,9.55412,0.23,54.72265,0.70902,13.91471,16.62745,0.23,13.93775,0.23,1,0.27314,3,0.99569,0.66402,0.23,0.22402,1,0.23,0.23,0.23,0.23,0.28137,0.73539,43.81765,1,0.99275,4.97549,0.23,0.47402,0.34167,0.23569,1,0.23,1,1.98235,55.59647,0.48422,36.31373,0.67167,2.99912,0.23,0.23,0.23,1,0.23,0.99912,0.23,1,3.32882,1,65.24931,0.23,0.23,0.23,0.23,1,0.23,0.23,0.32804,0.23,1,0.23,0.93637,3.42451,0.23,0.23,0.23,24.01373,1,9.9902,330.05,5,0.23,0.43373,0.23,0.23,0.23,0.23,0.23,185.04873,202.5952,1.22353,0.23,1,0.23,1.75392,0.2751,3.86078,1,9.24706,49.69216,0.23,984.97314,0.23,0.23,0.48422,0.45118,0.23,0.23,20.98431,12.32745,0.23569,1.89451,1,31.04706,255.30441,5,974.4252,0.23,9.0598,0.29275,0.9952,0.23,1,5,1,2,303.65,2.30833,0.23,11.97353,0.23,0.23,92.35559,402.2598,0.23,3.95784,0.23,0.23,0.23,10.44902,0.23,2.16078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,"Standard","UniqueWeapon",0.23,0.39316,18.91531,18.04388,20,30.14918,0.22837,0.31531,7.87857,2.06122,0.23,525.00357,0.23,0.51378,5,0.23,0.23,0.61806,2,16.63469,0.62827,3.01837,0.53337,0.23,0.99724,0.88867,0.23,0.57867,966.7248,0.23,0.23,0.23,1,0.99551,27.19184,9.51061,0.23,46.17653,1,14.75204,17.60612,0.23,11.05918,0.23,1,0.29367,2.61939,1,0.81,0.23,0.22439,1,0.23,0.23,0.23,0.23,0.42153,0.98357,36.73673,1,0.99959,3.26735,0.23,0.45888,0.42949,0.25367,1,0.23,0.99459,1.97551,48.6299,0.45327,35.13469,0.70133,3,0.23,0.23,0.23,1,0.2301,1,0.23,1,3.91388,1,60.97214,0.23,0.23,0.23,0.23,1,0.23,0.23,0.28459,0.23,1,0.23,0.96173,3.37041,0.23,0.23,0.23,23.77653,1,10.03061,318.78071,5.13898,0.23,0.46776,0.23,0.23,0.23,0.23,0.23,166.04296,164.40337,1,0.23,1,0.23,1.57041,0.23,4.07143,1,10,53.77551,0.23051,944.88857,0.23,0.23,0.48459,0.87867,0.23,0.23,20.24286,12.83673,0.23,1.99388,1,21.90204,248.04878,7.04592,968.94755,0.23,7.52653,0.43224,0.995,0.23,1.37857,6.54898,1,1.99694,265.78735,3.4098,0.23,14.3602,0.23,0.23,97.81,457.11163,0.23,3.58847,0.23,0.23,0.23,11.41327,0.23,1.57551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,"Standard","UniqueWeapon",0.23,0.23,19.9835,17.90485,20.1767,30.43485,0.21718,0.23,7.97476,2.65437,0.23,524.26583,0.23,0.48796,4.99126,0.23,0.23,1,2,14.96796,0.63592,3.74369,0.47951,0.23,1,0.94583,0.23,0.23583,997.07505,0.23,0.23,0.23,1,1,28.93398,9.68718,0.23,42.12039,1,14.93495,15,0.23,13.52913,0.23,1,0.23087,2.19029,1,0.97447,0.23,0.23,1,0.23,0.23,0.23,0.23,0.25456,0.98388,30.80097,1,0.99408,2.88641,0.23,0.46874,0.39301,0.43951,1,0.23,0.97194,1.70777,46.68097,0.38583,33.66553,0.81379,3.09903,0.23,0.23,0.23,1,0.28748,1,0.23,1,4.27515,1,55.99398,0.23,0.23,0.23,0.23,1,0.23,0.23,0.23,0.23,1,0.23,1,3.06505,0.23,0.23,0.23,20.36602,1,9.34563,290.60777,7.8666,0.23214,0.48874,0.23,0.23,0.23,0.23,0.23,175.29039,148.08456,1,0.23,1,0.23,1.46214,0.23,4,1,9.77282,54.88835,0.23146,1028.20466,0.23,0.23,0.81049,0.80951,0.23,0.23,21.09049,13.63786,0.23,2.42718,1,23.22136,254.85078,9.26408,992.98583,0.23,5,0.27835,0.95961,0.23,0.77379,5.60583,1,1.5233,330.57931,2.43233,0.23,14.51942,0.23,0.23,85.15058,406.38252,0.22718,2.57583,0.23,0.23,0.22942,10.2,0.23,1.39126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,"Standard","UniqueWeapon",0.23762,0.24109,19.9802,18.02277,21.57535,30.03653,0.21673,0.25941,7.92574,1.66604,0.23762,510.19109,0.23762,0.84772,5,0.23762,0.23762,0.95663,2,14.91584,0.27129,4,0.44822,0.23762,1,0.83089,0.23762,0.23762,987.68149,0.23762,0.23762,0.23762,1,1,29.60792,9.99802,0.23782,41.58911,0.99198,12.59505,15.85545,0.23762,14.16535,0.23762,1,0.30079,2.41881,1,0.99634,0.23762,0.23762,1,0.23762,0.23762,0.23762,0.23762,0.24634,0.96871,37.5297,1,1,2.72475,0.23762,0.37178,0.83446,0.44089,1,0.23762,0.99208,1.82772,48.8199,0.26446,36.02822,0.99376,3.45842,0.23762,0.23762,0.23762,1,0.3603,1,0.23762,1,4.31683,1,63.83208,0.23762,0.23762,0.23762,0.23762,1,0.23762,0.23762,0.23822,0.23762,1,0.23762,1,3.07228,0.23762,0.23762,0.23762,21.33861,1,8.47624,276.53891,9.41495,0.23762,0.48554,0.23762,0.23762,0.23762,0.23762,0.23762,170.77535,146.77881,1,0.23762,1,0.23762,1,0.23762,3.81188,1,9.20693,51.06931,0.23762,1030.7297,0.23762,0.23762,1,0.47941,0.23762,0.23762,23.2004,11.85149,0.23762,2.68812,1,23.84158,260.90139,7.85545,981.27059,0.23762,5,0.23762,0.97376,0.23762,0.90851,5,1,2,286.22307,1.00653,0.23762,13.8297,0.23762,0.23762,99.07723,407.27059,0.23762,3,0.23762,0.23762,0.19208,10.1,0.23762,1.63564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-02,"Standard","UniqueWeapon",0.23,0.23804,19.87941,18.01471,22.96471,30.01206,0.22118,0.24431,6.90588,1.01363,0.23,515.34,0.23,1,5,0.23,0.23,1,2,15.00588,0.23,4.14118,0.23,0.23,1,0.77618,0.23,0.23,1016.26765,0.23,0.23,0.23,1,1,30.15882,9.97549,0.23235,38.06176,0.92412,14.40196,17.27745,0.23,13.17255,0.23,1,0.38294,2.02647,0.99157,0.97373,0.23,0.23,1,0.23,0.23,0.23,0.23,0.24235,0.99608,38.82059,1,1,2.5098,0.23,0.35961,0.99696,0.23941,1,0.23,0.87039,2.06696,47.10941,0.34892,36.70637,0.98137,2.99922,0.23,0.23,0.23,1,0.23,1,0.23,1,3.12755,1,64.07676,0.23,0.23,0.23,0.23,1,0.23,0.23,0.23951,0.23,1,0.23,1,3,0.23,0.23,0.23,23.10588,0.99598,9.99412,327.90176,7.96941,0.23,0.47863,0.23,0.23,0.23,0.23,0.23,173.98784,193.63676,1,0.23,1,0.23,1.69706,0.23,3.13922,1,8.85941,50,0.23,951.01431,0.23,0.23,0.99941,0.77235,0.23,0.23,18.38539,10.97059,0.23,2,1,24.78431,271.44804,7.13039,1093.24118,0.23,5,0.25088,1,0.23,1.94118,5,1,2,268.86137,1.89578,0.23,13.92745,0.23,0.23,99.56,395.89353,0.23,3.02451,0.23,0.23,0.14118,10,0.23,2.52745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,"Standard","UniqueWeapon",0.23,0.27069,19.70396,17.70198,20.23228,29.9505,0.21941,0.23,6.07921,1.21584,0.23,496.0705,0.23,0.84683,5,0.23,0.23,1,2,19.16832,0.23,4,0.25505,0.23,1,0.97188,0.23,0.25277,1011.57396,0.23,0.23,0.23,1,1,32.7495,8.50129,0.37941,39.9604,1,14.75842,19.38812,0.23,15.62475,0.23,1,0.33624,2.10198,0.99752,0.99,0.23,0.22297,1,0.23,0.23,0.23,0.23,0.23,1,30,1,1,2.04059,0.23,0.46099,0.9999,0.34594,1,0.23,0.8996,2.21683,37.43069,0.4604,36.65446,1,3,0.23,0.23,0.23,1,0.2398,1,0.23,1,3.80495,1,61.35832,0.23,0.23,0.23,0.23,1,0.23,0.23,0.2398,0.23,1,0.23,1,3,0.23,0.23,0.23,24.65545,0.99198,10,347.30693,6.94594,0.24327,0.4702,0.23,0.23,0.23,0.23,0.23,169.49426,206.89743,1,0.23,1,0.21802,2.39406,0.23851,2.50396,0.9995,9.86832,51.39604,0.23,946.07277,0.23,0.23,1,0.99921,0.23,0.23,19.04158,11.28911,0.23,2,0.9996,21.84158,257.81218,6.16238,1139.42871,0.23,5.57327,0.24832,1,0.23,2.53366,5,1,2,350.36891,2.84446,0.23,13.74554,0.23,0.23,106.27139,396.13248,0.23,3,0.23,0.23,0.14545,10.20594,0.23,2.21238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-04,"Standard","UniqueWeapon",0.23938,0.23938,18.77732,17.11237,20.06928,28.10515,0.20103,0.23938,5.79588,2,0.23938,500.95402,0.23938,0.63165,4.79278,0.23938,0.23938,0.9868,2.00722,22.12474,0.23938,4.05773,0.35113,0.23938,0.99124,0.96701,0.23938,0.23938,993.80722,0.23938,0.23938,0.23938,1,1,27.62268,8.49588,0.40186,40.97423,0.89196,13.86598,16.72784,0.23938,15.28247,0.23938,1,0.24959,2,0.76052,1,0.23938,0.21082,1,0.23938,0.23938,0.23938,0.23938,0.23938,1,33.74742,1,1,2.48454,0.23938,0.4668,1,0.49062,1,0.23938,0.9166,2,36.95876,0.46093,36.26082,1,2.78247,0.23938,0.23814,0.23938,0.99763,0.23938,1,0.23938,1,3.09052,0.94948,58.39876,0.23938,0.23938,0.23938,0.23938,1,0.23938,0.23938,0.23938,0.23938,1,0.23938,0.9867,3,0.23938,0.23938,0.23938,23.38351,0.99412,9.08454,333.55835,7.05031,0.24062,0.45897,0.23938,0.23938,0.23938,0.23938,0.23938,115.04825,141.83443,1,0.23938,1,0.18124,3.81546,0.24206,2.35155,1,10,49.19588,0.23938,902.53577,0.23938,0.23938,1,0.67485,0.23938,0.23938,17.01237,10.46289,0.23938,2,1,19.76495,231.0234,5.03918,940.75794,0.23938,7.65773,0.24619,1,0.23938,1.44227,5.00309,1,1.77732,318.01773,2.01299,0.23938,12.13608,0.23938,0.23938,100.92948,400.50515,0.23938,2.82938,0.23938,0.23938,0.13588,12.36495,0.23938,1.75196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
